trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,forcing_multiplier,forcing_marginal_variance_K2
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.3866911546325278,0.4066901252135298,319.1296936365724,306.96078915601987,12.168904480552555,0.6148221973414824,False,0.991203518592563,0.7368421052631579,0.17707480893383154,1.2678304569550802,1.8339216973263825,2.7303101832840744,31.03426379799772,1.0,False,0.7368421052631579,2.7303101832840744,31.03426379799772,2.835692203287484,3.1913218208442995,1.2678304569550802,1.5335809868127992,0.8368849880582554,1.0204703371419879,0.5002965164246331,0.6113580729619964,11.777413060809188,12.168904480552555,11.77741306080924,0.5,0.25819952199733276
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.3880529657088493,0.40572890465881367,319.1296936365724,306.9616404293802,12.168053207192202,0.7965818655447591,False,0.9924030387844862,0.7631578947368421,0.21260879961305393,1.2655044868244785,2.519294225075668,3.3368828973472318,27.351673031781274,1.0,False,0.7631578947368421,3.3368828973472318,27.351673031781274,2.7119249522176365,3.1158590804719606,1.2655044868244785,1.562480566393651,0.8501536005695496,1.03795838205198,0.523584334157939,0.6208361311251963,11.772215162319295,12.168053207192202,11.772215162319334,1.0,0.5163990439946655
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.3915266869109549,0.4069225423271656,319.1296936365724,306.96007938128406,12.169614255288366,1.071433402898699,False,0.9940023990403839,0.8026315789473685,0.26546987322578025,1.2430763379032925,3.474711264707614,4.268854393072872,25.356505019604892,1.0,False,0.8026315789473685,4.268854393072872,25.356505019604892,2.6501965670076526,3.1296242055362464,1.2430763379032925,1.5799533829888481,0.8604672756383281,1.0521902411971868,0.5551183286347425,0.628776675868319,11.712265006288096,12.169614255288366,11.712265006288064,2.0,1.032798087989331
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.3964192587814827,0.40981868704352964,319.1296936365724,307.0048589495508,12.124834687021632,1.4750422579504936,False,0.9968012794882047,0.8947368421052632,0.34318709927672775,1.2600602372966325,4.826125573151452,5.556767872731894,21.84075215693009,1.0,False,0.8947368421052632,5.556767872731894,21.84075215693009,2.439918785822757,3.0075948527459127,1.2600602372966325,1.6717243767111878,0.9077213501417173,1.125272274792136,0.6141298398452077,0.6661020161002563,11.398410521800141,12.124834687021632,11.39841052180012,4.0,2.065596175978662
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.4027221456883239,0.41390403112728064,319.1296936365724,307.0093144265154,12.120379210057024,2.055511878913866,False,0.9976009596161536,0.9210526315789473,0.45579833350699633,1.274042489095494,6.750364985962463,7.599093460997107,20.18601612659557,1.0,False,0.9210526315789473,7.599093460997107,20.18601612659557,2.3507638146818133,3.0044497978347784,1.274042489095494,1.731583449840089,0.9743247107525281,1.1887088954453697,0.7050723693043771,0.6986202544194493,11.050624608549256,12.120379210057024,11.033272533109749,8.0,4.131192351957324
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.4136624976325626,0.425992395437224,319.1296936365724,307.01605251318176,12.113641123390664,2.88529418760279,False,0.998000799680128,0.9342105263157895,0.6206815271395698,1.399068279861296,9.474654024222193,10.512733320269431,18.522647601460857,1.0,False,0.9342105263157895,10.512733320269431,18.522647601460857,2.274585791181216,2.9389398755908256,1.399068279861296,1.8596326784601243,1.122894251935432,1.2859535080229434,0.864620889876271,0.7477520346846348,10.046770854348281,12.113641123390664,9.814731790860181,16.0,8.262384703914648
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.4282747731136874,0.4409136081438234,319.1296936365724,307.02116297515295,12.10853066141948,4.064776125062926,False,0.9984006397441023,0.9473684210526315,0.8555699926259198,1.551337199641928,13.322216755092853,14.242436888135046,17.36062463872604,1.0,False,0.9473684210526315,14.242436888135046,17.36062463872604,2.267283912708631,2.900674890225625,1.551337199641928,1.9724012660935655,1.322265744030881,1.393008006660539,1.0821642295760425,0.80240811244636,9.712112186003814,12.10853066141948,8.159443829793059,32.0,16.524769407829297
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.46356169520852636,0.4717526894283231,319.1296936365724,307.05766121967315,12.072032416899276,5.737701653267551,False,0.9996001599360256,0.9868421052631579,1.1928945785540814,1.8598405915771412,18.782919759460928,20.028949087802083,21.411448683176065,1.0,False,0.9868421052631579,20.028949087802083,21.411448683176065,2.384649335685008,2.768573937588063,1.8598405915771412,2.196559163976994,1.6776811378359437,1.6311294483001593,1.4272105170523692,0.9233174400974704,9.767073177948339,12.072032416899276,3.8301444594441336,64.0,33.04953881565859
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.5484931682301856,0.554162833891796,319.1296936365724,307.0891483264876,12.040545310084838,8.106700887433787,True,0.9996001599360256,0.9868421052631579,1.6743683754696266,2.372769066942138,26.50912271108875,28.446505369463054,28.565312197740283,1.0,True,0.9868421052631579,28.446505369463054,28.565312197740283,2.6304974322250585,2.665158587874478,2.372769066942138,2.6459703440144873,2.2284838793559065,2.0706438462062713,1.947569723101682,1.1485242946901253,7.9957104398105034,12.040545310084838,1.2444862004257597,128.0,66.09907763131719
HorizontalScanPath_13,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,296.4959614680289,0.6139194279398232,0.6230457516685982,319.1296936365724,307.10535030989763,12.024343326674796,11.458642849426317,True,0.9992003198720512,0.9736842105263158,2.3465740386147242,3.0364472314402056,37.41351270400169,40.27053083944851,40.46738354323818,1.0,True,0.9736842105263158,40.27053083944851,40.46738354323818,3.1992237701698913,2.629350016098709,3.0364472314402056,3.0004485297422256,2.9086076623486674,2.3749400893869073,2.6303563494518496,1.3036032546381775,7.404918292008536,12.024343326674796,10.850850545642775,256.0,132.19815526263437
