trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,forcing_multiplier,forcing_marginal_variance_K2,base_forcing_intensity_K2_per_s,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
DiagonalScanPath_3,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.4424975802724435,0.41671103696135076,326.4740358780628,333.354264748572,6.8802288705092,4.181634089716905,True,0.9988004798080767,0.9605263157894737,0.8524507869934941,1.5468215492204793,13.495121826937416,14.994365998928908,18.336277721991628,1.0,True,0.9605263157894737,14.994365998928908,18.336277721991628,2.4378888409448405,3.0265104355467063,1.5468215492204793,1.6976596466458116,1.2935933061181204,1.2782923017570773,1.0703291260643963,0.777487713764949,3.941453128705568,5.638448124042043,4.765975447981626,Diagonal,3,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,advective stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.42979134422392556,0.4173538850000315,326.4740358780628,333.34809866309524,6.874062785032436,4.125783843730897,True,0.9984006397441023,0.9473684210526315,0.8512739720062534,1.545400192071617,13.501841445194367,14.840046851869387,20.206311323489007,1.0,True,0.9473684210526315,14.840046851869387,20.206311323489007,2.413504032912836,3.0687645047664205,1.545400192071617,1.6856699807018338,1.2863976239480426,1.2033789854598236,1.0682095601310055,0.7147737914953292,3.7441467422304147,5.9066618848139,5.051719546775518,Diagonal,3,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_4,diffusion mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.3585248883726,0.40156888139266955,0.3831209781722815,331.63935958961497,341.79302799975164,10.153668410136675,3.4196320745675792,False,0.998000799680128,0.9342105263157895,0.7309875829418098,1.4613899023850807,11.454065921869729,12.142901514172047,18.803880724188723,1.0,False,0.9342105263157895,12.142901514172047,18.803880724188723,2.32364795455399,2.840442897000239,1.4613899023850807,1.7833016936915653,1.1887438983940375,1.2334244745162848,0.9567076342154041,0.7168396867224014,8.086675295046511,10.153668410136675,8.086675295046527,Diagonal,4,evaluation,0.03,32.0,,,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
DiagonalScanPath_4,advective mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.3585248883726,0.39523764555519975,0.3852742037978834,331.63935958961497,341.74417261610637,10.1048130264914,3.4196322902803726,False,0.998000799680128,0.9342105263157895,0.727921765363127,1.435143114132633,11.45019287117509,12.115142816288508,18.768488882200963,1.0,False,0.9342105263157895,12.115142816288508,18.768488882200963,2.3549750645357537,3.0192202006313775,1.435143114132633,1.7249084279151845,1.1720593118805833,1.198597413053213,0.9429193142891652,0.6937007578986208,8.24856324910513,10.1048130264914,8.24856324910516,Diagonal,4,evaluation,0.03,32.0,,,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
DiagonalScanPath_4,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.3585248883726,0.4070872976469999,0.38755288185515346,331.63935958961497,341.8130800988869,10.17372050927196,4.327313949421437,False,0.9984006397441023,0.9605263157894737,0.8512767334756403,1.509401436889774,13.49497378538125,14.575207887950473,18.441486788864033,1.0,False,0.9605263157894737,14.575207887950473,18.441486788864033,2.2620830301015995,2.7806357672577633,1.509401436889774,1.8385826567399748,1.2705745534041033,1.2804915254084248,1.054448247661215,0.7407505230522144,7.611484282791647,10.17372050927196,7.611484282791606,Diagonal,4,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
DiagonalScanPath_4,advective stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.3585248883726,0.4007700319725989,0.38933423833101355,331.63935958961497,341.8612874201241,10.221927830509117,4.335644704727277,False,0.998000799680128,0.9342105263157895,0.8505151634283689,1.536179413292609,13.493229933616213,14.407781199074197,18.788884760349788,1.0,False,0.9342105263157895,14.407781199074197,18.788884760349788,2.405602479295165,2.99757481475879,1.536179413292609,1.7801033428690882,1.2839987389214846,1.250977906523111,1.0683057167172696,0.7211906112416184,7.5180875084091845,10.221927830509117,7.518087508409115,Diagonal,4,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
DiagonalScanPath_5,diffusion mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,295.50866552712534,0.4058642033429323,0.3837936309414323,334.0359159203151,332.2259205852149,1.8099953351002114,3.4197576367316946,True,0.9984006397441023,0.9473684210526315,0.7306322800640732,1.3944923618876892,11.476651412422546,12.169279075714606,19.879134789695033,1.0,True,0.9473684210526315,12.169279075714606,19.879134789695033,2.3261693106322916,2.9676981869417864,1.3944923618876892,1.628461406857042,1.1809149369110359,1.2201862861248085,0.9477827175163458,0.7274773534355974,1.2177953881679633,1.8099953351002114,1.215758761063208,Diagonal,5,evaluation,0.03,32.0,,,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744,0.6626506024096386
DiagonalScanPath_5,advective mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,295.50866552712534,0.40052459991336503,0.39202001671407205,334.0359159203151,332.2803644059773,1.7555515143378102,3.4197859371616626,True,0.9984006397441023,0.9473684210526315,0.7295977703601917,1.4499516359379272,11.46689486449039,12.33494432867353,21.272077190299612,1.0,True,0.9473684210526315,12.33494432867353,21.272077190299612,2.43765553884542,3.034297002015185,1.4499516359379272,1.7013366776567223,1.1976610238654872,1.246194404644712,0.9616836783677427,0.7177286484737181,1.2225094758844004,1.7555515143378102,1.2225094758844626,Diagonal,5,evaluation,0.03,32.0,,,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744,0.6626506024096386
DiagonalScanPath_5,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,295.50866552712534,0.4127785507651439,0.38671421777186427,334.0359159203151,332.31033881316307,1.7255771071520485,4.088139979557999,True,0.9984006397441023,0.9605263157894737,0.8527055898347783,1.4917083463753011,13.503831399722872,14.627364424409306,21.093591699312807,1.0,True,0.9605263157894737,14.627364424409306,21.093591699312807,2.3392688241964597,2.904096759562573,1.4917083463753011,1.6958252565196845,1.2995808039210575,1.2988320257786234,1.0688697843990125,0.768489546255217,1.1175006838820272,1.7255771071520485,1.1172020082047283,Diagonal,5,evaluation,0.03,32.0,16.524769407828856,1077.1162951691497,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744,0.6626506024096386
DiagonalScanPath_5,advective stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,3,295.50866552712534,0.41952013505432234,0.40775686122605503,334.0359159203151,332.36181545526756,1.6741004650475588,4.087736374166726,True,0.9984006397441023,0.9605263157894737,0.8543117179144162,1.591462508548652,13.513350919779159,14.696449048642041,21.612174975133616,1.0,True,0.9605263157894737,14.696449048642041,21.612174975133616,2.3697862219730768,2.9727954471204088,1.591462508548652,1.932851929406974,1.3504019938293217,1.4425848265910661,1.095221015407382,0.8177250328148247,1.3422228959925007,1.6741004650475588,1.333468010006321,Diagonal,5,evaluation,0.03,32.0,16.524769407828856,1077.1162951691497,0.00013812613329495813,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.531485381547889,2.128748577688744,0.6626506024096386
