method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
exact clipped,0.11932877150261054,0.2959189258402852,1520.195695818044,974.7758027138137,545.4198931042303,0.6034482758620694,0.12068965517241415,833.492072151594,39.20841233647386,756.6435839721053,910.3405603310828,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,1,path_aligned,1.1,0.2
discard saturated,0.098315047739201,0.21152085757924327,1520.195695818044,1197.9033574865866,322.29233833145736,0.6034482758620694,0.12068965517241415,1192.1415157557926,320.37050360049517,564.2153286988221,1820.0677028127632,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,1,path_aligned,1.1,0.2
censored Laplace,0.1017045713167226,0.21815659899149062,1520.195695818044,1384.8618643714817,135.33383144656227,0.6034482758620694,0.12068965517241415,1267.8640438077678,293.25860126317997,693.0771853319351,1842.6509022836003,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,1,path_aligned,1.1,0.2
censored sampled,0.11116955210548507,0.23140082672095189,1520.195695818044,1448.585302114042,71.61039370400204,0.6034482758620694,0.12068965517241415,1345.3083272055705,238.68857343931037,931.6202185946488,1807.308451829678,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,1,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,1,path_aligned,1.1,0.2
exact clipped,0.10841842505493528,0.28390944008614644,1520.195695818044,863.1402121472332,657.0554836708108,0.6034482758620694,0.12068965517241415,863.1402121472332,12.66706243368589,838.3127697772089,887.9676545172575,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,1,path_aligned,2.1,0.45
discard saturated,0.10540787168605535,0.26723554027707547,1520.195695818044,951.4513723219774,568.7443234960666,0.6034482758620694,0.12068965517241415,951.4513723219774,34.76201704376757,883.3178189161929,1019.5849257277619,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,1,path_aligned,2.1,0.45
censored Laplace,0.08339801694643093,0.20860971260833544,1520.195695818044,1012.2065380646771,507.98915775336684,0.6034482758620694,0.12068965517241415,1012.2065380646771,28.819212596274856,955.7208813759785,1068.6921947533758,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,1,path_aligned,2.1,0.45
censored sampled,0.08512593508319301,0.21081291007411093,1520.195695818044,1008.0938330039638,512.1018628140802,0.6034482758620694,0.12068965517241415,1008.0938330039638,19.929372996472917,963.7987903144768,1040.06372091125,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,1,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,1,path_aligned,2.1,0.45
exact clipped,0.11238206182954853,0.28879336673404393,1520.195695818044,850.6206439232068,669.5750518948372,0.6034482758620694,0.12068965517241415,849.3534407317842,15.150229227769325,819.6589914453563,879.0478900182121,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,2,rbf,0.7,
discard saturated,0.15662257335045116,0.4089941846422211,1520.195695818044,744.8577105272592,775.3379852907848,0.6034482758620694,0.12068965517241415,622.2275834904025,62.75756288241455,499.22276024087,745.232406739935,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,2,rbf,0.7,
censored Laplace,0.1050419952484106,0.26570026321076246,1520.195695818044,917.8646666463985,602.3310291716455,0.6034482758620694,0.12068965517241415,905.3996212199906,29.919915817351345,846.756586217982,964.0426562219993,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,2,rbf,0.7,
censored sampled,0.11845492682509917,0.3021396773803846,1520.195695818044,872.0085412222958,648.1871545957482,0.6034482758620694,0.12068965517241415,834.991517732409,59.24047424735122,719.4768834350785,914.9401077677098,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,2,rbf,0.7,
oracle true,0.06519059487598279,0.12431023290290041,1520.195695818044,1259.1113370070875,261.0843588109565,0.6034482758620694,0.12068965517241415,1259.1113370070875,15.150229227769325,1229.4168877206596,1288.8057862935154,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,2,rbf,0.7,
exact clipped,0.11561107069284907,0.3043419390368157,1520.195695818044,833.2008082201195,686.9948875979245,0.6034482758620694,0.12068965517241415,807.9215639515718,254.18187847241762,309.7250821456333,1306.1180457575103,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,2,rbf,1.1,0.2
discard saturated,0.13106337081141017,0.33712598617369294,1520.195695818044,1023.2216331140993,496.9740627039447,0.6034482758620694,0.12068965517241415,738.016680606061,258.8013944297129,230.76594752382368,1245.2674136882983,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,2,rbf,1.1,0.2
