trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.4466533075850797,0.5357791314968493,0.14485344634596561,-0.014978605999567698,0.22681717480484287,4.685049855403271,3.6387562242255544,-2.8797918853836175,3.2502770970423325,0.19230769230769232,2.754073225081024,4.075930460700306,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.4456532532843365,0.5345795249662297,0.16173615135336616,-0.022765232881902308,0.215841467712029,4.669062347583435,3.624596018331947,-2.860243675515549,3.2550362098982575,0.19230769230769232,2.6317799828414215,4.056209717392619,0.6577007362896288
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.4466533075850797,0.5357791314968493,0.14485344634596561,-0.014978605999567698,0.6692663562459963,4.685049855403271,3.6387562242255544,-2.8797918853836175,3.2172157306597553,0.23076923076923078,3.0393067089019827,4.075930460700306,2.678998574927976
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.52200273369337,0.6261638871753815,0.3416528251031445,-0.0011823604393889288,0.5510691090593323,4.670770756375374,3.623772042720147,-2.8563758325324082,3.2210218986045698,0.23076923076923078,2.8747289016441298,4.044405923626869,2.079431076542415
DiagonalScanPath_2,Diagonal,2,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n,0.6363996367445255,0.7633877078027531,0.031249256153337384,0.029472671668582924,0.1931880514050245,7.4807500050711,2.7384850152516877,2.7384850152516877,2.606668388978037,0.7307692307692307,2.754073225081024,34.193757193103465,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n,0.6406828699045094,0.7685256232810074,0.08631120512617037,0.04546424980154446,0.1843554224866361,7.486503097721287,2.7537584474950645,2.7537584474950645,2.6131376717403003,0.7692307692307693,2.6399472944711726,34.20600600221775,0.6577163490131889
DiagonalScanPath_2,Diagonal,2,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.3261907515473253,0.39127930902658886,0.02016265529489703,0.008194742004045949,0.1823206678617861,3.8290639884865,1.671333462625995,0.8223833432942933,1.5649280963114724,0.8076923076923077,2.754073225081024,12.133798690541937,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.33371098284642225,0.4003001377670502,0.0751238741849905,0.024186320137007555,0.17337434170005342,3.831999914205753,1.6819518102054714,0.8376567755376746,1.5660691845130108,0.8076923076923077,2.6399472944711726,12.146047499656163,0.6577163490131889
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.4210459635223904,0.5299407935680491,0.15960957185187966,0.05560961592815266,0.22044336192349287,4.751514223969567,3.34583786738797,-2.413934703287514,3.0252222507462707,0.38461538461538464,2.773095072332983,6.959433074313154,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.42244547889147405,0.5317022646414167,0.1835772106678072,0.03255495928023672,0.21296746580776904,4.708936689495937,3.281520629068194,-2.34470284244479,2.994648680934132,0.38461538461538464,2.6150254911736748,6.949524015160478,0.658173803381235
