region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage
overall,2501,0.49045047996725166,0.12629432280579442,0.0175576433205534,2.755257884388702,0.9948020791683326,10.520032091308954,1.0,0.0,-0.003971106057799093,0.4913640738593811,0.08735451709453425,0.004374699959113438,0.004798080767692923,0.6801710611964532,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.532335220544241,1.4064710607289261,-0.6384243341873516,0.9736707801246297,0.8289473684210527,3.6686306967589672,1.0,0.0,0.7203835374903436,2.717393827313826,1.4666149092553356,0.9050972417209695,0.15789473684210525,1.1247542844292606,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.141120382769543,2.728415949424577,-2.728415949424577,0.96395370716442,0.5384615384615384,3.692902951501275,1.0,0.0,2.8840960948286,4.473681185646406,2.8840960948286,1.6290716409105364,0.4230769230769231,2.293487804659827,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
overall,2501,0.5441545805465962,0.26866940455244365,0.003308853493243172,2.5932642035085074,0.995201919232307,9.902253041098911,1.0,0.0,0.0007565446896510123,0.5146499769039571,0.1511946694416529,0.0690462141543123,0.005197920831667333,0.6517044240388502,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.509650041271369,1.404972554008536,-0.5956400178139422,0.9367851902488488,0.8421052631578947,3.553085322253899,1.0,0.0,0.6990996671708113,2.756511757134808,1.5096740032840585,0.9142917353619814,0.17105263157894737,1.1192142926601145,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.088902430846105,2.661915331223777,-2.661915331223777,0.9321723614053593,0.5384615384615384,3.5061806829779525,1.0,0.0,2.8965594431961432,4.5238846536416055,2.8965594431961432,1.6553035443848971,0.46153846153846156,2.2789671996524645,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
overall,2501,0.5785193005810456,0.024319902650171595,0.022376004703312392,0.7159318740849122,0.998000799680128,2.733135699154833,1.0,0.0,-0.03125437700607043,0.80806473565728,0.03396957661824561,8.619127421216348e-06,0.001999200319872051,0.18646270159125414,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,3.3185172994436063,0.7532867212446318,0.7531252911608801,0.715931874084912,0.9342105263157895,2.6960521671400186,1.0,0.0,-1.0519510562698546,4.635241731184632,1.05217653873487,0.09938419022114717,0.06578947368421052,0.7974355873751443,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,5.673136107614608,2.1076784013208703,2.1076784013208703,0.7159318740849122,0.8076923076923077,2.7406872566149767,1.0,0.0,-2.9439650302130436,7.924128416360678,2.9439650302130436,0.2603915310295317,0.19230769230769232,2.007071061443274,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n
overall,2501,0.584238922449584,0.07319140972583478,0.029169498805768274,0.6575144304628701,0.9976009596161536,2.510256252969198,1.0,0.0,-0.04269013563359493,0.8244555509334638,0.11678002102766903,0.047040072275568744,0.001999200319872051,0.17650489820015008,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n
