model,state_representation,propagation,gamma_mode,stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,crps_K_mean,crps_K_std,n_trajectories
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,overall,0.4950641443777778,0.03185671200512963,0.18277342644443706,0.008021517274487307,0.03623802705934178,0.011666817174696682,0.6632746651513071,0.0025594384572762176,0.9924963347994136,0.0018268233801036775,2.53654998760351,0.010346997108116616,-0.06040883990649248,0.016424523112760187,0.619299027308964,0.06293189876360313,0.268620527838986,0.012237489608317866,0.15189135402156986,0.013797788908192827,0.0071837931494069035,0.0017332941804598418,1.0,0.0,0.0,0.0,0.20988308442422496,0.004007498292748677,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,above_camera_ceiling,2.5823868637367613,0.20077971483420315,1.4410230637444896,0.13183226708679477,-0.7479081867168281,0.30509431641417695,0.8317439645034433,0.07817376829441404,0.7714912280701754,0.05640757540997764,3.1736401340535725,0.2972864530466279,0.9070514940725823,0.42619733291864204,3.04092334392078,0.42858047889472184,1.719377698605606,0.23337921251384397,0.8232679279757043,0.15733813447834122,0.22412280701754386,0.05838385750972436,1.0,0.0,0.0,0.0,1.1963696288832815,0.11997193311620657,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,current_top_1pct,4.301713118550253,0.36901141165254037,3.1554833426025213,0.38842619805088646,-2.6563635451697363,0.4355749152245211,0.8730986096587142,0.10295413716199218,0.38974358974358975,0.15040356964453108,3.330478775720964,0.39043183677589155,3.1699926143285686,0.724081148996329,5.054904125711242,0.791900083323835,3.737475259542348,0.7495358097724142,2.4801484073835245,0.7101849434390402,0.6012820512820514,0.15728365673883832,1.0,0.0,0.0,0.0,2.7500619016787726,0.3855321079984168,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current forecast before Y_n,overall,0.5404911939753908,0.04625180411120183,0.16610315775998621,0.030946640981159835,-0.030629968244196393,0.0391471396777542,0.7159318740849115,2.290546893696837e-15,0.9802745568439291,0.010647512203938845,2.7381721842140174,0.004444462697681649,0.042783356004853015,0.05467997877282835,0.7549478009569482,0.06460363867766011,0.23200972574701417,0.043225678449803726,0.03655245195395296,0.014300498459876118,0.018046114887378385,0.010336669454000105,1.0,0.0,0.0,0.0,0.23952774764371185,0.01751789633046217,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current forecast before Y_n,above_camera_ceiling,2.6029858498797096,0.2048780944202841,1.4702659924820436,0.1393726484819368,-0.6982385076407345,0.3239179427727746,0.7159318740849112,2.239031499692974e-15,0.7197368421052631,0.04427135863227577,2.7400701245836516,0.02539355858041122,0.9752862428889724,0.452442410371516,3.635801036525702,0.28616981843720113,2.053639523119857,0.19467305972384477,0.9996504751632875,0.23808935311898047,0.2679824561403509,0.04404603470074865,1.0,0.0,0.0,0.0,1.2409785446761292,0.12949545998288642,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current forecast before Y_n,current_top_1pct,4.32054596350015,0.3794380461418725,3.1866497124109587,0.4125854610306781,-2.6402713156609137,0.43242639807226657,0.7159318740849115,2.248030287623391e-15,0.3153846153846154,0.1275224974250446,2.741239941370883,0.036847299506546735,3.6878806646730884,0.6040049531597989,6.034856275986562,0.5299918328498249,4.451051598287986,0.576291510359186,2.8745868935481,0.7571049497666289,0.6653846153846154,0.12702150351267893,1.0,0.0,0.0,0.0,2.8241441235634017,0.4006139047250861,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current posterior after Y_n,overall,0.5387187812597395,0.04558060941816864,0.1771880374034698,0.028854755847324397,-0.05063460303465392,0.036310117683508496,0.6582668774649562,0.0003767009960602658,0.9787551646008263,0.011100939908581952,2.517571696211062,0.003390327939051277,0.07021908733654476,0.05262779526806587,0.7767368469332312,0.0651325096166186,0.2697657345377754,0.0421550819915239,0.07639528811829957,0.010999765768205811,0.01963214714114354,0.011281047472702846,1.0,0.0,0.0,0.0,0.22787147814376787,0.01745379700566404,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current posterior after Y_n,above_camera_ceiling,2.598348115958175,0.20143295149917967,1.4673258102100004,0.1306522215333456,-0.6745995126057861,0.3111324944451087,0.6879709487635614,0.005953189532660743,0.7087719298245614,0.045676233827632244,2.6278317715285437,0.030760424773184615,0.9551977506558658,0.4487152247979517,3.6913875905819653,0.2858183422453764,2.105268167255511,0.18641972788840216,1.0426235587069883,0.24791560614559593,0.2763157894736842,0.04329644442136043,1.0,0.0,0.0,0.0,1.2405389837220107,0.12092706732006801,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current posterior after Y_n,current_top_1pct,4.311001332216547,0.3717785097277291,3.1687982931607355,0.39551736323895414,-2.6222823388222363,0.42901630839209154,0.6993155159676796,0.005888473994931501,0.3038461538461538,0.12093207355791655,2.6631411303085715,0.043585480857685155,3.7377528156728546,0.6149288598427058,6.115471884041094,0.5301887629388051,4.5161835716112,0.5700619006969936,2.951592358892505,0.7470578112170552,0.6717948717948717,0.12151417232586044,1.0,0.0,0.0,0.0,2.817130274792517,0.38040699887287327,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current forecast before Y_n,overall,0.5404911939753908,0.04625180411120183,0.16610315775998621,0.030946640981159835,-0.030629968244196393,0.0391471396777542,2.6976296217288853,0.07700313858601325,0.9933493269358923,0.0016078972660908686,10.317232770055393,0.294817941145773,0.01661883978368107,0.019208216116333058,0.5310984124806926,0.07755117883195216,0.10470157564751997,0.012915490687465843,0.009072677853733339,0.003641031526017485,0.006477409036385446,0.0016582520074632323,1.0,0.0,0.0,0.0,0.6756941348266775,0.01645455016548915,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current forecast before Y_n,above_camera_ceiling,2.6029858498797096,0.2048780944202841,1.4702659924820436,0.1393726484819368,-0.6982385076407345,0.3239179427727746,0.976441615120553,0.1097113395993582,0.787719298245614,0.054606037574957425,3.7363337347709313,0.4278200604442442,0.8524033763261831,0.4186529115813933,2.9190383329620913,0.4758047774533296,1.6064217379035834,0.24826929462370598,0.7206612412316779,0.14492440527515627,0.20921052631578946,0.0567101631276768,1.0,0.0,0.0,0.0,1.2213328072024758,0.13235430945276666,30
