model,family,field_excess_rel_l2_mean,field_excess_rel_l2_std,overall_rmse_K_mean,overall_rmse_K_std,overall_mae_K_mean,overall_mae_K_std,overall_signed_error_K_mean,overall_signed_error_K_std,overall_crps_K_mean,overall_crps_K_std,top_1pct_rmse_K_mean,top_1pct_rmse_K_std,top_1pct_mae_K_mean,top_1pct_mae_K_std,top_1pct_signed_error_K_mean,top_1pct_signed_error_K_std,top_1pct_crps_K_mean,top_1pct_crps_K_std,top_1pct_coverage_95_mean,top_1pct_coverage_95_std,top_1pct_interval_width_95_K_mean,top_1pct_interval_width_95_K_std,peak_absolute_error_K_mean,peak_absolute_error_K_std,mean_posterior_sd_K_mean,mean_posterior_sd_K_std,n_trajectories
hybrid previous state | mean-only | fixed gamma,Diagonal,0.40117680639411096,0.020001812506660294,0.5360433102410601,0.03010943026191221,0.1868829949167889,0.00422058116165716,0.037726004115301755,0.012695349974738649,0.21419285426211374,0.00326788065269886,4.744796569894463,0.3544868055043897,3.441149641497605,0.44004409003907474,-2.5561209750464724,0.47761488246083766,3.09505166232952,0.42365588549696775,0.2802197802197802,0.1363700400658336,2.6611626987753594,0.02859602823942796,5.625924915676364,3.4609893431621597,0.6582328220196836,0.000353957068560812,7
hybrid previous state | moment-matched | fixed gamma,Horizontal,0.47679568037328596,0.07198061661766715,0.4861767438069178,0.0196358264824146,0.18381703754324166,0.0068813862960813875,0.03358169947530756,0.012123390863282065,0.2079918803044798,0.0038179787355301625,4.184536211371253,0.27133851068873843,2.9140444140769017,0.3133377407661385,-2.8856517269426796,0.32158056567172194,2.496905795453573,0.3155709641719237,0.47202797202797203,0.14805535216601487,3.4248333129665824,0.3372725796031878,11.387519243056163,1.8609020797930813,0.6639044636175372,0.0024531129768614063,11
hybrid previous state | mean-only | development-recalibrated gamma,Horizontal,0.4769514715586984,0.07253463983421639,0.4863218420718786,0.02007554343077438,0.18381372936806561,0.0067693724478886655,0.03403823820760839,0.013002569023413818,0.20894440099740247,0.0033143475882057636,4.180077196759011,0.30767078256689057,2.8964790835609446,0.34503338419570423,-2.8660529836746624,0.3766232230114252,2.546449369538836,0.3177092573972963,0.3356643356643357,0.10615789999353882,2.6665103376296218,0.028050181791545538,11.508396564333877,1.8434637328531758,0.6580175950253918,0.00033596806473825135,11
hybrid previous state | moment-matched | development-recalibrated gamma,Horizontal,0.47883162816910124,0.07234750913118815,0.4882419611089158,0.019650672609159724,0.18393181964926944,0.006877082821462238,0.03344954180368822,0.012125297948534116,0.2081057958140021,0.0038152433997938498,4.2077802096570585,0.2710749522928579,2.925859233617352,0.31317721516407543,-2.8975906144751318,0.3214535269415832,2.508320274995153,0.31566534203791136,0.47202797202797203,0.14805535216601487,3.4248333129665824,0.3372725796031878,11.531327407289599,1.8553635362243825,0.6639044636175372,0.0024531129768614063,11
coherent latent previous state | mean-only | fixed gamma,Horizontal,0.5058345320601906,0.054718458384014436,0.5185404023526303,0.021620869574990445,0.17535700847362728,0.02126473851638361,-0.05731017428471366,0.0327231999149756,0.22224825148177157,0.011677517303477334,4.156556186505305,0.3064294591354515,2.8858489231460975,0.3453337753594349,-2.8554163410220728,0.37675158501976136,2.5311929095023933,0.3210477462499647,0.3531468531468531,0.13740858372430334,2.663467555330607,0.03236554858648133,11.365788624680595,1.8385281751771572,0.6580161099416003,0.00033595960867116787,11
coherent latent previous state | moment-matched | fixed gamma,Horizontal,0.5659476610224312,0.06531955329997305,0.58009173996038,0.03458781252841606,0.3055176845508169,0.037365065804311974,-0.061952988363820946,0.03648962813377349,0.6722648438003221,0.012344475667418952,4.170993028239691,0.28565003562983865,2.89779914102863,0.33296701170722154,-2.8703575200669302,0.34371568698252936,2.480319579543888,0.33052292500506597,0.465034965034965,0.15807135069211253,3.4103353924716355,0.3152311319016079,11.376117100345168,1.839493965419401,2.657421935790479,0.05051665166199939,11
coherent latent previous state | mean-only | development-recalibrated gamma,Horizontal,0.5085085115023017,0.055307143188481844,0.5212396824905011,0.021430181446111446,0.17551422419601906,0.02125353085292133,-0.05749385439426875,0.03272495661124311,0.2224077538812165,0.011669355700771444,4.189045109739078,0.3060863744250274,2.9020471475375267,0.3455750593382633,-2.8720096733883027,0.3764193763622321,2.547185399800439,0.32127081088537235,0.3531468531468531,0.13740858372430334,2.663467555330607,0.0323655485864816,11.565661239245117,1.8302672956431414,0.6580161099416003,0.00033595960867116787,11
coherent latent previous state | moment-matched | development-recalibrated gamma,Horizontal,0.5683449693820609,0.06578823270546166,0.582511105962965,0.03441613850642095,0.3056772151293434,0.03736203988324079,-0.06213666847337604,0.036490563149645536,0.6724239883576992,0.012336589675222888,4.203419778178641,0.28520113033689565,2.9142200367736333,0.33276273366689263,-2.8869508524331597,0.3435265532610313,2.496210806793952,0.33068221875975684,0.4615384615384615,0.1576453963993784,3.4103353924716355,0.3152311319016079,11.575989714909657,1.8316759610026623,2.657421935790479,0.05051665166199939,11
strict oracle | exact previous state | fixed gamma,Horizontal,0.5701036159200892,0.07622322711599992,0.5825155726862008,0.017367785016389057,0.07736020732855935,0.0035955191354178667,0.026713133502887385,0.006405211256645508,0.17765130585322286,0.0009249616262761245,5.649713604657975,0.1666203810251074,2.101116082034441,0.024747771640180653,2.09734012004585,0.027248638344224085,1.9795573958661257,0.01674106666959539,0.8146853146853147,0.02319318035213564,2.6758841202595005,0.0512230756132403,23.106639262174557,2.2246697116064804,0.6579431388458785,0.0002666117665174913,11
recalibrated oracle | exact previous state | development-recalibrated gamma,Horizontal,0.42569402842270315,0.057132985378919754,0.4349677057791508,0.014161416697599244,0.07180779036080355,0.003531991528820225,0.021160716535131595,0.006382242077076988,0.17229051628660852,0.000899998872133923,4.187466956070273,0.13709050623443433,1.5995206702882478,0.02591107676001686,1.5957447082996574,0.02814745653864688,1.4880884981371132,0.017752783912952135,0.8426573426573427,0.011596590176067881,2.6758841202595005,0.0512230756132403,17.064743385773497,1.7465170803489594,0.6579431388458785,0.0002666117665174913,11
hybrid previous state | mean-only | fixed gamma,Spiral,0.3487379216165329,0.03694285500855114,0.48113457377521357,0.015550151096399453,0.1792397918252365,0.009354240304249282,0.03738821938247925,0.008623991495442065,0.210076980000007,0.0032375967426823984,4.180647059098375,0.20347348220277306,3.2467103638489934,0.2640934354265169,-2.478637962487813,0.34991903867884366,2.8909783961729083,0.24810479913247824,0.27564102564102566,0.10219923444726287,2.681082634938878,0.053234391637911056,5.351219737974977,2.836283257351788,0.6584916282910701,0.00031343845299859683,12
hybrid previous state | moment-matched | fixed gamma,Spiral,0.34692340715442077,0.035951941613321894,0.47881550924129757,0.017944390801686267,0.17913672388045007,0.009324347161595643,0.03850689050355543,0.009562270956311396,0.20938936446356735,0.0033498354505723323,4.151227749511656,0.23238722604143566,3.210933779525508,0.29250969348634126,-2.427805391317652,0.3911452605019875,2.817651323078907,0.28811524112312026,0.32371794871794873,0.10935078275148705,3.2187357882341847,0.43418489718683434,5.401985709096579,2.8871495186834077,0.6623959714492322,0.0025433117206954355,12
hybrid previous state | mean-only | development-recalibrated gamma,Spiral,0.3478374787608656,0.03690422281591656,0.479891326727617,0.015727282144979073,0.17916033705039006,0.009372183047668183,0.036864652719509776,0.008625552272052986,0.20999968904328226,0.0032457288782734555,4.167646909149684,0.20539153454705333,3.242389367818656,0.2626961064325414,-2.525227381262647,0.3494802715901454,2.885988476833768,0.24705246304091824,0.27564102564102566,0.10219923444726287,2.681082634938878,0.053234391637911056,5.1693437893428795,2.243688931987884,0.6584916282910701,0.00031343845299859683,12
hybrid previous state | moment-matched | development-recalibrated gamma,Spiral,0.3459673641091166,0.03592635032187656,0.4774992631138455,0.018243506497536862,0.1790572691056036,0.009339432475037584,0.03798332384058593,0.009563401667083547,0.2093090062883033,0.003353562675481723,4.137382060879135,0.23591469644910928,3.2066127834951677,0.29205468151711833,-2.4743948100924875,0.39077155531688434,2.81232518550731,0.28850611164337786,0.32371794871794873,0.10935078275148705,3.2187357882341856,0.4341848971868342,5.220109760464477,2.293002571188579,0.6623959714492322,0.0025433117206954355,12
coherent latent previous state | mean-only | fixed gamma,Spiral,0.38723689462167304,0.015170375429207688,0.5388607742583614,0.055623754709362684,0.17775588108942383,0.03952670228866247,-0.04926999827104079,0.0397452155773558,0.23293245600513682,0.02351262951243663,4.182229220023866,0.20229949020775576,3.250002396206457,0.25722859570482715,-2.4639425565683246,0.35600014968085986,2.8996383255612854,0.23797464539814284,0.2692307692307692,0.09421114395319917,2.669732106679399,0.05550979833476994,5.35406280465521,2.841620670052277,0.6585085053384232,0.00027978798123173197,12
coherent latent previous state | moment-matched | fixed gamma,Spiral,0.4453203447552192,0.017443421193026967,0.6189571707346169,0.055381101663063245,0.3478735161344577,0.04019303114970881,-0.055104608483257184,0.04942820101187956,0.5456147603971042,0.011699710180290696,4.152536660473427,0.23493056889280223,3.2132359568049362,0.29603371812083384,-2.420568681011834,0.3977158705139014,2.8320798707954573,0.28740318625192807,0.3301282051282051,0.11649619965004435,3.2012383597193277,0.36293317138003944,5.394297058458913,2.8772420704847566,2.0368565319199523,0.0145966601968899,12
coherent latent previous state | mean-only | development-recalibrated gamma,Spiral,0.3861266066095041,0.015012107373490832,0.5373457102187313,0.05567751723370827,0.1776417128072092,0.03951130731329348,-0.049997680446697,0.03974764822605313,0.23281434348050314,0.023482148139633768,4.165326133544024,0.20513894236428473,3.2439968347092325,0.2552791279772275,-2.5286951315782535,0.35538449954716034,2.892793840045035,0.23612616905885508,0.266025641025641,0.0962703257194524,2.669732106679399,0.05550979833476994,5.10128145824649,2.0265295262113394,0.6585085053384232,0.00027978798123173197,12
coherent latent previous state | moment-matched | development-recalibrated gamma,Spiral,0.4443236698683404,0.017356641710429277,0.6175918765047032,0.05545855378587527,0.34775934785224316,0.04018983718676775,-0.05583229065891337,0.0494295448858323,0.5454973631987727,0.01171308407973611,4.134770118674056,0.23970700996447153,3.2072303953077115,0.2956876065621338,-2.4853212560217623,0.39719087651878643,2.825000517096946,0.28751362001233627,0.3301282051282051,0.11649619965004435,3.2012383597193277,0.36293317138003944,5.1415157120502215,2.0631164110869284,2.0368565319199523,0.0145966601968899,12
strict oracle | exact previous state | fixed gamma,Spiral,0.5229218944446793,0.05240411262877708,0.7217854841894268,0.02473028109421405,0.082205763468902,0.0033889015404503474,0.030609121698604136,0.008357294903463475,0.1839513795041882,0.0008884838299088404,7.028783540290239,0.24438859596156953,2.7490447185651,0.05689276363818291,2.745877306102965,0.05640995458328205,2.5870124089595405,0.05672810930766821,0.7243589743589743,0.02220577958421641,2.720484554827357,0.03205779865302785,27.52158374840128,7.107608469870463,0.6585586901938091,0.00018139938962658425,12
recalibrated oracle | exact previous state | development-recalibrated gamma,Spiral,0.31759084723913517,0.05090423230048914,0.4398016382204117,0.06764887948055694,0.07291491314447512,0.0033336710591874126,0.008612211586594629,0.008326264937420415,0.17472688651171633,0.0018678902369351023,4.230405321822752,0.6758467636103325,1.8613439039976152,0.17371632342875604,0.7884890126077645,0.058741610302455026,1.7018986764694979,0.17035145230777085,0.7660256410256411,0.025713766285443165,2.720484554827357,0.032057798653027915,10.495295383441544,4.665917268347994,0.6585586901938091,0.00018139938962658425,12
