region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,state_representation,stage,region_basis
saturated,79,6.168535744995926,2.277924555445671,-1.3904468532844554,0.9311223433511254,0.7468354430379747,3.34514980373876,1.0,0.0,2.3559510994043906,10.135491103256136,3.4553889872480914,0.9535081486145005,0.22784810126582278,2.029987869214405,DiagonalScanPath_6,Diagonal,6,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,10.696005373568928,5.598111729553162,-5.462876986562857,0.9667057087863637,0.46153846153846156,3.6027515287927656,1.0,0.0,8.73479971021761,17.60358181623226,8.815536457206019,3.0062238972779993,0.6153846153846154,5.334458112696852,DiagonalScanPath_6,Diagonal,6,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.1584981991616743,0.2768625223814371,-0.06554146776119299,0.01573355137314278,0.015593762495002,0.05779264154205991,0.03198720511795282,0.9680127948820472,4.05051741361606,11.85814216653357,5.175102650214948,2.1137625941186187,0.5375,0.269892849144701,DiagonalScanPath_7,Diagonal,7,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2421,0.2541741268869825,0.20267977815573557,-0.0037925152724317458,6.826581397895322e-13,0.0,0.0,0.0,1.0,,,,,,0.20267977815570493,DiagonalScanPath_7,Diagonal,7,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,80,6.324782455980392,2.5218178195117296,-1.93421914245233,0.49187014978221716,0.4875,1.806742456208648,1.0,0.0,4.05051741361606,11.85814216653357,5.175102650214948,2.1137625941186187,0.5375,2.303928409949195,DiagonalScanPath_7,Diagonal,7,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,11.031626705165838,6.309535662135466,-6.309535662135466,0.5025766675771973,0.038461538461538464,1.804254005143983,1.0,0.0,12.741087651517235,20.62940609029823,12.741087651517235,7.998243884938483,0.9615384615384616,6.027762085475398,DiagonalScanPath_7,Diagonal,7,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.1990771169320296,0.36298197610911553,-0.13057408309646418,2.8551431861928793,0.9808076769292283,10.918231536717235,1.0,0.0,0.14468712599760195,2.1809900359954804,0.29915602822885135,0.07954352950513231,0.01879248300679728,0.7581942117928948,DiagonalScanPath_7,Diagonal,7,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2421,0.4049602111380651,0.2917399284162687,-0.07085121619250469,2.9331172854032017,0.9975216852540273,11.219094426443743,1.0,0.0,0.0130283680462392,0.270407775765035,0.1364328808726351,0.0765489072732008,0.0028913672036348617,0.7071625892877377,DiagonalScanPath_7,Diagonal,7,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,80,6.323444585756591,2.518944444413892,-1.9379373427775384,0.49545200884049406,0.475,1.8133683363687745,1.0,0.0,4.129010288500718,12.103473755590214,5.223565275096346,2.0036587440132108,0.5,2.302538687855212,DiagonalScanPath_7,Diagonal,7,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,11.030458722588902,6.31375110571784,-6.31375110571784,0.4971291559293045,0.07692307692307693,1.790897270026208,1.0,0.0,12.977449435628957,21.072899155052585,12.977449435628957,8.004702603939014,0.9615384615384616,6.035135943394873,DiagonalScanPath_7,Diagonal,7,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.1147625117349091,0.27668253603211457,-0.040298178885351504,0.02614485318087645,0.01719312275089964,0.08707270045110375,0.03078768492602959,0.9692123150739704,1.6422016629814524,6.907209215758371,3.1950215534277446,1.5255774988618995,0.35064935064935066,0.2666174228351392,DiagonalScanPath_8,Diagonal,8,development,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2424,0.2544603034182518,0.203064257089199,0.003867541516452199,6.906551568647431e-13,0.0,0.0,0.0,1.0,,,,,,0.2030642570892064,DiagonalScanPath_8,Diagonal,8,development,hybrid previous state,previous posterior,previous-frame truth
saturated,77,6.190721196514822,2.5942242004168845,-1.4306580003655098,0.849198413035037,0.5584415584415584,2.828166543223513,1.0,0.0,1.6422016629814524,6.907209215758371,3.1950215534277446,1.5255774988618995,0.35064935064935066,2.2673040951486594,DiagonalScanPath_8,Diagonal,8,development,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,10.537316189890904,5.845570394783751,-5.845570394783751,0.9700103290674537,0.3076923076923077,3.11686163763942,1.0,0.0,6.95457817268974,11.703511172097489,6.95457817268974,4.078036402670479,0.6923076923076923,5.4186660061952905,DiagonalScanPath_8,Diagonal,8,development,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.1721631328957804,0.3581008660052243,-0.10908607924568842,2.8773065354484046,0.9832067173130747,10.995887363432702,1.0,0.0,0.06359121088397755,1.2112363485882927,0.22492163902300327,0.07164096445037914,0.013594562175129948,0.7606130773974231,DiagonalScanPath_8,Diagonal,8,development,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2424,0.4460652341695769,0.28710335078461946,-0.06697164605162474,2.941619466161312,0.9962871287128713,11.254537370454683,1.0,0.0,0.014325746811546804,0.27106506198600666,0.13213393563770642,0.06850321156861333,0.0024752475247524753,0.7128566768112817,DiagonalScanPath_8,Diagonal,8,development,coherent latent previous state,previous posterior,previous-frame truth
saturated,77,6.193813993524854,2.593139526975954,-1.434870313822446,0.852702067291431,0.5714285714285714,2.8534507787407035,1.0,0.0,1.614493612332966,6.733415750604117,3.1459267429965037,1.54753951467327,0.36363636363636365,2.2640093763689375,DiagonalScanPath_8,Diagonal,8,development,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,10.543736505964146,5.849428404201481,-5.849428404201481,0.9728569783334853,0.3076923076923077,3.141229650146014,1.0,0.0,6.841540477829706,11.403680270657437,6.841540477829706,4.123006996731109,0.7307692307692307,5.42096547989395,DiagonalScanPath_8,Diagonal,8,development,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,0.991862153348045,0.2624882863668184,-0.04101615282852382,0.020739329323223046,0.01879248300679728,0.07546248194635763,0.032387045181927226,0.9676129548180727,2.171815692958237,9.44441028523327,3.501466095797939,1.424456174646969,0.3950617283950617,0.2545408165397893,HorizontalScanPath_1,Horizontal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2420,0.2515248908748183,0.20189559339247398,-0.0010863982135827547,6.80419894529427e-13,0.0,0.0,0.0,1.0,,,,,,0.20189559339246282,HorizontalScanPath_1,Horizontal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,81,5.337220080815862,2.072788496217603,-1.233979191941578,0.6403587979720274,0.5802469135802469,2.3300205845412396,1.0,0.0,2.171815692958237,9.44441028523327,3.501466095797939,1.424456174646969,0.3950617283950617,1.827398100694483,HorizontalScanPath_1,Horizontal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.321315607235471,4.847056047629026,-4.847056047629026,0.6517840367269645,0.38461538461538464,2.3873550367558405,1.0,0.0,8.138195433051447,16.497145500826964,8.138195433051447,3.3066787273197127,0.7307692307692307,4.549181927810662,HorizontalScanPath_1,Horizontal,1,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0161520922904856,0.3100515945481086,-0.03525587194206387,2.8357745082569537,0.9836065573770492,10.855670163806439,1.0,0.0,0.0655855893821626,1.79873898852327,0.23859605521774482,0.07044393493250237,0.015193922431027589,0.7318712044494637,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2420,0.33929464345127214,0.2511015180649622,0.004825814572709011,2.90922371262722,0.9971074380165289,11.140076689933396,1.0,0.0,-0.006693027382947449,0.26910629675940634,0.1275142405204524,0.06747262576347085,0.0024793388429752068,0.6952107990235455,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,81,5.333162939939713,2.0712761018223564,-1.2327581110254018,0.6413661801576477,0.5802469135802469,2.3585862968035385,1.0,0.0,2.2250208063150803,9.886165850156388,3.5573366918529006,1.459736204551985,0.3950617283950617,1.827157391248501,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
