noise_sd,rep,target_frac_saturated_clean,actual_frac_saturated,Tmax,method,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
10.0,0,0.1,0.09979166666666667,663.5329020507428,hinge,0.00010073875846127093,True,0.04447629704561195,180.47850074074222,0.11521853487689718,0.07727563415397554,0.00298900011659776,472.5204585792753,473.15,0.0013305324331071532,918.4214833221629,1100.0,0.16507137879803374,0.4028746939436554,0.4,0.0071867348591383995,-0.19945657635616698,-0.2,0.002717118219165149,1.3105134861301257,1.25,0.048410788904100596,0.46867476465889274,0.45,0.041499477019761616
10.0,0,0.1,0.09979166666666667,663.5329020507428,censored,0.5331977397944714,True,0.043569289189806834,180.59461820226306,0.11529266494632452,0.07560583474955276,0.0039472023614103065,472.3225027539868,473.15,0.0017489110134485785,918.4214833221629,1100.0,0.16507137879803374,0.40557626001630576,0.4,0.013940650040764335,-0.19956680826717135,-0.2,0.0021659586641432915,1.3197865854664976,1.25,0.055829268373198106,0.4708495233436411,0.45,0.046332274096980215
10.0,1,0.1,0.09958333333333333,663.5329020507428,exact,0.0003964912518319088,True,0.22619607651378018,834.5749603513202,0.5327975563956816,0.39203932116514917,0.02633614847979912,468.1264751557096,473.15,0.010617192949995486,264.4120906391318,1100.0,0.7596253721462438,0.40634016481460344,0.4,0.015850412036508554,-0.20144788129912078,-0.2,0.0072394064956038395,1.9121070589564104,1.25,0.5296856471651283,0.6899970626794303,0.45,0.5333268059542895
10.0,1,0.1,0.09958333333333333,663.5329020507428,discard,0.00029925614050308987,True,0.2470103782523848,890.932558246683,0.568776577897045,0.4279667809102456,0.029820971186725987,470.2555409520563,473.15,0.006117423751333944,205.64540972284843,1100.0,0.8130496275246832,0.41709640928242087,0.4,0.04274102320605211,-0.1972012890036112,-0.2,0.013993554981944073,1.95513972290901,1.25,0.5641117783272079,0.7036082215653592,0.45,0.5635738257007982
10.0,1,0.1,0.09958333333333333,663.5329020507428,hinge,0.0001065984400312839,True,0.044989816915495515,184.5362984111639,0.11780905674234908,0.07817072384656641,0.0035272534449505883,472.746450505418,473.15,0.0008528997032272354,914.7098187908912,1100.0,0.168445619281008,0.399354208210317,0.4,0.0016144794742076196,-0.20430090587973415,-0.2,0.021504529398670702,1.3061930136113091,1.25,0.0449544108890473,0.47304814664242395,0.45,0.051218103649830975
10.0,1,0.1,0.09958333333333333,663.5329020507428,censored,0.5712207145883336,True,0.044256836779079885,184.67337517859414,0.11789656735576926,0.07680839232406182,0.004330761256298123,472.53421921965906,473.15,0.0013014493930908015,914.7098187908912,1100.0,0.168445619281008,0.3996523054713113,0.4,0.0008692363217217836,-0.20440981051136714,-0.2,0.022049052556835647,1.3138331289137761,1.25,0.0510665031310209,0.4749519663263878,0.45,0.05544881405863955
10.0,2,0.1,0.09895833333333333,663.5329020507428,exact,0.0004524399692506028,True,0.21383452021260446,794.1519736731369,0.5069912842840848,0.37129043783428195,0.023245339682300723,466.82565761002934,473.15,0.01336646389088162,306.3398321843321,1100.0,0.721509243468789,0.39904512824906435,0.4,0.002387179377339177,-0.2001869678098525,-0.2,0.0009348390492625036,1.7976326302139658,1.25,0.43810610417117263,0.6490071686097855,0.45,0.4422381524661899
10.0,2,0.1,0.09895833333333333,663.5329020507428,discard,0.00016308396949387628,True,0.18733266489840436,703.3210775726354,0.44900430673660935,0.32560510039587776,0.017579589910184386,470.70379631789285,473.15,0.005170038427786379,393.8925022056543,1100.0,0.6419159070857688,0.39963686151416977,0.4,0.000907846214575625,-0.201274613805246,-0.2,0.006373069026229944,1.604386096443906,1.25,0.28350887715512485,0.5833245153732588,0.45,0.29627670082946395
10.0,2,0.1,0.09895833333333333,663.5329020507428,hinge,0.00010313306692035141,True,0.05372291741088955,216.8020338782719,0.13840769177082862,0.093518412471768,0.0035216707251305253,472.44219132471113,473.15,0.0014959498579495832,882.2498602236026,1100.0,0.19795467252399765,0.3974936704084789,0.4,0.006265823978802848,-0.2008291343516987,-0.2,0.004145671758493397,1.319266196543695,1.25,0.05541295723495594,0.4738120417530443,0.45,0.052915648340098445
10.0,2,0.1,0.09895833333333333,663.5329020507428,censored,0.5507324804611665,True,0.05290156037598992,216.7728020161403,0.13838902997835636,0.09203199898007897,0.00414001824712008,472.2612821725113,473.15,0.001878300385688844,882.2498602236026,1100.0,0.19795467252399765,0.400998957275965,0.4,0.002497393189912489,-0.20032479840603212,-0.2,0.0016239920301605593,1.328540236122352,1.25,0.06283218889788156,0.47551571862135783,0.45,0.056701596936350705
20.0,0,0.1,0.10145833333333333,663.5329020507428,exact,0.0006495347153123793,True,0.2263590982994865,835.2462676768821,0.5332261229351082,0.3909290441880172,0.025902939132478313,467.5857682558983,473.15,0.011759974097224297,264.2796516812006,1100.0,0.7597457711989085,0.3976508293465281,0.4,0.005872926633679748,-0.20043225356968833,-0.2,0.0021612678484415893,1.9281692002450173,1.25,0.5425353601960138,0.689317351365584,0.45,0.5318163363679644
20.0,0,0.1,0.10145833333333333,663.5329020507428,discard,0.0005471522443321954,True,0.24250367886396781,877.719925240537,0.5603415553841912,0.4188258673612487,0.027640194959539007,469.58280983221186,473.15,0.007539237383045783,219.78798272910396,1100.0,0.8001927429735418,0.3847319435879281,0.4,0.038170141030179766,-0.20391901482541808,-0.2,0.01959507412709033,1.9248946292501905,1.25,0.5399157034001524,0.6871144601853385,0.45,0.5269210226340856
20.0,0,0.1,0.10145833333333333,663.5329020507428,hinge,0.0004064993599768468,True,0.006941841186102898,27.455986599012704,0.017528063101999353,0.011308030420764188,0.002919807811726183,472.7051170632771,473.15,0.0009402577126130759,1071.3113686664315,1100.0,0.026080573939607762,0.4093773128875295,0.4,0.023443282218823663,-0.19519639275712988,-0.2,0.02401803621435064,1.2720625802504713,1.25,0.017650064200377003,0.45498107756808465,0.45,0.0110690612624103
20.0,0,0.1,0.10145833333333333,663.5329020507428,censored,0.5444441995173722,True,0.009144466065192897,27.815415690928376,0.017757524745312465,0.012946194601719533,0.006466590795447271,472.2685694277648,473.15,0.001862898810599515,1071.3113686664315,1100.0,0.026080573939607762,0.4145712250486323,0.4,0.036428062621580715,-0.19579737703889294,-0.2,0.02101311480553536,1.2901755688788246,1.25,0.03214045510305965,0.4595981074060555,0.45,0.0213291275690122
20.0,1,0.1,0.099375,663.5329020507428,exact,0.0006576191212874584,True,0.22657682310252805,835.761290891901,0.5335549167804611,0.39291478685934694,0.026979936288990182,468.1655410203602,473.15,0.01053462745353436,263.2327875655725,1100.0,0.7606974658494795,0.4048545405703671,0.4,0.012136351425917763,-0.20354092414285016,-0.2,0.017704620714250746,1.9116534698821817,1.25,0.5293227759057453,0.6919154716867965,0.45,0.5375899370817698
20.0,1,0.1,0.099375,663.5329020507428,discard,0.0005694965420721182,True,0.24239769321299387,877.4069930701985,0.5601417776487032,0.4202831829860928,0.02933999354409947,470.3490676798234,473.15,0.005919755511310517,219.2100752355413,1100.0,0.8007181134222351,0.4189268493405035,0.4,0.047317123351258705,-0.20532407998025953,-0.2,0.02662039990129761,1.9077581261021286,1.25,0.5262065008817028,0.6919250862948824,0.45,0.5376113028775164
