target_frac_saturated,actual_frac_saturated,Tmax,method,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
0.05,0.05,928.3411439696964,hinge,1.3969677539246334e-10,True,4.2870722851094216e-05,0.16506701536241053,0.00010499698130267117,7.787304550863052e-05,2.332364263137652e-05,473.149747295008,473.15,5.340906519390196e-07,1099.8358401831588,1100.0,0.00014923619712838197,0.40004389691540393,0.4,0.00010974228850976764,-0.1999917080142271,-0.2,4.145992886450678e-05,1.2501442379594077,1.25,0.00011539036752612475,0.4499956973335822,0.45,9.561480928491998e-06
0.05,0.05,928.3411439696964,censored,0.007920253015594333,True,0.013910865535112544,60.10715042149832,0.03823337651745096,0.02819257260920186,0.0030689483164777144,473.4080444258125,473.15,0.0005453755168815384,1159.9309573659789,1100.0,0.054482688514526256,0.39971855003577084,0.4,0.0007036249105729642,-0.20002923360228264,-0.2,0.00014616801141315028,1.230930526780596,1.25,0.015255578575523288,0.443600571628007,0.45,0.014220951937762294
0.1,0.1,665.9253085659383,exact,0.0003174943434385363,True,0.22556038102579265,836.2842820373272,0.5319495535313757,0.3901837980959427,0.02617187967513513,467.90410408185767,473.15,0.011087173027881876,268.035356599079,1100.0,0.7563314940008372,0.40083682118623043,0.4,0.002092052965576019,-0.20006389498306812,-0.2,0.0003194749153405396,1.9080948496400452,1.25,0.5264758797120361,0.6880618024887903,0.45,0.5290262277528673
0.1,0.1,665.9253085659383,discard,1.4632372907516977e-05,True,0.1094063304365334,429.48295382759875,0.27318852027369595,0.18978503412648876,0.007860800034396404,471.9136685635523,473.15,0.002612979893157982,671.1987963374396,1100.0,0.3898192760568731,0.4002563535650373,0.4,0.0006408839125932042,-0.19906197161435496,-0.2,0.0046901419282252554,1.4020521781985509,1.25,0.12164174255884071,0.5054232126376945,0.45,0.12316269475043223
0.1,0.1,665.9253085659383,hinge,1.1127638714264003e-05,True,0.08067349289669601,325.74639109630607,0.20720304211146542,0.13992726239765066,0.005978510983589591,471.97312605839477,473.15,0.002487316795107701,775.1012342637491,1100.0,0.2953625143056826,0.401445636961591,0.4,0.0036140924039775035,-0.20193721599280848,-0.2,0.009686079964042332,1.3669663732396438,1.25,0.093573098591715,0.4920102852639767,0.45,0.0933561894755038
0.1,0.1,665.9253085659383,censored,0.06865295449915985,True,0.07817173223600696,326.44088126298493,0.20764479827265592,0.13510289981705131,0.009928703124035118,471.2942941379071,473.15,0.003922024436421561,775.1012342637491,1100.0,0.2953625143056826,0.40210446542350614,0.4,0.005261163558765297,-0.20279108963264014,-0.2,0.013955448163200657,1.39753324047879,1.25,0.11802659238303193,0.5019668966676597,0.45,0.11548199259479931
0.25,0.25,487.3819665486454,exact,1.9771400616776533e-05,True,0.3228208831693591,1084.100342043978,0.6895821257438934,0.4704477269362523,0.010012917528251071,398.8315152756437,473.15,0.1570717208588318,89.1814599532034,1100.0,0.9189259454970877,0.15958034156340528,0.4,0.6010491460914869,-0.08839280309859726,-0.2,0.5580359845070137,8.0,1.25,5.4,4.800000000000001,0.45,9.666666666666668
0.25,0.25,487.3819665486454,discard,5.441933016767943e-06,True,0.3183844890382705,1049.1063444740653,0.6673228990868484,0.4640714299103433,0.004918939031529154,473.07823771302105,473.15,0.00015166921056519888,49.95588845103039,1100.0,0.9545855559536087,-0.43119872935343195,0.4,2.0779968233835797,-0.5838120238752108,-0.2,1.919060119376054,1.3802901623597958,1.25,0.10423212988783667,0.4857337697752743,0.45,0.07940837727838737
0.25,0.25,487.3819665486454,hinge,6.430607234029887e-07,True,0.2735704952359885,947.4139851423838,0.6026377121163898,0.39877345715805934,0.0014842131960832135,472.8226543741599,473.15,0.0006918432333087877,151.96001576543048,1100.0,0.8618545311223359,0.40601944810222695,0.4,0.01504862025556733,-0.19894114570415752,-0.2,0.005294271479212437,1.6378678280345258,1.25,0.31029426242762065,0.5895594533217383,0.45,0.3101321184927518
0.25,0.25,487.3819665486454,censored,0.07900787648475058,True,0.25074287361844444,901.1980975981531,0.5732403872195045,0.36532219372336655,0.01078860974779446,471.0089617381235,473.15,0.0045250729406667535,200.0,1100.0,0.8181818181818182,0.40466581762461795,0.4,0.011664544061544824,-0.20052025703195034,-0.2,0.0026012851597516373,1.8795372291832877,1.25,0.5036297833466301,0.6782165386997482,0.45,0.5071478637772181
