observation_seed,lengthscale,unsat_neg_log_marginal_likelihood
12,2.029746686535049,219.77789295106135
12,2.2,227.57458398840748
13,0.25,241.10818540455114
13,0.270969773542972,237.59475931858773
13,0.2936984726957182,234.4252340131131
13,0.31833363454510205,231.57870391059072
13,0.3450351714551901,228.9199442982962
13,0.3739764090942936,226.26394250520678
13,0.40534521153077835,223.63944847007014
13,0.43934520070089245,221.19430126053675
13,0.4761970781644497,218.9756968573309
13,0.5161400577281836,216.9369910861777
13,0.5594334182362497,215.02064041315433
13,0.6063581866073894,213.2607773403433
13,0.6572189620437259,211.76997345810858
13,0.7123458932525423,210.58441625594523
13,0.77209682151563,209.54231586970528
13,0.8368596035173551,208.44412678850918
13,0.9070546290094362,207.25257336087276
13,0.9831375496551656,206.05127906483665
13,1.065602236766611,204.9545612968488
13,1.154983987134132,204.0900283778364
13,1.251862997757979,203.60674849074275
13,1.3568681320372225,203.7025717526274
13,1.4706810018632064,204.5969883255834
13,1.5940403921152975,206.42421147118986
13,1.7277470562793298,209.31992626656574
13,1.872668914318186,213.58101400331003
13,2.029746686535049,219.50421503353073
13,2.2,226.88438744480493
14,0.25,249.70904259192974
14,0.270969773542972,246.45799625123394
14,0.2936984726957182,243.21298409157518
14,0.31833363454510205,240.18391966546517
14,0.3450351714551901,237.41683209587725
14,0.3739764090942936,234.74692374209116
14,0.40534521153077835,232.0723170924271
14,0.43934520070089245,229.54066202974178
14,0.4761970781644497,227.33165509648782
14,0.5161400577281836,225.4643551465281
14,0.5594334182362497,223.8507143507451
14,0.6063581866073894,222.41764629022728
14,0.6572189620437259,221.14616280635713
14,0.7123458932525423,220.01229575458584
14,0.77209682151563,218.9512697587243
14,0.8368596035173551,217.90463261139413
14,0.9070546290094362,216.81065615889304
14,0.9831375496551656,215.6567840958961
14,1.065602236766611,214.57940278621697
14,1.154983987134132,213.83283635829216
14,1.251862997757979,213.76319403215248
14,1.3568681320372225,214.7923974886944
14,1.4706810018632064,217.23229666572033
14,1.5940403921152975,221.11774765490597
14,1.7277470562793298,226.4443934662476
14,1.872668914318186,233.180187245822
14,2.029746686535049,241.01814523402984
14,2.2,249.53999858902577
15,0.25,240.22475553834497
15,0.270969773542972,236.60428580611185
15,0.2936984726957182,232.931242238266
15,0.31833363454510205,229.41283144291396
15,0.3450351714551901,226.17957607322685
15,0.3739764090942936,223.25182851806207
15,0.40534521153077835,220.53263740849758
15,0.43934520070089245,217.91290360020065
15,0.4761970781644497,215.39730832934993
15,0.5161400577281836,213.07515545683626
15,0.5594334182362497,211.01334691604092
15,0.6063581866073894,209.1938579968906
15,0.6572189620437259,207.53113101137757
15,0.7123458932525423,205.9411059135912
15,0.77209682151563,204.4065214260033
15,0.8368596035173551,202.99555130107328
15,0.9070546290094362,201.82070669577362
15,0.9831375496551656,201.0083187242576
15,1.065602236766611,200.70055020654462
15,1.154983987134132,200.97583848744787
15,1.251862997757979,201.69152624630306
15,1.3568681320372225,202.54282353159624
15,1.4706810018632064,203.44960866535646
15,1.5940403921152975,204.6861741644377
15,1.7277470562793298,206.59529584056287
15,1.872668914318186,209.40593906582444
15,2.029746686535049,213.26779539224268
15,2.2,218.12731216353504
16,0.25,237.51494202338142
16,0.270969773542972,234.06667848730734
16,0.2936984726957182,230.74598781547084
16,0.31833363454510205,227.4609039100777
16,0.3450351714551901,224.29322621051202
16,0.3739764090942936,221.2814655990314
16,0.40534521153077835,218.42701779532288
16,0.43934520070089245,215.71529799757153
16,0.4761970781644497,213.1334995185543
16,0.5161400577281836,210.69555257807153
16,0.5594334182362497,208.4257861595484
16,0.6063581866073894,206.3350859242062
16,0.6572189620437259,204.41132426518314
16,0.7123458932525423,202.64658427150684
16,0.77209682151563,201.06438672831737
16,0.8368596035173551,199.71060870250778
16,0.9070546290094362,198.64569407520025
16,0.9831375496551656,197.92371785089972
16,1.065602236766611,197.56149667596313
16,1.154983987134132,197.53595625759758
16,1.251862997757979,197.81175334947164
16,1.3568681320372225,198.34480558428825
16,1.4706810018632064,199.1897665139723
16,1.5940403921152975,200.60939102977534
16,1.7277470562793298,202.92955997271324
16,1.872668914318186,206.39665767277862
16,2.029746686535049,211.2149319337383
16,2.2,217.30480079899223
17,0.25,253.95040557376325
17,0.270969773542972,250.34844471085455
17,0.2936984726957182,246.7602235724499
17,0.31833363454510205,243.50051492574772
17,0.3450351714551901,240.67083870352542
17,0.3739764090942936,238.0438245419059
17,0.40534521153077835,235.36396194897026
17,0.43934520070089245,232.61965667285511
17,0.4761970781644497,229.940476329548
17,0.5161400577281836,227.42641313705002
17,0.5594334182362497,225.14479167684425
17,0.6063581866073894,223.15327149001746
17,0.6572189620437259,221.43922223049674
17,0.7123458932525423,219.89899498398051
17,0.77209682151563,218.4038498250422
17,0.8368596035173551,216.87691300568713
17,0.9070546290094362,215.34677579675588
17,0.9831375496551656,213.89853465172285
17,1.065602236766611,212.6137741976616
17,1.154983987134132,211.6020536129539
17,1.251862997757979,211.05074493233502
17,1.3568681320372225,211.23487705525804
17,1.4706810018632064,212.4608088530888
17,1.5940403921152975,214.95019714273394
17,1.7277470562793298,218.82765037218599
17,1.872668914318186,224.1361223412327
17,2.029746686535049,230.8777936282607
17,2.2,239.06114050595704
18,0.25,252.83009639398603
18,0.270969773542972,249.3588822850695
18,0.2936984726957182,246.39959390878818
18,0.31833363454510205,243.73730066022495
18,0.3450351714551901,241.06126938044213
18,0.3739764090942936,238.29506989337756
18,0.40534521153077835,235.65730719947635
18,0.43934520070089245,233.26433590966553
18,0.4761970781644497,231.03361807873108
18,0.5161400577281836,228.9754654242082
18,0.5594334182362497,227.21445291982576
18,0.6063581866073894,225.74850210645434
18,0.6572189620437259,224.37739264793248
18,0.7123458932525423,222.8952808382386
18,0.77209682151563,221.27616186891703
18,0.8368596035173551,219.61363317362378
18,0.9070546290094362,218.01308822491126
18,0.9831375496551656,216.56651171522174
18,1.065602236766611,215.36208332981806
18,1.154983987134132,214.50901103406437
18,1.251862997757979,214.13223420252666
18,1.3568681320372225,214.3728096028059
18,1.4706810018632064,215.4355849213253
18,1.5940403921152975,217.536395950263
18,1.7277470562793298,220.92763245250956
18,1.872668914318186,226.07239385483052
