method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd,scenario
discard saturated,0.21932373075385628,0.28227574592703797,1323.1498397771425,1019.9040444727381,303.2457953044044,0.229184772720435,0.250429799426934,808.2515233763978,392.3853554085726,39.176226775595524,1577.3268199772,True,0.25,3,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.14734531338233497,0.1872057271560724,1323.1498397771425,1078.2735326784123,244.8763070987302,0.1850707302658742,0.250429799426934,972.5756569631462,336.11857709519427,313.7832458565655,1631.368068069727,True,0.25,3,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.06006381542157792,0.06642250433955564,1323.1498397771425,1291.2501664589388,31.899673318203668,0.024108889529530924,0.250429799426934,1257.6750087132261,270.940927784057,872.922487698401,1918.4516753981618,True,0.25,3,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,3,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.220312025879749,0.28458399551958474,1323.1498397771425,860.2401490149626,462.9096907621798,0.3498543225007286,0.250429799426934,859.5308430559875,7.705235931971035,844.4285806293243,874.6331054826506,False,0.25,3,0.2545454545454545,840.05531621472,20.0,1.225178982883641,500.0,unsat_mll_tuned
discard saturated,0.08020212817119594,0.10207085349801193,1323.1498397771425,1154.957190505584,168.19264927155837,0.1271153456813984,0.250429799426934,1153.723970505313,52.73887569767417,1050.3557741378715,1257.0921668727544,False,0.25,3,0.2545454545454545,840.05531621472,20.0,1.225178982883641,500.0,unsat_mll_tuned
censored Laplace,0.0704344992639737,0.08891053858671098,1323.1498397771425,1176.188735037142,146.96110474000056,0.1110691324005701,0.250429799426934,1174.683907625034,45.46118201766073,1085.579990870419,1263.787824379649,False,0.25,3,0.2545454545454545,840.05531621472,20.0,1.225178982883641,500.0,unsat_mll_tuned
censored sampled,0.06565633850017108,0.08247962512912588,1323.1498397771425,1186.3423645970263,136.80747518011617,0.10339530041673783,0.250429799426934,1184.816846506741,45.478064438507445,1093.9970772280376,1272.2811581184299,False,0.25,3,0.2545454545454545,840.05531621472,20.0,1.225178982883641,500.0,unsat_mll_tuned
oracle true,0.008969594516139937,0.00786030419605585,1323.1498397771425,1310.088246826766,13.061592950376507,0.009871590168938437,0.250429799426934,1310.088246826766,7.705235931971035,1294.9859844001028,1325.1905092534291,True,0.25,3,0.2545454545454545,840.05531621472,20.0,1.225178982883641,500.0,unsat_mll_tuned
exact clipped,0.2235712087025065,0.28958355201732056,1323.1498397771425,850.7476722490616,472.4021675280809,0.35702847351562794,0.250429799426934,839.1799516040259,11.192394826987393,817.2428577431306,861.1170454649211,False,0.25,4,0.2727272727272727,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.201156524833019,0.2600591188834838,1323.1498397771425,919.1705557105802,403.9792840665623,0.30531635338791585,0.250429799426934,861.2111863848897,425.2089252198814,27.80169295392227,1694.6206798158573,True,0.25,4,0.2727272727272727,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.0336782160479071,0.035963917351418774,1323.1498397771425,1288.9260047651646,34.223835011977826,0.025865426562529104,0.250429799426934,1275.6904914382085,367.1129111294825,556.1491856244228,1995.231797251994,True,0.25,4,0.2727272727272727,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.057930867214568714,0.0717058330871409,1323.1498397771425,1393.2444608689461,70.09462109180367,0.052975573124514515,0.250429799426934,1385.8917541680073,321.9293733169975,896.7829955815844,2105.9035314519538,True,0.25,4,0.2727272727272727,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,4,0.2727272727272727,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21832000318548012,0.28206912536387413,1323.1498397771425,871.2775147050419,451.8723250721006,0.34151258722761835,0.250429799426934,871.2297053798578,7.364008477673104,856.7962487636186,885.6631619960971,False,0.25,4,0.2727272727272727,840.05531621472,20.0,1.3554482216996568,500.0,unsat_mll_tuned
discard saturated,0.13911696793184547,0.1798844261197788,1323.1498397771425,1036.1582438645387,286.99159591260377,0.21690029903260363,0.250429799426934,1036.0557947000693,48.07856307119961,941.821811080518,1130.2897783196206,False,0.25,4,0.2727272727272727,840.05531621472,20.0,1.3554482216996568,500.0,unsat_mll_tuned
censored Laplace,0.08333137708725094,0.1076709268844027,1323.1498397771425,1143.1682905761336,179.98154920100887,0.13602506971646014,0.250429799426934,1143.0858732165607,36.006134801515906,1072.5138490055895,1213.657897427532,False,0.25,4,0.2727272727272727,840.05531621472,20.0,1.3554482216996568,500.0,unsat_mll_tuned
