method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd
censored Laplace,0.05913204449437226,0.07512681900429967,1323.1498397771425,1197.2469997998578,125.90283997728466,0.0951538791694903,0.250429799426934,1196.8942803437335,142.4505479643191,917.6912063336681,1476.097354353799,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.8,500.0
censored sampled,0.054800591698323665,0.06941169772415846,1323.1498397771425,1206.9651643436896,116.18467543345287,0.08780915958318206,0.250429799426934,1206.5651774099024,129.08072353615322,962.6043001976971,1467.380683566396,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.8,500.0
oracle true,0.0002927112689670395,0.00034641175190937735,1323.1498397771425,1322.4350617842688,0.7147779928736782,0.0005402094089313936,0.250429799426934,1322.4350617842688,9.38488178275874,1304.0406934900616,1340.829430078476,True,0.25,12,0.23636363636363636,840.05531621472,20.0,0.8,500.0
exact clipped,0.22074905270437406,0.2854235144098847,1323.1498397771425,855.636519042639,467.5133207345035,0.35333361852142653,0.250429799426934,855.636519042639,7.777162982560173,840.393279596821,870.8797584884569,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.2,500.0
discard saturated,0.09028790256937129,0.11625683399172378,1323.1498397771425,1128.2824158593908,194.8674239177517,0.14727540151504923,0.250429799426934,1128.2824158593908,47.246899995890956,1035.6784918674446,1220.886339851337,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.2,500.0
censored Laplace,0.08950388990215008,0.11523036465674645,1323.1498397771425,1129.8820063823691,193.26783339477333,0.1460664753036023,0.250429799426934,1129.8820063823691,45.85165668136352,1040.0127592868967,1219.7512534778416,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.2,500.0
censored sampled,0.08817304024949121,0.11345623919918868,1323.1498397771425,1132.5671816200627,190.58265815707978,0.14403709423354466,0.250429799426934,1132.5671816200627,43.33589299171246,1054.7934757171724,1224.6819172952385,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.2,500.0
oracle true,0.008011831946683397,0.007002135036172569,1323.1498397771425,1311.5308654510077,11.618974326134776,0.008781298970713516,0.250429799426934,1311.5308654510077,7.777162982560173,1296.2876260051898,1326.7741048968255,True,0.25,12,0.23636363636363636,840.05531621472,20.0,1.2,500.0
exact clipped,0.2159913610605576,0.27789924226987806,1323.1498397771425,882.5208814526399,440.6289583245026,0.33301516206109927,0.250429799426934,882.5208814526399,6.514069399428152,869.7533054297606,895.2884574755191,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.8,500.0
discard saturated,0.15317544284899468,0.19745786517273675,1323.1498397771425,999.9903216703627,323.15951810677973,0.24423501283967153,0.250429799426934,999.9903216703627,20.61916161506534,959.5767649048347,1040.4038784358909,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.8,500.0
censored Laplace,0.147310751354531,0.189764257899167,1323.1498397771425,1010.9929587688974,312.156881008245,0.2359195244741302,0.250429799426934,1010.9929587688974,18.006370805119708,975.7004719908628,1046.2854455469321,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.8,500.0
censored sampled,0.14675281355387115,0.1890144771002019,1323.1498397771425,1012.0830307098748,311.0668090672676,0.2350956782941987,0.250429799426934,1012.0830307098748,18.016253506960144,977.8512054407519,1048.0240720970949,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.8,500.0
oracle true,0.0494687442146933,0.03665960702313583,1323.1498397771425,1257.1731629283804,65.97667684876205,0.0498633449253748,0.250429799426934,1257.1731629283804,6.514069399428152,1244.4055869055012,1269.9407389512596,False,0.25,12,0.23636363636363636,840.05531621472,20.0,1.8,500.0
