trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,mean_type,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,crps_estimator,previous_posterior_design,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,propagated_prior_sd_at_true_peak_K,propagated_prior_sd_hot_mean_K,uses_propagated_covariance,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage,lengthscale_m,noise_sd_K,previous_posterior_seed,current_observation_seed,current_sampler_seed,previous_observations_reused_in_current_update,same_previous_posterior_for_pair,same_current_observations_for_pair,same_rbf_covariance_for_pair,displacement_x_m,displacement_y_m,displacement_m,source_experiment,mean_information,residual_model,previous_frame_in_residual,presentation_group
DiagonalScanPath_3,legacy latent-clipped physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1.0,117,2,294.9015209525281,0.4410240451958109,0.4512368277769396,326.4740358780628,331.55694674878004,5.082910870717228,3.419839810731507,False,0.9976009596161536,0.9210526315789472,0.7282585161545088,1.5610256929407451,11.45316653449985,12.279161022384864,21.553689026623612,1.0,False,0.9210526315789472,12.279161022384864,21.553689026623612,2.8731105281736755,3.715708701766022,1.5610256929407451,1.7939708911904284,1.233570654035455,1.1495008299406395,0.9706078952401944,0.6218323896481898,5.812382617520679,7.428504981463561,3.538407082497586,Diagonal,3,evaluation,0.03,0.017094017094017,fixed_stride_5,physics one-step clipped,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,current-only RBF,False,legacy latent-clipped
DiagonalScanPath_3,legacy latent-clipped physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2.0,234,5,294.9015209525281,0.4551650777366187,0.4482785145159207,326.4740358780628,331.604548744955,5.130512866892218,2.955767015965924,False,0.9972011195521792,0.9078947368421052,0.5901687686238304,1.5148616839556537,9.083882893524333,10.260034685624982,21.661433767109383,1.0,False,0.9078947368421052,10.260034685624982,21.661433767109383,2.7660528126538018,3.472202618100611,1.5148616839556537,1.8569678716622993,1.163318594804938,1.3063360749180088,0.8699057579619015,0.7678598861497548,5.630351846108827,7.261375660765054,3.649374943345944,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,physics one-step clipped,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,joint two-frame stationary stochastic heat covariance,True,legacy latent-clipped
DiagonalScanPath_4,ambient mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,,1.0,117,2,295.3585248883726,0.9283692339004824,0.9501409064332288,331.63935958961497,297.4705153724891,34.168844217125866,3.419629760193113,False,0.9964014394242304,0.881578947368421,0.7796028660657673,2.949390656763899,11.451021489436018,12.140300129636694,56.97919491278557,1.0,False,0.881578947368421,12.140300129636694,56.97919491278557,6.440213972117205,7.949785355739544,2.949390656763899,3.825800898612769,2.12593031504139,2.742406322732387,1.4649078772678308,1.7840572578690113,36.83358388289208,38.48554318480245,26.489793127081168,Diagonal,4,evaluation,0.03,0.017094017094017,fixed_stride_5,constant ambient,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,current-only RBF,False,ambient baseline
DiagonalScanPath_4,ambient mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,,2.0,234,3,295.3585248883726,0.8650693781760247,0.900493417299189,331.63935958961497,297.38548283445346,34.253876755161514,2.949320402477223,False,0.9964014394242304,0.881578947368421,0.6218059810747778,2.569083197488923,9.07197818511732,9.798884104145651,54.98975690617628,1.0,False,0.881578947368421,9.798884104145651,54.98975690617628,5.894279506221911,7.212948479567866,2.569083197488923,3.16020439905493,1.803884024465105,2.091860084007747,1.188720569823988,1.1781950026700398,36.2620600772239,38.054464992628766,27.924240224085622,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,constant ambient,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,joint two-frame stationary stochastic heat covariance,True,ambient baseline
DiagonalScanPath_4,legacy latent-clipped physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1.0,117,2,295.3585248883726,0.4145734488660652,0.4274683312640293,331.63935958961497,339.09185032019934,7.452490730584373,3.4196309546876793,False,0.9972011195521792,0.9078947368421052,0.7273167087418583,1.5244964035300363,11.457155472219451,12.01077115275171,22.45757851378129,1.0,False,0.9078947368421052,12.01077115275171,22.45757851378129,2.928728219473325,3.996763162876501,1.5244964035300363,1.7553961202762818,1.2096862647863167,1.1351624867112766,0.9572110249176142,0.6214789876099701,5.515026955954595,7.452490730584373,5.515026955954586,Diagonal,4,evaluation,0.03,0.017094017094017,fixed_stride_5,physics one-step clipped,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,current-only RBF,False,legacy latent-clipped
DiagonalScanPath_4,legacy latent-clipped physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2.0,234,3,295.3585248883726,0.4310662797763295,0.428052595663888,331.63935958961497,339.25024866769985,7.610889078084881,2.9495049800081783,False,0.9976009596161536,0.9210526315789472,0.589517038968665,1.5067223760437098,9.079702607385055,9.939940870537615,21.258863822691502,1.0,False,0.9210526315789472,9.939940870537615,21.258863822691502,2.852741984068747,3.891657141122273,1.5067223760437098,1.971954319622286,1.1808346210415803,1.430550719945537,0.8763041000201337,0.8082835431604772,5.781920574060538,7.610889078084881,5.781920574060531,Diagonal,4,evaluation,0.03,0.0128205128205128,fixed_stride_5,physics one-step clipped,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,joint two-frame stationary stochastic heat covariance,True,legacy latent-clipped
DiagonalScanPath_5,ambient mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,,1.0,117,3,295.50866552712534,0.9140041989925244,0.9372998520278728,334.0359159203151,297.53110536551054,36.50481055480458,3.419740820130839,False,0.9972011195521792,0.9078947368421052,0.7839596827738247,3.008377857408725,11.467255248096034,12.189715183981262,56.82822345260121,1.0,False,0.9078947368421052,12.189715183981262,56.82822345260121,6.545177155276442,8.15007403612358,3.008377857408725,3.948321996638829,2.1940685290166035,2.881196654774857,1.5035801528308634,1.877305638277822,39.06649844679597,40.79607452912376,28.93920213995679,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,constant ambient,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,current-only RBF,False,ambient baseline
DiagonalScanPath_5,ambient mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,,2.0,234,6,295.50866552712534,0.833810111671688,0.8672349585091919,334.0359159203151,298.55915418393505,35.47676173638007,2.972232412329879,False,0.9964014394242304,0.8947368421052632,0.6258487714770571,2.5539211829121053,9.115494229140264,10.726500460973243,53.87854476499861,1.0,False,0.8947368421052632,10.726500460973243,53.87854476499861,5.60217909155014,6.7872086628576085,2.5539211829121053,3.1934455613365493,1.866985609388904,2.3012557372861058,1.218304167645915,1.270025973163904,38.09147860194971,39.92924765059939,29.338094679499644,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,constant ambient,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,joint two-frame stationary stochastic heat covariance,True,ambient baseline
DiagonalScanPath_5,legacy latent-clipped physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1.0,117,3,295.50866552712534,0.4156153625443401,0.4252907651748485,334.0359159203151,331.10741203632983,2.928503883985286,3.419709830259627,True,0.9976009596161536,0.9342105263157896,0.7296620038465929,1.5262484329752188,11.46830074307598,12.083442810636724,22.08598681089993,1.0,True,0.9342105263157896,12.083442810636724,22.08598681089993,2.881594330088405,3.899053646133515,1.5262484329752188,1.7731758029453646,1.2423494699413882,1.2523813144126823,0.9788593873489588,0.6633525693806704,1.9532980812757372,2.928503883985286,1.953170672230516,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,physics one-step clipped,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,current-only RBF,False,legacy latent-clipped
DiagonalScanPath_5,legacy latent-clipped physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2.0,234,6,295.50866552712534,0.4248428763618749,0.4136588108743557,334.0359159203151,331.5925555089752,2.4433604113399383,2.968777769661868,True,0.998000799680128,0.9342105263157896,0.5935482440707233,1.495649546077295,9.105590383096269,10.12787270907666,22.67123448572995,1.0,True,0.9342105263157896,10.12787270907666,22.67123448572995,2.5476190167608053,3.212631274134535,1.495649546077295,1.998357850112214,1.2343657310185665,1.626557397980496,0.9037691918878052,0.9070579925445442,1.2600114694589388,2.4433604113399383,1.2600114694589968,Diagonal,5,evaluation,0.03,0.0256410256410256,fixed_stride_5,physics one-step clipped,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,joint two-frame stationary stochastic heat covariance,True,legacy latent-clipped
