family,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Spiral,legacy latent-clipped physics mean + advective stochastic ST,0.38666112017793974,0.0376824332199114,12,0.5592298486656645,0.006933828316138611,12,2.4468668235671616,0.1452952159702818,12,5.169270691465262,2.1032853865063093,12,0.9111842105263156,0.00817870474352708,12,9.178846510048217,0.2480933754514505,12
Diagonal,observed-clipped physics mean + RBF,0.44732758570244807,0.023446945894598833,7,0.7337909273113189,0.0022030375396350373,7,2.951870398729576,0.16749049415588615,7,5.1817985319897035,1.8905898103604852,7,0.9323308270676692,0.00907980999134686,7,12.13845698888654,0.08890853178763719,7
Diagonal,full-posterior propagation + RBF,0.41779960666983484,0.02377201829852998,7,0.7317321989480801,0.003916049414546819,7,2.4708084015391414,0.22685716353584076,7,5.581239771750453,3.522871171430779,7,0.943609022556391,0.016494293961263402,7,12.452598838097297,0.313437523749046,7
Horizontal,observed-clipped physics mean + RBF,0.5560619013302569,0.06743316997492842,11,0.7313256646213575,0.002173729468360036,11,2.7123406367648166,0.08353342885118875,11,12.479888571722421,1.6201165016991554,11,0.9461722488038279,0.007096840657507749,11,12.201966277779468,0.11645479279735974,11
Horizontal,full-posterior propagation + RBF,0.5009232135293733,0.0659884004887402,11,0.7271434972071478,0.00327363336477882,11,2.169982058814091,0.17711603777137286,11,11.332622121793525,1.8641337002782268,11,0.9533492822966507,0.012292088592023964,11,12.472153282686554,0.22733067111294558,11
Spiral,observed-clipped physics mean + RBF,0.38073491134382637,0.03193244188449512,12,0.7293954329409886,0.0024661192837368323,12,2.5441012816229227,0.10466478401978146,12,5.119828135373173,2.1023144292262703,12,0.9309210526315789,0.011395071102426893,12,12.151800843499947,0.13628003231673158,12
Spiral,full-posterior propagation + RBF,0.3573113355341306,0.036436023959605095,12,0.7273232540570355,0.0021872042152500416,12,2.1539492857910325,0.12725767961527895,12,5.383676568254089,2.87014850467885,12,0.9473684210526315,0.01683163550175871,12,12.413339068985804,0.16789038131116094,12
Diagonal,posterior physics mean + RBF,0.41757473956496266,0.023936113079580674,7,0.7311650611147638,0.002994861468468077,7,2.4850218188900484,0.18893557701504468,7,5.618202488979615,3.4647379533784024,7,0.9454887218045114,0.009079809991346721,7,12.179603710081917,0.09850844752187443,7
Diagonal,advective posterior physics mean + RBF,0.4100749211933872,0.020827091599141367,7,0.7298966118859573,0.0035056176102878714,7,2.536913925321657,0.22272100272132292,7,5.633662499111226,3.4444367134155227,7,0.9379699248120302,0.0064203952167666304,7,12.241929405645958,0.1904645605375424,7
Horizontal,posterior physics mean + RBF,0.502118325967188,0.06519178656296241,11,0.7270223440337643,0.00316609752935152,11,2.1628639844111484,0.18820533767067124,11,11.361711492637136,1.8518392390115015,11,0.9533492822966507,0.006871486419303767,11,12.228710561611468,0.16591320101729973,11
Horizontal,advective posterior physics mean + RBF,0.4939392171555644,0.06600512049093746,11,0.7258921552313458,0.003172608981767673,11,2.174358634853657,0.1832013128715374,11,11.443070608008746,1.7590469895277634,11,0.9521531100478469,0.00663848656723036,11,12.215735034836564,0.15819249703461763,11
Spiral,posterior physics mean + RBF,0.3567338212894511,0.035610207251368105,12,0.7270315304658791,0.0019236413948367872,12,2.1751058915147623,0.11451525100931985,12,5.353528717193356,2.8329142997919172,12,0.9484649122807017,0.011846534702348886,12,12.262375215979937,0.10696593165198641,12
Spiral,advective posterior physics mean + RBF,0.3548381202813347,0.03313396359288199,12,0.7264359576511668,0.00216345857904454,12,2.2289721454879174,0.09584380529128017,12,5.419062998098099,2.945208672189231,12,0.9451754385964913,0.009443954770595625,12,12.23816002033758,0.12380360646695587,12
