method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold
exact clipped,0.07405448445713124,0.1882907935247012,1302.3172913701162,972.1113491776072,330.20594219250904,0.36206896551724155,-0.1206896551724137,971.4262130305273,7.261438719582811,957.193793140145,985.6586329209096,False,axis_gaussian,axis Gaussian,21,441,14,0.031746031746031744,1.2789376597291802,1.2789376597291802,889.3309623529275
discard saturated,0.06981184154678537,0.17653777684413874,1302.3172913701162,998.024425573209,304.2928657969072,0.36206896551724155,-0.1206896551724137,991.1397074734108,15.942252967117302,959.8928916578609,1022.3865232889607,False,axis_gaussian,axis Gaussian,21,441,14,0.031746031746031744,1.2789376597291802,1.2789376597291802,889.3309623529275
censored Laplace,0.0549461363770048,0.13522713274179451,1302.3172913701162,1057.631745023279,244.6855463468371,0.36206896551724155,-0.1206896551724137,1057.431482571743,11.825157698007583,1034.254173483648,1080.6087916598378,False,axis_gaussian,axis Gaussian,21,441,14,0.031746031746031744,1.2789376597291802,1.2789376597291802,889.3309623529275
censored sampled,0.05519204501021879,0.1337208036970091,1302.3172913701162,1062.2781123515185,240.03917901859768,0.36206896551724155,-0.1206896551724137,1062.2781123515185,10.005817089604834,1043.406997886429,1082.1858964573546,False,axis_gaussian,axis Gaussian,21,441,14,0.031746031746031744,1.2789376597291802,1.2789376597291802,889.3309623529275
oracle true,0.027994825146636978,0.04383153114420425,1302.3172913701162,1207.1936988265911,95.12359254352509,0.36206896551724155,-0.1206896551724137,1207.1936988265911,7.261438719582811,1192.9612789362088,1221.4261187169734,False,axis_gaussian,axis Gaussian,21,441,14,0.031746031746031744,1.2789376597291802,1.2789376597291802,889.3309623529275
exact clipped,0.14987068903872827,0.33354280749552057,1561.3444342951848,808.7085936221469,752.6358406730379,0.12068965517241415,-0.1206896551724137,808.7085936221469,11.581324685248692,786.0091972390594,831.4079900052343,False,rotated_wake,rotated wake,13,169,6,0.03550295857988166,1.2680205263916642,1.2680205263916642,787.7703955326535
discard saturated,0.16328025855707873,0.36766113836901754,1561.3444342951848,751.9479028058798,809.396531489305,0.12068965517241415,-0.1206896551724137,751.9479028058798,21.04062709765739,710.7082736944714,793.1875319172883,False,rotated_wake,rotated wake,13,169,6,0.03550295857988166,1.2680205263916642,1.2680205263916642,787.7703955326535
censored Laplace,0.1462883400450255,0.3243531415708939,1561.3444342951848,826.2263370135082,735.1180972816766,0.12068965517241415,-0.1206896551724137,826.2263370135082,14.117458196171086,798.5561189490129,853.8965550780035,False,rotated_wake,rotated wake,13,169,6,0.03550295857988166,1.2680205263916642,1.2680205263916642,787.7703955326535
censored sampled,0.1449825879450406,0.3208997715917909,1561.3444342951848,832.4262977892874,728.9181365058973,0.12068965517241415,-0.1206896551724137,832.4262977892874,17.362110009423283,802.7350691854432,857.2492300369545,False,rotated_wake,rotated wake,13,169,6,0.03550295857988166,1.2680205263916642,1.2680205263916642,787.7703955326535
oracle true,0.09304409187021309,0.14192805737083916,1561.3444342951848,1205.6563530205008,355.688081274684,0.12068965517241415,-0.1206896551724137,1205.6563530205008,11.581324685248692,1182.9569566374134,1228.355749403588,False,rotated_wake,rotated wake,13,169,6,0.03550295857988166,1.2680205263916642,1.2680205263916642,787.7703955326535
exact clipped,0.11522375756595214,0.28263545941802,1561.3444342951848,934.2864552494851,627.0579790456997,0.12068965517241415,-0.1206896551724137,934.2864552494851,11.412229352820704,911.9184857179565,956.6544247810137,False,rotated_wake,rotated wake,17,289,10,0.03460207612456748,0.9619624626627753,0.9619624626627753,870.688775816073
discard saturated,0.121771620838831,0.29681515162902483,1561.3444342951848,955.824676752802,605.5197575423828,0.12068965517241415,-0.1206896551724137,944.7252152963541,28.277197173941996,889.3019088354279,1000.1485217572804,False,rotated_wake,rotated wake,17,289,10,0.03460207612456748,0.9619624626627753,0.9619624626627753,870.688775816073
censored Laplace,0.09851000073414422,0.2355595051432756,1561.3444342951848,1032.3105302073877,529.033904087797,0.12068965517241415,-0.1206896551724137,1032.3105302073877,20.63212660486643,991.8715620618495,1072.749498352926,False,rotated_wake,rotated wake,17,289,10,0.03460207612456748,0.9619624626627753,0.9619624626627753,870.688775816073
censored sampled,0.10423128081366353,0.25006390998856964,1561.3444342951848,1012.123132332718,549.2213019624668,0.12068965517241415,-0.1206896551724137,1012.123132332718,14.613599165540162,986.5440102375093,1037.965025584945,False,rotated_wake,rotated wake,17,289,10,0.03460207612456748,0.9619624626627753,0.9619624626627753,870.688775816073
oracle true,0.05549562943300384,0.08288349095606624,1561.3444342951848,1367.3514862906654,193.99294800451935,0.12068965517241415,-0.1206896551724137,1367.3514862906654,11.412229352820704,1344.9835167591368,1389.719455822194,False,rotated_wake,rotated wake,17,289,10,0.03460207612456748,0.9619624626627753,0.9619624626627753,870.688775816073
exact clipped,0.11304347085698413,0.2807427615419692,1561.3444342951848,938.1203290436337,623.2241052515511,0.12068965517241415,-0.1206896551724137,938.1203290436337,9.836144529675545,918.8414857654695,957.3991723217978,False,rotated_wake,rotated wake,21,441,14,0.031746031746031744,0.9074691731117374,0.9074691731117374,874.792886220778
discard saturated,0.10816522188335491,0.2654974403247173,1561.3444342951848,1015.9103520142002,545.4340822809846,0.12068965517241415,-0.1206896551724137,1009.5052850919641,22.916589949553703,964.5887687908388,1054.4218013930893,False,rotated_wake,rotated wake,21,441,14,0.031746031746031744,0.9074691731117374,0.9074691731117374,874.792886220778
censored Laplace,0.09317278838425132,0.22652612696686972,1561.3444342951848,1054.2718063089644,507.07262798622037,0.12068965517241415,-0.1206896551724137,1054.2718063089644,20.156196319646458,1014.7656615224573,1093.7779510954715,False,rotated_wake,rotated wake,21,441,14,0.031746031746031744,0.9074691731117374,0.9074691731117374,874.792886220778
