trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observation_design,previous_posterior_design,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,propagated_prior_sd_at_true_peak_K,propagated_prior_sd_hot_mean_K,uses_propagated_covariance,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
HorizontalScanPath_1,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,0,294.63123831934564,0.5600283527171199,0.5197098972835145,317.4810532811467,304.60767448307456,12.873378798072167,3.462043062219087,False,0.9988004798080767,0.9605263157894737,0.7215285806826153,1.2803993742020374,11.429262879003282,12.630686383563386,18.412348281708606,1.0,False,0.9605263157894737,12.630686383563386,18.412348281708606,2.093970247044573,2.6832926058486786,1.2803993742020374,1.3698869364712376,1.0795621442671306,0.9608757020632869,0.8627902190591017,0.5952723075805838,10.976324458515597,12.873378798072167,10.087371718171738,Horizontal,1,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5490284554739996,12.892427997532536,0.5402785498900033,0.6183036996186007,True,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.3362551184433964,2.072788496217603,0.5802469135802469
HorizontalScanPath_2,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.6301695664475,0.6558899459917843,0.6245101532095682,315.9337083198785,302.27643762228814,13.657270697590377,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,0.731853081695664,1.50793772194471,11.46236587516488,12.41282294923182,20.237175553702727,1.0,False,0.9473684210526315,12.41282294923182,20.237175553702727,2.6955464160432188,3.8230491128840267,1.50793772194471,1.843369899136303,1.2077903388274012,1.2841481893078786,0.9688193743087978,0.7670555621580707,12.02864033161752,13.657270697590377,9.559041472161402,Horizontal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.6290124320967302,13.683309445989664,0.0,0.0,False,unbiased_M_times_M_minus_1,82,0.03278688524590164,2.3543719517122503,1.90653286655082,0.6707317073170732
HorizontalScanPath_2,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.6301695664475,0.5937040241730176,0.5423787035210561,315.9337083198785,302.52967303261505,13.404035287263468,3.4196267389530575,False,0.9988004798080767,0.9605263157894737,0.7263926040406143,1.2997832388437216,11.462365875164878,12.41282294923182,18.971576895212092,1.0,False,0.9605263157894737,12.41282294923182,18.971576895212092,2.226372350192794,2.902895445291915,1.2997832388437216,1.325312210372315,1.0978442946317222,1.022559174416087,0.9144102925740591,0.6394206961303598,11.775404921290665,13.404035287263468,9.232600157210644,Horizontal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5608036385076652,13.430071437249808,0.0,0.0,False,unbiased_M_times_M_minus_1,82,0.03278688524590164,2.3543719517122503,1.90653286655082,0.6707317073170732
HorizontalScanPath_2,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.6301695664475,0.5937039673555897,0.5423786131360642,315.9337083198785,302.5296730070963,13.404035312782241,3.4311439540954747,False,0.9988004798080767,0.9605263157894737,0.7266947289847623,1.3087413237058354,11.469775600633447,12.627978138906775,19.079670234478858,1.0,False,0.9605263157894737,12.627978138906775,19.079670234478858,2.2348768636290726,2.9028937431875237,1.3087413237058354,1.3253120222093382,1.1037635848282963,1.022559140175377,0.9174207087968845,0.6394206902585743,11.769919756771326,13.404035312782241,9.147141607476795,Horizontal,2,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5608036385076652,13.430071437249808,0.28089532786829724,0.5437888608860654,True,unbiased_M_times_M_minus_1,82,0.03278688524590164,2.3543719517122503,1.90653286655082,0.6707317073170732
HorizontalScanPath_3,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,0,294.64317213251667,0.6289720676672752,0.6208092492452334,314.00846851431186,303.82985638165536,10.178612132656497,3.4196267389530575,False,0.998000799680128,0.9342105263157895,0.7316000103735123,1.5100238975535545,11.451317864407143,12.303694807895356,20.92515135940521,1.0,False,0.9342105263157895,12.303694807895356,20.92515135940521,2.8013174229572826,3.940428287606238,1.5100238975535545,1.8202230826280978,1.203806109033974,1.1681552333794023,0.955595627538928,0.6933138688470118,11.688604980983515,13.558849410326445,7.12444055575693,Horizontal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.6074196535568348,10.139068582439222,0.0,0.0,False,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.4498292697436965,2.108352308521746,0.5375
HorizontalScanPath_3,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,0,294.64317213251667,0.5759594825477388,0.5563736468355956,314.00846851431186,304.33308074680144,9.675387767510415,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,0.7269376272375481,1.3474357809695454,11.451317864407143,12.303694807895356,19.352998256505394,1.0,False,0.9473684210526315,12.303694807895356,19.352998256505394,2.4491873237587916,3.33717012473929,1.3474357809695454,1.4220740885901588,1.1103475506991858,0.9602018446416152,0.9091391291178368,0.5915893054631801,11.079261407174723,12.949505836517687,6.750948892903573,Horizontal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5533349596283168,9.635842673363868,0.0,0.0,False,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.4498292697436965,2.108352308521746,0.5375
HorizontalScanPath_3,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,0,294.64317213251667,0.5759594922973275,0.5563736597522784,314.00846851431186,304.33308067569857,9.67538783861329,3.480323725029164,False,0.9984006397441023,0.9473684210526315,0.7270711337757242,1.3511760904807721,11.454851305320016,12.407978029320649,19.316169199195727,1.0,False,0.9473684210526315,12.407978029320649,19.316169199195727,2.4481456787087703,3.3371702948747033,1.3511760904807721,1.4220741691266237,1.1129586616354914,0.9602018795726038,0.9104694073937738,0.5915893221775866,11.046065521577882,12.949506030128191,6.712149077657067,Horizontal,3,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5533349596283168,9.635842673363868,0.6471526511694293,0.3892173510536615,True,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.4498292697436965,2.108352308521746,0.5375
HorizontalScanPath_4,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.825260500259,0.5924065015720537,0.5997718662615187,317.615531356997,304.21033414250536,13.405197214491636,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,0.7280767306207181,1.4559519132907073,11.452255925783243,12.26411722562563,19.8945581605388,1.0,False,0.9473684210526315,12.26411722562563,19.8945581605388,2.561697613119523,3.713762234692815,1.4559519132907073,1.83634174326472,1.1641666156829062,1.1792289761123174,0.9363865018079399,0.6980202061064501,11.299388820665662,13.405197214491636,10.241789688619832,Horizontal,4,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5820359776344494,13.423770666489872,0.0,0.0,False,unbiased_M_times_M_minus_1,90,0.03598560575769692,2.149644136871292,1.8164370527120122,0.6333333333333333
HorizontalScanPath_4,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.825260500259,0.5383674078213418,0.5298373821662243,317.615531356997,304.74227043715285,12.873260919844142,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,0.7236507778437828,1.3140765595293304,11.454768922906574,12.285992227631937,18.598742070487933,1.0,False,0.9473684210526315,12.285992227631937,18.598742070487933,2.228175221834264,2.874609989748684,1.3140765595293304,1.416252453945446,1.0819891156303276,0.9877305518705483,0.8986080792636418,0.6091382493659662,10.842247344084715,12.873260919844142,10.148763076118309,Horizontal,4,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5208746468981832,12.891829517482108,0.0,0.0,False,unbiased_M_times_M_minus_1,90,0.03598560575769692,2.149644136871292,1.8164370527120122,0.6333333333333333
HorizontalScanPath_4,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.825260500259,0.5384340783110165,0.5299688634058566,317.615531356997,304.740184107169,12.875347249827996,3.437788940864169,False,0.9984006397441023,0.9473684210526315,0.7239144235697716,1.3214538815585777,11.460740185186946,12.45431140268714,18.679582018786242,1.0,False,0.9473684210526315,12.45431140268714,18.679582018786242,2.234469568983143,2.8774958817545464,1.3214538815585777,1.415806422641691,1.0870773514389422,0.987190727960103,0.9012350845572451,0.6088092190218451,10.833461039192013,12.875347249827996,10.122065371409255,Horizontal,4,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5208746468981832,12.891829517482108,0.3529200308035616,0.49718918164121834,True,unbiased_M_times_M_minus_1,90,0.03598560575769692,2.149644136871292,1.8164370527120122,0.6333333333333333
HorizontalScanPath_5,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.0840552279015,0.5803889298529471,0.5864378808478069,316.22149177634935,302.68939359418863,13.532098182160723,3.4196267389658237,False,0.9984006397441023,0.9473684210526315,0.7313504645362006,1.5009761388546066,11.446816441980415,12.168673607058269,22.09171096918819,1.0,False,0.9473684210526315,12.168673607058269,22.09171096918819,2.6851721730820417,3.714997155672635,1.5009761388546066,1.8679385705693123,1.2123384607223262,1.2605921713295454,0.966199400380746,0.7484959696248928,11.828007951529049,13.532098182160723,9.313065437832515,Horizontal,5,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5559294803664696,13.518775275059909,0.0,0.0,False,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.2837726459313594,1.981498903042539,0.5903614457831325
HorizontalScanPath_5,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.0840552279015,0.5481924561853682,0.5440309910394409,316.22149177634935,303.13382615530736,13.087665621041992,3.4196267389658237,False,0.9984006397441023,0.9473684210526315,0.7283541461812493,1.4015411793230197,11.452015979559087,12.247834456431285,20.050593868609834,1.0,False,0.9473684210526315,12.247834456431285,20.050593868609834,2.3319363653427385,3.102856078090311,1.4015411793230197,1.6249471451623843,1.1537722323320845,1.1307508881492896,0.9378332258111696,0.6947935622462488,11.253840422623043,13.087665621041992,8.904108626489704,Horizontal,5,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5091541204919844,13.074337676391679,0.0,0.0,False,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.2837726459313594,1.981498903042539,0.5903614457831325
HorizontalScanPath_5,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.0840552279015,0.5479560961187769,0.5436635832148662,316.22149177634935,303.1427402158326,13.078751560516764,3.4419758120467945,False,0.9984006397441023,0.9473684210526315,0.728544200150297,1.4063900632821682,11.457193346304576,12.395053074664204,20.111418392252514,1.0,False,0.9473684210526315,12.395053074664204,20.111418392252514,2.3312533596298923,3.0958186796863107,1.4063900632821682,1.6227747695351575,1.1571658144857189,1.129780180391678,0.9397269432829566,0.6944434830513425,11.23272675583818,13.078751560516764,8.835749346841553,Horizontal,5,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5091541204919844,13.074337676391679,0.39174765851365967,0.4571780730636296,True,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.2837726459313594,1.981498903042539,0.5903614457831325
HorizontalScanPath_6,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.31752139540873,0.5457573317575188,0.5521642933308468,314.4374668883787,304.57479018438744,9.86267670399127,3.419800808887855,False,0.9984006397441023,0.9473684210526315,0.731593983475566,1.4319266048055663,11.45872734085984,12.164460067487893,19.35986057275544,1.0,False,0.9473684210526315,12.164460067487893,19.35986057275544,2.615119112447705,3.720388799952194,1.4319266048055663,1.7464204244685548,1.200024662670967,1.2743425273458198,0.9556710818672953,0.7386816488025539,11.31801444794118,13.253658105180193,6.582832173565114,Horizontal,6,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5253452178928936,9.896170133156204,0.0,0.0,False,unbiased_M_times_M_minus_1,78,0.031187524990004,2.42798065441825,2.0540222485962705,0.5128205128205128
HorizontalScanPath_6,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.31752139540873,0.49790966387570235,0.49416141654602763,314.4374668883787,306.00060853304944,8.436858355329264,3.4197917001248817,False,0.9984006397441023,0.9473684210526315,0.7281818637407751,1.3158924719786467,11.4561693056484,11.9972282362815,18.120412503629428,1.0,False,0.9473684210526315,11.9972282362815,18.120412503629428,2.267743711992237,3.0638099211666963,1.3158924719786467,1.479440288734437,1.1224069624153383,1.1105824943330067,0.9131432049058422,0.6581619885377792,10.549115939795048,12.155775938022373,6.095576477766539,Horizontal,6,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4691607934838431,8.46890416555516,0.0,0.0,False,unbiased_M_times_M_minus_1,78,0.031187524990004,2.42798065441825,2.0540222485962705,0.5128205128205128
HorizontalScanPath_6,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.31752139540873,0.49514531581264115,0.49143035871704455,314.4374668883787,306.04278277005557,8.394684118323141,3.4509930828930306,False,0.998000799680128,0.9342105263157895,0.7273952397086284,1.3102575937877254,11.4559894339174,12.045202797212216,17.381341238272807,1.0,False,0.9342105263157895,12.045202797212216,17.381341238272807,2.2331156247658424,3.0440141702412316,1.3102575937877254,1.4641340610499567,1.1136956375217981,1.0959994850604122,0.9092308218118834,0.6506867452791015,10.369123691116156,12.12012452054347,5.927300769944134,Horizontal,6,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4691607934838431,8.46890416555516,0.4656829864913998,0.33628982129189083,True,unbiased_M_times_M_minus_1,78,0.031187524990004,2.42798065441825,2.0540222485962705,0.5128205128205128
HorizontalScanPath_7,clipped propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.52522559779794,0.5274697685283878,0.5405612435996567,318.1194882121125,304.884238133345,13.235250078767535,3.4196267389658237,False,0.9984006397441023,0.9473684210526315,0.7319506428702197,1.4715290174312556,11.443280065331047,12.12470019335997,20.019787911398197,1.0,False,0.9473684210526315,12.12470019335997,20.019787911398197,2.666461569895636,3.700059069311327,1.4715290174312556,1.8190805042397566,1.188949243597204,1.2211378722842094,0.947274650617076,0.7302988969787022,11.310077483228438,13.235250078767535,10.462681739922612,Horizontal,7,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.5114665804819214,13.229350225933956,0.0,0.0,False,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.346534294838893,2.139312985186778,0.6666666666666666
HorizontalScanPath_7,posterior-mean propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.52522559779794,0.487348422925371,0.4722609451595565,318.1194882121125,307.49021851633785,10.629269695774667,3.4196267389764623,False,0.9984006397441023,0.9473684210526315,0.7309806379676874,1.3811707083327345,11.452406174456286,12.362427212154248,16.430480054240753,1.0,False,0.9473684210526315,12.362427212154248,16.430480054240753,1.9444947099447074,2.4235542957014085,1.3811707083327345,1.6662074339341346,1.1724318188910523,1.2932263595361422,0.9409140163137965,0.7669815970276496,8.659742247607905,10.629269695774667,8.189692506265182,Horizontal,7,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4289272751614428,10.584234315505512,0.0,0.0,False,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.346534294838893,2.139312985186778,0.6666666666666666
HorizontalScanPath_7,full-posterior propagation,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,295.52522559779794,0.48289153886045766,0.47053414763256624,318.1194882121125,307.56685244167596,10.552635770436552,3.6683652950738406,False,0.9992003198720512,0.9736842105263158,0.7303808189477299,1.3762344902320387,11.462261174026729,12.645388391416182,15.578654662709988,1.0,False,0.9736842105263158,12.645388391416182,15.578654662709988,1.964629463032383,2.463712584655597,1.3762344902320387,1.6705522723479647,1.1625441946911128,1.2722819295318875,0.9369310129624644,0.7562874907247874,8.79213533687549,10.552635770436552,8.224288506886408,Horizontal,7,evaluation,0.03,fixed_stride_5,saturation_only_correction,0.4289272751614428,10.584234315505512,1.4270085395135628,0.8662858026948539,True,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.346534294838893,2.139312985186778,0.6666666666666666
