method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_lengthscale,kernel_lengthscale_y,kernel_angle_degrees
exact clipped,0.10430512157112315,0.25184565314850377,1302.3172913701162,828.5159266968116,473.80136467330465,0.36206896551724155,-0.1206896551724137,801.2514593115915,15.146832796686091,771.5636670300868,830.9392515930962,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,2,0.7,,0.0
discard saturated,0.03952181840191629,0.067773691508221,1302.3172913701162,1172.905308109328,129.41198326078825,0.36206896551724155,-0.1206896551724137,1167.6690250753977,93.64064106166995,984.1333685945247,1351.2046815562708,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,2,0.7,,0.0
censored Laplace,0.03456597106122448,0.047863565422391965,1302.3172913701162,1226.574469666194,75.74282170392212,0.36206896551724155,-0.1206896551724137,1226.574469666194,86.41161849623137,1057.2076974135807,1395.9412419188075,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,2,0.7,,0.0
censored sampled,0.03310890798755598,0.04141884858959483,1302.3172913701162,1235.318883904944,66.99840746517225,0.36206896551724155,-0.1206896551724137,1235.318883904944,80.27407514090821,1074.9265374983192,1380.8345916894687,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,2,0.7,,0.0
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,2,0.7,,0.0
exact clipped,0.09749404043315171,0.2374785868568543,1302.3172913701162,881.5209949306321,420.7962964394841,0.36206896551724155,-0.1206896551724137,881.5209949306321,8.588687959193555,864.6871665306128,898.3548233306515,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,isotropic_tuned,isotropic tuned,2,1.329666261076571,,0.0
discard saturated,0.07851672303852893,0.18896020611606715,1302.3172913701162,958.8768363016846,343.44045506843156,0.36206896551724155,-0.1206896551724137,958.8768363016846,17.3335091339255,924.9031583991907,992.8505142041786,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,isotropic_tuned,isotropic tuned,2,1.329666261076571,,0.0
censored Laplace,0.07421925307178168,0.1774128488565681,1302.3172913701162,977.8441298950816,324.47316147503466,0.36206896551724155,-0.1206896551724137,977.8441298950816,15.301535597973468,947.8531201230536,1007.8351396671095,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,isotropic_tuned,isotropic tuned,2,1.329666261076571,,0.0
censored sampled,0.07426116889205309,0.17719427271268748,1302.3172913701162,979.1053960474168,323.21189532269943,0.36206896551724155,-0.1206896551724137,979.1053960474168,15.09196696351207,950.9160524262313,1005.0104023946496,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,isotropic_tuned,isotropic tuned,2,1.329666261076571,,0.0
oracle true,0.0339424680681141,0.054601398698096236,1302.3172913701162,1185.366077516212,116.95121385390416,0.36206896551724155,-0.1206896551724137,1185.366077516212,8.588687959193555,1168.5322491161926,1202.1999059162315,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,isotropic_tuned,isotropic tuned,2,1.329666261076571,,0.0
exact clipped,0.09677026132055168,0.2357284450390023,1302.3172913701162,884.0123531069934,418.30493826312284,0.36206896551724155,-0.1206896551724137,884.0123531069934,9.08471663291297,866.206308506484,901.8183977075028,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,2,1.75,0.9,0.0
discard saturated,0.06158676079568372,0.14626590585883847,1302.3172913701162,1028.4312129177802,273.88607845233605,0.36206896551724155,-0.1206896551724137,1028.4312129177802,21.617400749859137,986.0611074480562,1070.8013183875041,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,2,1.75,0.9,0.0
censored Laplace,0.0585553244656002,0.13816749602280992,1302.3172913701162,1042.1763481044159,260.14094326570034,0.36206896551724155,-0.1206896551724137,1042.1763481044159,20.85459980240427,1001.3013324917035,1083.0513637171282,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,2,1.75,0.9,0.0
