kernel,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_mean,lengthscale_y_mean,angle_degrees_mean,kernel_label
anisotropic_tuned,axis_gaussian,axis Gaussian,oracle true,10,0.020316090082124778,0.0,0.033587466453411347,79.71032030738502,0.0,9.08471663291297,35.61208920101899,0.0,1.75,0.9,0.0,anisotropic tuned
anisotropic_informed,axis_gaussian,axis Gaussian,exact clipped,10,0.10552871652430862,0.00030083854600580453,0.25452306154489285,462.1965903061093,8.901026144867279,22.75300564775162,89.19178213918644,0.0,0.75,0.48,0.0,anisotropic informed
anisotropic_informed,axis_gaussian,axis Gaussian,discard saturated,10,0.052948980165095104,0.01613723108883674,0.10712165513383232,188.4636780155854,91.92398649385228,232.95869267606048,913.198075290157,1.0,0.75,0.48,0.0,anisotropic informed
anisotropic_informed,axis_gaussian,axis Gaussian,censored Laplace,10,0.04618507818981437,0.009555142531314027,0.08614336123211083,138.82354729599825,83.8856007617744,217.56297950667175,852.8468796661533,1.0,0.75,0.48,0.0,anisotropic informed
anisotropic_informed,axis_gaussian,axis Gaussian,censored sampled,10,0.035764945087843406,0.003115067859825035,0.04712025714880967,74.69184595565874,32.760118256173165,188.12740432979584,700.2792694727488,1.0,0.75,0.48,0.0,anisotropic informed
anisotropic_informed,axis_gaussian,axis Gaussian,oracle true,10,0.0005216724313355512,0.0,0.0009326150203460863,1.9052843110723643,0.0,22.75300564775162,89.19178213918622,1.0,0.75,0.48,0.0,anisotropic informed
isotropic_fixed,rotated_wake,rotated wake,exact clipped,10,0.11283204495354227,0.0006464200661941251,0.28072734768914714,621.0977213310075,4.870664972055904,15.147353070786073,59.37762403748138,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,rotated_wake,rotated wake,discard saturated,10,0.10232584712323922,0.010958145660027526,0.24980122703038968,520.1343439407559,51.56441250911342,67.03500422328105,262.7772165552618,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,rotated_wake,rotated wake,censored Laplace,10,0.07431520365357518,0.004001860783098989,0.17470724860987946,400.7859906656448,24.11519073559886,42.19286074154778,165.39601410686728,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,rotated_wake,rotated wake,censored sampled,10,0.0718620316185494,0.004315470979694991,0.16623795837255123,383.8237788083808,24.903214328406456,45.343904513560425,171.30277603164066,0.0,0.7,,0.0,isotropic fixed
