shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,0,1.35,0.18,35.0,1798.9458587618433,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,55.0,1800.3865401017679,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,-55.0,1707.8689077619379,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,-35.0,1693.9938643899077,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,-15.0,1648.3185382395636,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,0.0,1573.7432264275603,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,15.0,1652.8479136207548,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,35.0,1683.5147798402836,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.28,55.0,1706.8434304354405,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,-55.0,1608.4153918786606,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,-35.0,1596.6538502860085,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,-15.0,1568.1041761651868,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,0.0,1547.6914105179385,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,15.0,1566.5402849606016,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,35.0,1580.6660933822595,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.42,55.0,1601.8197561249076,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,-55.0,1521.8292965418086,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,-35.0,1508.1184521940663,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,-15.0,1489.29496631732,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,0.0,1484.7600236554817,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,15.0,1486.43574332635,anisotropic_tuned
