representation,trajectory,family,run_index,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd
hybrid saturated-only sampling,DiagonalScanPath_6,Diagonal,6,79,73,0.9240506329113924,0.0759493670886076,1.0,0.9640646976090014,2.9353062381433603,1.3522288547004977,1.1702892918581256,1.3496329642992464,0.4606772666949427,0.006919294499610937,1.3319186063922388,-0.011051399189194466,0.988319606314932,0.08155931560154954,0.3175675675675676,0.1422004195976799,6.171011722367144,2.283562412780356,-1.385508395254168,0.9328719553160707,0.7468354430379747,3.3450921529541637,3.457799380621908,0.9701742677256345
coherent latent single-frame posterior,DiagonalScanPath_6,Diagonal,6,79,73,0.9240506329113924,0.0759493670886076,1.0,0.9626582278481011,2.9353062381433603,1.351131618009266,1.1702892918581256,1.3491016063028383,0.46030346014727375,0.007222949418410866,1.329930049523611,-0.010811009292682854,0.9864643722708146,0.08544185245838637,0.33169813649265706,0.14938911514253983,6.1693584520378515,2.2812891686452454,-1.3867185447969035,0.9311223433511254,0.7468354430379747,3.34514980373876,3.4602223494714233,0.989533306629279
hybrid saturated-only sampling,DiagonalScanPath_7,Diagonal,7,80,72,0.9,0.1,1.0,0.960625,3.144573157036456,0.8818201850370025,1.3176515025209596,0.8577899278152756,0.2804260359037274,0.015382270248419328,0.8334495109195426,0.002603556489973253,0.4842970323158208,0.2768381047540597,-0.06830021223229792,-0.08978069329217314,6.324782455980392,2.5218178195117296,-1.93421914245233,0.49187014978221716,0.4875,1.806742456208648,5.1751026502149475,2.113762594118618
coherent latent single-frame posterior,DiagonalScanPath_7,Diagonal,7,80,72,0.9,0.1,1.0,0.9558333333333333,3.144573157036456,0.8815779049032568,1.3176515025209596,0.8496503633064378,0.28034898883830817,0.015699158305004356,0.8322107531092741,0.001931385338666255,0.48962115497357434,0.28502681108697353,-0.0667888610200013,-0.13570004501897232,6.322544171089477,2.518008063141122,-1.9360387557859702,0.49545200884049406,0.475,1.8133683363687745,5.220754228880156,2.018473715688657
hybrid saturated-only sampling,HorizontalScanPath_1,Horizontal,1,81,73,0.9012345679012346,0.09876543209876543,1.0,0.9600823045267488,2.5786310450223224,1.0902387606966726,1.2000874596507174,0.9975369479674328,0.42279750055798876,-0.004394661671625613,1.101570971715496,-2.4306866448281257e-05,0.6479764945018396,-0.048728225850309316,-0.04368752313957794,0.06306306306306307,5.337220080815862,2.072788496217603,-1.233979191941578,0.6403587979720277,0.5802469135802469,2.3300205845412396,3.501466095797939,1.424456174646969
coherent latent single-frame posterior,HorizontalScanPath_1,Horizontal,1,81,73,0.9012345679012346,0.09876543209876543,1.0,0.9600823045267491,2.5786310450223224,1.090805285898197,1.2000874596507174,0.9763145462482612,0.4230172005428385,-0.0042552074313696965,1.1017778958837365,-0.0007957467569465617,0.6521177276554442,-0.0470028786399221,-0.04954954954954955,0.08592496606195237,5.336465590500865,2.0736509031135864,-1.233920657788509,0.6413661801576477,0.5802469135802469,2.3585862968035385,3.5612768452437544,1.4406446042537204
hybrid saturated-only sampling,HorizontalScanPath_2,Horizontal,2,82,73,0.8902439024390244,0.10975609756097561,1.0,0.9437669376693768,2.61509409868886,0.8629746466983301,1.165332833437219,0.8557300454339725,0.32999755042505097,-0.007933540565008028,0.8837216018115914,-0.0024648667432855095,0.5762736550186018,-0.09280279625520937,0.32028261137850184,0.3344440330741701,5.237632522309665,1.90653286655082,-1.4425926331948167,0.5711336374125745,0.6707317073170732,1.9537358903530606,4.44940343968868,1.0359642151810133
coherent latent single-frame posterior,HorizontalScanPath_2,Horizontal,2,82,73,0.8902439024390244,0.10975609756097561,1.0,0.9422086720867208,2.61509409868886,0.8618966052948113,1.165332833437219,0.8422821656892552,0.329585312332334,-0.0074927022789553375,0.8814907268077398,-0.001414137978985597,0.5715061178116589,-0.08778675945564433,0.3349993829445885,0.3788103171664816,5.23596902674888,1.9042057868083988,-1.442876299784481,0.5708568244184329,0.6707317073170732,1.9572913842231983,4.217714369602318,1.0381532523830157
hybrid saturated-only sampling,HorizontalScanPath_3,Horizontal,3,80,72,0.9,0.1,1.0,0.93125,2.703354093758989,0.6822642360264639,1.2566977271703763,0.6219704561571859,0.2523769407794381,-0.005831477254324207,0.6980287839346039,0.0029174198296458274,0.4166755289683193,-0.11476697042319622,-0.16721332561579524,-0.10717731043797031,5.531665369138604,2.108352308521746,-1.7523699571434812,0.42085417072587744,0.5375,1.585900160184081,5.125016936904467,1.6151882645734115
coherent latent single-frame posterior,HorizontalScanPath_3,Horizontal,3,80,72,0.9,0.1,1.0,0.9311805555555555,2.703354093758989,0.68279723202004,1.2566977271703763,0.6222929615089186,0.25257410177836404,-0.005683995754684899,0.6981630852123758,0.003438523432593728,0.4147114877984323,-0.11087470997588084,-0.16554119235963732,-0.05071065663386713,5.5308296080450035,2.1104620321820633,-1.7518388184624256,0.4209849366981979,0.55,1.583349949696246,5.074470645084392,1.5475861621421012
hybrid saturated-only sampling,HorizontalScanPath_4,Horizontal,4,90,72,0.8,0.2,1.0,0.9330864197530864,2.6382934037348207,0.7984846804675575,1.2656799812597512,0.8141045425071809,0.3026519640829965,-0.006266629228764002,0.8150178870254573,-0.004009883342483387,0.5376745455596054,-0.11996379509190472,0.22859990996205548,0.1564730850858576,5.1204334494966055,1.8164370527120122,-1.3191457488287162,0.5102351693576797,0.6333333333333333,1.8732907216108483,4.40192047553037,1.221030637903933
