trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1429,-0.0010000000000000009,0.0007499999999999998,294.6560504149699,294.82285268603084,295.80158654935803,0.37560988017106195,295.08141572976575,296.51117962695173,0.1668022710609307,1.1455361343881236,0.9787338633271929,0.9787338633271929,2.6057191650056,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1430,-0.0007500000000000007,0.0007499999999999998,294.6560504149699,294.93884449947836,296.4132954776663,0.3473996932473646,295.80061652916794,297.1323881460518,0.28279408450845267,1.75724506269637,1.4744509781879174,1.4744509781879174,4.24424951100357,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1431,-0.0005000000000000013,0.0007499999999999998,294.6560504149699,294.73188841321456,295.8771694386577,0.3454682086964345,295.256825496286,296.6107023811144,0.07583799824465132,1.221119023687777,1.1452810254431256,1.1452810254431256,3.3151560595536376,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1489,-0.0012500000000000011,0.001,294.6560504149699,294.94406866939954,296.3944210653091,0.8108383577091244,295.091085822372,297.9052097816323,0.28801825442963036,1.7383706503391636,1.4503523959095332,1.4503523959095332,1.7887071845086842,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1490,-0.0010000000000000009,0.001,294.6560504149699,295.0708574704653,296.1767528989716,0.44878557860075974,295.3209670286996,297.01956365165574,0.41480705549537333,1.5207024840016743,1.105895428506301,1.105895428506301,2.4641955562705524,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1491,-0.0007500000000000007,0.001,294.6560504149699,294.83442282696683,296.440564169036,0.36189192852154856,295.7384041997155,297.15860119734066,0.1783724119969179,1.7845137540660971,1.6061413420691792,1.6061413420691792,4.4381795101946935,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1549,-0.0015000000000000013,0.0012500000000000002,294.6560504149699,295.20475768537096,296.8287657649244,1.134156618138918,295.5436100293923,299.03284347177583,0.5487072704010529,2.172715349954501,1.6240080795534482,1.6240080795534482,1.4319081276608399,False,True,True,1.0,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1550,-0.0012500000000000011,0.0012500000000000002,294.6560504149699,295.3580815039456,296.6190521844253,1.3100360900190058,295.09604580473945,299.1580341899234,0.7020310889756729,1.9630017694553885,1.2609706804797156,1.2609706804797156,0.9625465207309072,True,True,True,1.0,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1551,-0.0010000000000000009,0.0012500000000000002,294.6560504149699,295.07721650973696,295.6463756367384,0.6725325282321167,294.6074410495036,297.1030039120765,0.42116609476704525,0.9903252217685008,0.5691591270014555,0.5691591270014555,0.8462923399372244,True,True,True,0.9555555555555556,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1608,-0.002000000000000001,0.0015000000000000005,294.6560504149699,294.7849672643556,295.61625924618676,0.4342733492441935,294.74358172535653,296.44183257589077,0.12891684938568915,0.9602088312168462,0.831291981831157,0.831291981831157,1.9142136704403625,True,True,True,0.9944444444444445,0-0.5 K
