trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,family,run_index,role,fraction_saturated,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,noise_sd_K,previous_posterior_seed,current_observation_seed,current_sampler_seed,previous_observations_reused_in_current_update,same_previous_posterior_for_pair,same_current_observations_for_pair,same_rbf_covariance_for_pair,displacement_x_m,displacement_y_m,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K
DiagonalScanPath_6,posterior physics mean + RBF,117,3,295.76268867732483,0.42400902864438234,331.21807173731014,329.9053617719231,1.3127099653870573,3.41982578945228,True,0.9984006397441023,0.9473684210526315,12.287481038234162,11.492428167575534,0.7377647500037989,1.6258251783727566,2.665518600388111,0.38825725040800124,1.3214053988871797,Diagonal,6,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,250041,50041,500041,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,0.0001453599391005502,unbiased_M_times_M_minus_1,79,0.03158736505397841,2.7201208277385236,2.283562412780356
DiagonalScanPath_6,advective posterior physics mean + RBF,117,3,295.76268867732483,0.4138076500237063,331.21807173731014,329.91161093846904,1.3064607988411012,3.4198056037198534,True,0.998000799680128,0.9342105263157895,12.269097344010548,11.488684396293083,0.737315670298462,1.6431978471999475,2.722774389246379,0.38121427993923623,1.2979170998249288,Diagonal,6,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,250041,50041,500041,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,0.0001453599391005502,unbiased_M_times_M_minus_1,79,0.03158736505397841,2.7201208277385236,2.283562412780356
DiagonalScanPath_7,posterior physics mean + RBF,117,2,295.92680693793324,0.378273885618912,329.2427619913974,337.85134223323195,8.608580241834545,3.4196322519221654,False,0.998000799680128,0.9342105263157895,12.045068490034978,11.413770108058557,0.7294115717335564,1.504539668295585,2.7843438115026617,0.38564253399025894,8.640663508653802,Diagonal,7,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,300041,60041,600041,False,True,True,True,0.00014609755093981523,2.595875814448076e-06,0.000146120611009727,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.846539173110377,2.5218178195117296
DiagonalScanPath_7,advective posterior physics mean + RBF,117,2,295.92680693793324,0.3791680455664511,329.2427619913974,337.9675342231934,8.72477223179601,3.419632727086876,False,0.998000799680128,0.9342105263157895,11.960615168709278,11.421933417766995,0.7306832161961043,1.5540007755717298,2.884778785965551,0.38524995883050295,8.77687768746216,Diagonal,7,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,300041,60041,600041,False,True,True,True,0.00014609755093981523,2.595875814448076e-06,0.000146120611009727,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.846539173110377,2.5218178195117296
DiagonalScanPath_8,posterior physics mean + RBF,117,2,296.12149833303096,0.37976234267571846,336.214847986714,344.4782243325479,8.263376345833876,3.419634282108638,False,0.998000799680128,0.9342105263157895,11.886350083692928,11.457536749096038,0.7367773133634268,1.5719234426562192,2.820219150342865,0.3707437444868688,8.244532961710945,Diagonal,8,calibration,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,350041,70041,700041,False,True,True,True,0.00013638368514666565,6.7055115915088184e-06,0.00013654842899092135,unbiased_M_times_M_minus_1,77,0.03078768492602959,3.06156684424828,2.5942242004168845
DiagonalScanPath_8,advective posterior physics mean + RBF,117,2,296.12149833303096,0.3800382746981361,336.214847986714,343.97161295187266,7.756764965158652,3.419634841468291,False,0.998000799680128,0.9342105263157895,12.168573139145053,11.45716603220939,0.7364391145951816,1.6075287998408145,2.8664746761608697,0.36724687252544164,7.764282143892217,Diagonal,8,calibration,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,350041,70041,700041,False,True,True,True,0.00013638368514666565,6.7055115915088184e-06,0.00013654842899092135,unbiased_M_times_M_minus_1,77,0.03078768492602959,3.06156684424828,2.5942242004168845
HorizontalScanPath_1,posterior physics mean + RBF,117,0,294.63123831934564,0.5600283898001972,317.4810532811467,304.6076738615687,12.873379419578043,3.4196267389530575,False,0.9988004798080767,0.9605263157894737,12.370223486315556,11.420653687015182,0.7212347708474458,1.2715929714972674,2.0933385845059256,0.5490284554739928,12.892427997532423,Horizontal,1,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,400041,80041,800041,False,True,True,True,3.192850593697295e-05,7.155624165171379e-06,3.272052029782689e-05,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.3362551184433964,2.072788496217603
HorizontalScanPath_1,advective posterior physics mean + RBF,117,0,294.63123831934564,0.5503624814140888,317.4810532811467,304.6032958206115,12.877757460535236,3.4196267389530575,False,0.9988004798080767,0.9605263157894737,12.370223486315556,11.420653687015182,0.7199148215974269,1.2709174443072482,2.1154322466000117,0.5396117912642796,12.891577350029934,Horizontal,1,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,400041,80041,800041,False,True,True,True,3.192850593697295e-05,7.155624165171379e-06,3.272052029782689e-05,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.3362551184433964,2.072788496217603
HorizontalScanPath_2,posterior physics mean + RBF,117,1,294.6301695664475,0.593704024173014,315.9337083198785,302.529673032615,13.404035287263525,3.4196267389530575,False,0.9988004798080767,0.9605263157894737,12.412822949231817,11.462365875164878,0.7263926040406123,1.2997832388437156,2.2263723501928325,0.5608036385076713,13.430071437249808,Horizontal,2,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,450041,90041,900041,False,True,True,True,-1.6261303874795822e-05,-3.741926693404986e-06,1.6686282362685414e-05,unbiased_M_times_M_minus_1,82,0.03278688524590164,2.3543719517122503,1.90653286655082
HorizontalScanPath_2,advective posterior physics mean + RBF,117,1,294.6301695664475,0.5865289878540445,315.9337083198785,302.5460209356211,13.387687384257447,3.4196267389530575,False,0.9988004798080767,0.9605263157894737,12.41282294923182,11.462365875164878,0.7255422276143579,1.2993067253961443,2.231530171217323,0.5542642506303065,13.413851660694434,Horizontal,2,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,450041,90041,900041,False,True,True,True,-1.6261303874795822e-05,-3.741926693404986e-06,1.6686282362685414e-05,unbiased_M_times_M_minus_1,82,0.03278688524590164,2.3543719517122503,1.90653286655082
