region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.5169643759928554,0.1884640572082463,0.06020004658092466,0.6656761481098267,0.991203518592563,2.5459927814390486,1.0,0.0,-0.09369230199916381,0.5272208110954723,0.26642152968088684,0.1507802946912023,0.007197121151539384,0.21290663378858954,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.720646781835601,1.603460621132577,-0.050116854706103414,0.9099049089708472,0.7368421052631579,3.462846213931556,1.0,0.0,-0.013699156245035555,2.3934893871057996,1.603056167048632,1.147663125427337,0.21052631578947367,1.2869122536992847,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.474709700904035,3.0464586654690926,-1.822237965604179,1.0706879221072318,0.48,4.049162806637794,1.0,0.0,1.877745289373541,3.7863398068478227,2.751860050358192,1.8699675199335133,0.48,2.6497929124397372,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
overall,2501,0.5143238852869402,0.16675300529637804,0.055249283037043226,0.6666029703805171,0.9920031987205118,2.549644836336346,1.0,0.0,-0.08801538417366264,0.4857625971659508,0.22975017303779546,0.14232109820031902,0.007197121151539384,0.20591772091037638,DiagonalScanPath_4,Diagonal,4,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.753238721703619,1.5346080952037937,-0.33509200691467883,0.9382409223966416,0.7894736842105263,3.574069940177114,1.0,0.0,0.3099539096626726,2.307144368500019,1.446747718314206,0.8107364053899859,0.19736842105263158,1.2558141365759894,DiagonalScanPath_4,Diagonal,4,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.624582435822439,3.2899810958543343,-2.024843163237017,1.107707164528156,0.48,4.116068186660852,1.0,0.0,1.9893737975415464,3.7815057163729295,2.874078180168401,2.2148627040025803,0.52,2.847583805490926,DiagonalScanPath_4,Diagonal,4,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
overall,2501,0.5166911093746591,0.1887006199052554,0.0616774297811509,0.6661124621257726,0.9916033586565374,2.5476053781598327,1.0,0.0,-0.09522041356773603,0.5232905151784666,0.2661207242338104,0.15069611200148345,0.007197121151539384,0.21307583320074144,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.718141173436145,1.6075320932723707,-0.005438361591876179,0.9242345484781833,0.75,3.504032219748584,1.0,0.0,-0.06019951999036384,2.3641957706757957,1.5896925905494712,1.1542091201944966,0.21052631578947367,1.2861194607726676,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
top_1pct,25,4.450061735990607,3.007732368415018,-1.7637090065186294,1.0972782718458298,0.48,4.158159579936587,1.0,0.0,1.8075226956421815,3.712640188819347,2.6751058762155173,1.761969513177773,0.44,2.597214359859826,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
overall,2501,0.5325440150180899,0.19023484517123376,0.03802539798611445,0.666563115742434,0.995201919232307,2.552219072344365,1.0,0.0,-0.06284698522737099,0.6546174381205861,0.27645753333186834,0.16584165397707007,0.003998400639744102,0.2116837465569125,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
above_camera_ceiling,76,2.791918508811924,1.4149392338234814,-0.5660611544988481,0.923632492006012,0.8552631578947368,3.5602777220010653,1.0,0.0,0.5908019497033411,3.2428263273653077,1.5802622145385907,0.6715842654546882,0.11842105263157894,1.172670470946904,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
top_1pct,25,4.773394253330649,3.1985668149963065,-2.490153288412316,0.9928423513699299,0.56,3.8413206126843784,1.0,0.0,2.6111361754629288,5.54967731312126,3.560296141252385,1.60763515606993,0.36,2.772884514546608,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
