percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
30-40%,30.0,40.0,250,0.11684447312701067,0.08448614711485447,0.04790105838047134,0.6452603604169216,1.0,2.457457843727243,1.0,0.0,-0.07080916018779546,0.1898508410731143,0.1359799272587627,0.09870412288844156,0.0,0.15922448263985273,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
40-50%,40.0,50.0,250,0.15490476714679363,0.10889781918188692,0.09104289133744578,0.6567847559422758,1.0,2.506408323044773,1.0,0.0,-0.14034704063892217,0.2445593013298666,0.16940277948619878,0.11455380235865772,0.0,0.16819978366092714,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
50-60%,50.0,60.0,251,0.14521863325652876,0.10974545464275132,0.05099981851391267,0.6536548983047729,1.0,2.504575370180706,1.0,0.0,-0.0763706733754766,0.2515453168510312,0.17912842081848054,0.12253783692924629,0.0,0.1676700589234611,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
60-70%,60.0,70.0,250,0.1552534846595137,0.11341648592156571,0.068664276202765,0.6577768961478232,1.0,2.5037199826238172,1.0,0.0,-0.09660154812331609,0.24610284361098664,0.17758222939790727,0.13033270853346665,0.0,0.1660421032282703,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
70-80%,70.0,80.0,250,0.1443823592118469,0.10325336724454064,0.05195407691543869,0.6546065515853544,1.0,2.4890563667689447,1.0,0.0,-0.07735579182203849,0.2374557064488419,0.1653769868995717,0.1062404956328188,0.0,0.1664196785864694,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
80-90%,80.0,90.0,250,0.17348602273206695,0.13908155020900995,0.025919318602569092,0.6562997389783953,1.0,2.528593672122589,1.0,0.0,-0.03320139345657441,0.27021988703909605,0.21594158415952858,0.17390362263330772,0.0,0.17221237393151984,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
90-95%,90.0,95.0,125,0.2838153225491817,0.22199511591515467,0.006862881287950131,0.6578766566638425,1.0,2.5131871096335283,1.0,0.0,-0.007459308733410788,0.4188824853051074,0.3343833233216954,0.271535981462017,0.0,0.20062609591235858,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
95-99%,95.0,99.0,100,0.6917472447567613,0.5376838152271659,0.22923822533050725,0.7707315753483978,0.97,2.923462531128542,1.0,0.0,-0.260249125999112,0.8506148009456116,0.6773421193931626,0.5426414082017816,0.01,0.38148240282404317,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
99-100%,99.0,100.0,25,4.306967443074131,3.0429028493341206,-2.1759158852267797,0.8204547052792586,0.36,3.1462726745657847,1.0,0.0,2.7149818145664044,5.306112242362499,3.782839778876094,2.4360041488039204,0.64,2.653873701081059,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
0-10%,0.0,10.0,250,0.18776733312405686,0.1242967056841635,0.07490636242393066,0.6697577000621011,1.0,2.5547653273994,1.0,0.0,-0.11336496465149228,0.29104111233829055,0.19068583900684571,0.10302120885949909,0.0,0.1783328267015554,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
10-20%,10.0,20.0,250,0.20944505824137027,0.139481748749429,0.09270609720238031,0.6586742007443819,1.0,2.527865906582994,1.0,0.0,-0.14050856264018546,0.32791830768848024,0.2169103045474698,0.11103963693201792,0.0,0.17960878957254822,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
20-30%,20.0,30.0,250,0.17427390499832063,0.11530757507659564,0.0659151033169046,0.6586938583648785,1.0,2.5230971256552976,1.0,0.0,-0.1005822057235563,0.27325773667887615,0.18115509046876724,0.08974702612316106,0.0,0.1723114801707929,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
30-40%,30.0,40.0,250,0.15116391258109238,0.10502330521272688,0.04508931887116205,0.6452603463067678,1.0,2.4685227334338915,1.0,0.0,-0.06876513150158543,0.24240198739970192,0.1688531722852108,0.10476471224727166,0.0,0.1626970544190852,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
40-50%,40.0,50.0,250,0.17229147362662145,0.11013689845223348,0.07185360277104223,0.6567847444540652,1.0,2.524028090093374,1.0,0.0,-0.10937647467953815,0.2674195279456907,0.17090751019178185,0.07169949799267764,0.0,0.17174799393024104,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
50-60%,50.0,60.0,251,0.1864123590346419,0.13134406675683896,0.05881237650662302,0.6536548859682285,1.0,2.4958345266040363,1.0,0.0,-0.08992423204995904,0.3122457760565385,0.21332654482246866,0.1264666374667548,0.0,0.17463879294325801,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
60-70%,60.0,70.0,250,0.19023135788596973,0.12861284133380788,0.07211068042178659,0.6577768847087454,1.0,2.507484070095502,1.0,0.0,-0.10189722670306088,0.2921893761561117,0.19932022705063684,0.12441821140293877,0.0,0.17676382819395872,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
70-80%,70.0,80.0,250,0.16982281496126356,0.11649498016169332,0.055238499094102965,0.6546065396654137,1.0,2.5034771872441333,1.0,0.0,-0.08288792116346227,0.2748201256817807,0.1857823418316654,0.11500447424815513,0.0,0.1710368009502779,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
80-90%,80.0,90.0,250,0.2254727802688574,0.1795304683027391,0.027550481234005247,0.6562978188403074,1.0,2.528120524514469,1.0,0.0,-0.03578891232898235,0.3489067210466804,0.277245317547996,0.24335423228734077,0.0,0.18244970843858022,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
90-95%,90.0,95.0,125,0.32160682346593283,0.2394303400758472,0.0027027506652757436,0.6577321957793029,1.0,2.5143846670601184,1.0,0.0,-0.0006998507077695897,0.4765322475576535,0.3628661310023469,0.3083916039908682,0.008,0.20586770232233764,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
95-99%,95.0,99.0,100,0.7495209755382654,0.5635689592729392,0.28420768574589206,0.7804728559212966,0.94,2.9736757543062864,1.0,0.0,-0.3387000472296272,0.9413842294014232,0.7151162906747613,0.5078706559368429,0.06,0.40806931926548,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
99-100%,99.0,100.0,25,4.298791325971757,3.017642833032269,-2.198850586132721,0.8318720869888244,0.36,3.141126800898005,1.0,0.0,2.72545318322872,5.235248673003308,3.712363526544466,2.5379167862883056,0.64,2.6585181862166967,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
