trajectory,family,run_index,role,camera_seed,previous_posterior_seed,current_sampler_seed,threshold_K,previous_unsaturated_pixels_pinned,previous_saturated_pixels_sampled,previous_observations_reused_in_current_likelihood,oracle_uses_true_previous_frame,oracle_uses_true_current_frame_for_inference,same_current_observations_for_all_models,same_current_sampler_seed_for_all_models,same_finite_step_innovation_for_oracle_controls,same_previous_posterior_for_sequential_models,crps_estimator,previous_zero_sd_fraction,mean_difference_posterior_vs_clipped_K,mean_difference_oracle_fixed_vs_posterior_K,mean_difference_oracle_calibrated_vs_posterior_K,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,time_lag_s,innovation_sd_K,propagated_stationary_sd_K,propagated_advective_sd_K,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
HorizontalScanPath_12,Horizontal,12,evaluation,180041,900041,1800041,296.3525815864646,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9656137544982007,0.021419248708838143,-0.007951391827301587,-0.013362808609574459,86,0.03438624550179928,2.4265666660057685,2.09883200916295,0.0005000000000000004,0.7159318740849122,0.012445238347063103,0.01188925743043575,180.0,146.82684449603963,0.014083487818921466,0.9806324529942605,148.0,2.0622933367179286,0.0
HorizontalScanPath_13,Horizontal,13,development,190041,950041,1900041,296.4959614680289,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9692123150739704,0.05179212476858482,-0.03515797969991596,-0.04036153445193446,77,0.03078768492602959,2.720531247724229,2.3781927259288977,0.0005000000000000004,0.7159318740849122,0.027954120942472967,0.02693238143536332,180.0,82.58925898594907,0.016623138974333807,0.8850865108636192,93.0,7.0672685890792195,0.0
SpiralScanPath_1,Spiral,1,evaluation,200041,1000041,2000041,294.5644045668491,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9712115153938424,0.027583888271743493,-0.03893332141075891,-0.05976471852156957,72,0.028788484606157537,2.657064232673197,2.085295254877664,0.0005000000000000004,0.7159318740849122,0.019513125401288228,0.01813079613942073,180.0,152.4410639175701,0.009121196487608474,0.9814895627030434,147.0,1.6656171577435543,0.0
SpiralScanPath_2,Spiral,2,evaluation,210041,1050041,2100041,294.77953556616137,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9644142343062775,0.012267450326277856,-0.02302627284064772,-0.04352731996631937,89,0.03558576569372251,2.154459598727737,2.011625074624826,0.0005000000000000004,0.7159318740849122,0.009998374675156348,0.008091056870571038,180.0,155.089572847912,0.01350809947033567,0.9858183530945558,150.0,2.1959931643434487,0.0
SpiralScanPath_3,Spiral,3,evaluation,220041,1100041,2200041,295.09034972544174,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9676129548180727,0.012955302109983758,-0.02758126129772415,-0.04859018301913343,81,0.032387045181927226,2.3269279645816527,2.17910508580971,0.0005000000000000004,0.7159318740849122,0.009214403944644367,0.007669087788648608,180.0,168.69412982961825,0.011134029090883192,0.9936996830125985,166.0,1.4447544262141463,0.0
SpiralScanPath_4,Spiral,4,evaluation,230041,1150041,2300041,295.3171456785458,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9680127948820472,0.04169728493515192,-0.045943545414026114,-0.06638295180026474,80,0.03198720511795282,2.421583203054216,2.3340915269788938,0.0005000000000000004,0.7159318740849122,0.0198090680769367,0.018407962873282162,180.0,150.6097679683398,0.014363447878014246,0.9826050286756876,148.0,2.0827273543378197,0.0
SpiralScanPath_5,Spiral,5,evaluation,240041,1200041,2400041,295.5160834229293,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9664134346261496,0.04146908870607954,-0.046839411435078325,-0.06755442360294343,84,0.03358656537385046,2.3160661582293405,1.9500492688862512,0.0004999999999999866,0.7159318740849036,0.02694047690619461,0.025621731831384133,180.0,156.46444403028835,0.00894891160101815,0.9844722771588523,149.0,1.7965114049494701,0.0
SpiralScanPath_6,Spiral,6,evaluation,250041,1250041,2500041,295.69040467376334,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9676129548180727,0.028338437925977882,-0.028634460056234167,-0.04960808712091453,81,0.032387045181927226,2.401808793946929,2.0355564117669664,0.0005000000000000004,0.7159318740849122,0.017534464984844945,0.016314039380815736,180.0,161.0259871783788,0.010961273812937381,0.9885462199044887,155.0,2.0362358328202106,0.0
SpiralScanPath_7,Spiral,7,evaluation,260041,1300041,2600041,295.8140795498944,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9684126349460216,0.02293433937506218,-0.02473089094657643,-0.04541336397972559,79,0.03158736505397841,2.4968012424373893,2.1202911782120935,0.0005000000000000004,0.7159318740849122,0.012936831283793186,0.011474789370179674,180.0,164.80333464945528,0.013123187909327533,0.991654594786565,161.0,1.5695056043894056,0.0
SpiralScanPath_8,Spiral,8,evaluation,270041,1350041,2700041,295.9806504909343,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9668132746901239,0.020237828983415026,-0.02337973774240063,-0.04399241878492791,83,0.03318672530987605,2.37643008716828,2.098610895750184,0.0005000000000000004,0.7159318740849122,0.012155188169320107,0.010649632500121563,180.0,171.72299978900188,0.009109983958947425,0.9953927165879325,165.0,1.2461261920454803,0.0
SpiralScanPath_9,Spiral,9,evaluation,280041,1400041,2800041,296.12811830237854,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9684126349460216,0.034282419566948885,-0.02920684872499373,-0.04988226235200996,79,0.03158736505397841,2.4829704941696766,2.326264298063792,0.0005000000000000004,0.7159318740849122,0.021670099781161817,0.02045529012747286,180.0,106.16731873217924,0.017631717815575546,0.9311526943634684,114.0,4.994619009369586,0.0
SpiralScanPath_10,Spiral,10,evaluation,290041,1450041,2900041,296.24464913741537,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.968812475009996,0.045274029319086216,-0.03885477424944911,-0.05952524340425464,78,0.031187524990004,2.4942509915903295,2.2925440864066675,0.0005000000000000004,0.7159318740849122,0.023934228468233714,0.022377330491250364,180.0,160.8998325128839,0.011045598513124751,0.9886046202150576,151.0,1.7167437105278793,0.0
SpiralScanPath_11,Spiral,11,evaluation,300041,1500041,3000041,296.3525026623504,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9692123150739704,0.024198693998634238,-0.022602051857232686,-0.043472615152722736,77,0.03078768492602959,2.510525167157445,2.1382740331159407,0.0005000000000000004,0.7159318740849122,0.015279578094046866,0.013981353843500448,180.0,156.40177009241737,0.009810849873158297,0.9838575503404839,151.0,1.969551961087447,0.0
SpiralScanPath_12,Spiral,12,evaluation,310041,1550041,3100041,296.4285472031083,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9684126349460216,0.03092371353675965,-0.020434111167062605,-0.04142051612272447,79,0.03158736505397841,2.4554211855889654,2.092668154393517,0.0005000000000000004,0.7159318740849122,0.01602631638953752,0.014696505129893091,180.0,166.2594313003176,0.008241705212845072,0.9917482814747284,157.0,1.2116622615366168,0.0
