method,percentile_bin,percentile_lower,percentile_upper,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior physics mean + sequential advective ST,80-90%,80.0,90.0,0.24412302390282184,0.02743446141796265,0.19272296358598248,0.02535222501476582,0.011660937686967644,0.02567931018415775,0.652882047465344,0.0030038421248238805,0.9998666666666666,0.0007302967433402241,2.5014648826864123,0.014455468112133548,1.0,0.0,0.0,0.0,-0.017127863134072878,0.04063796084199046,0.3835486087558413,0.0419982145194955,0.3000449855984448,0.0386724531935118,0.24519086907414028,0.043181811653266525,0.0,0.0,0.18851429895214805,0.0074161311276256725,30
Posterior physics mean + sequential advective ST,90-95%,90.0,95.0,0.2752513076994638,0.03130505924032424,0.21254995178306385,0.01891249903205378,-0.006688270758670995,0.04889905586988774,0.663709318020717,0.009253110666724225,0.9976,0.004767707466147508,2.5382285387601637,0.04231202047639702,1.0,0.0,0.0,0.0,0.01112299920571526,0.07661059881850993,0.4201865328345075,0.041345038718131326,0.3241356098469119,0.02819429864076681,0.26532195389539065,0.026739831989477256,0.0013333333333333333,0.003689064299019312,0.19849013712213062,0.008406214585852324,30
Posterior physics mean + sequential advective ST,95-99%,95.0,99.0,0.6024983138896024,0.1442357082372786,0.44347734742932743,0.09678453372234842,0.1795848997059368,0.1527624182499875,0.7548698054002716,0.042483187442701624,0.9743333333333334,0.028488755595889034,2.882171364508909,0.16111875470036596,1.0,0.0,0.0,0.0,-0.20578663766863106,0.18109543509110138,0.7522175832960437,0.1446007606852794,0.5676703424006118,0.10060948861598815,0.4304261327305462,0.08298153427546849,0.021666666666666667,0.023501039350946006,0.3334737881660578,0.06409866445617554,30
Posterior physics mean + sequential advective ST,99-100%,99.0,100.0,4.383701891815464,0.37697111208373607,3.25029784564967,0.40541015377678424,-2.6980157937559484,0.4536664145348315,0.8739942376240591,0.10502109770773706,0.36533333333333334,0.1546460549087838,3.332062254970471,0.39991925246096177,1.0,0.0,0.0,0.0,3.2199985706848437,0.744438311691933,5.150665496082023,0.8050390358732585,3.848550330080343,0.7759974053064587,2.6050140883377235,0.7488767630135367,0.6253333333333334,0.16391194720575314,2.8387054103684153,0.40291848286839294,30
Advective posterior mean + sequential advective ST,0-10%,0.0,10.0,0.15421012027225742,0.017999133419382973,0.11170676540565679,0.012196573260118033,0.0675245002794342,0.018785407718066707,0.6600314180840947,0.005480823625770703,1.0,0.0,2.5252708843924325,0.021979468936300192,1.0,0.0,0.0,0.0,-0.10044756499983105,0.030799430676989932,0.24541721873858005,0.029376621293899362,0.17510358707559912,0.019851520764451496,0.1192418391959336,0.016005864648570296,0.0,0.0,0.16902837233352486,0.0033926075019487262,30
Advective posterior mean + sequential advective ST,10-20%,10.0,20.0,0.15327480389494524,0.022850760745804086,0.11116719158693655,0.014329807992317969,0.07085499171712172,0.019917638299479096,0.6562566885049469,0.0039485330305444495,1.0,0.0,2.5100396010213926,0.016885390263930964,1.0,0.0,0.0,0.0,-0.10610152098876133,0.03226613345261629,0.24534753721562938,0.036221433667719016,0.17539865651521483,0.022625297205108186,0.11873778745783042,0.014803475499536476,0.0,0.0,0.1681584737274107,0.004344314909786609,30
Advective posterior mean + sequential advective ST,20-30%,20.0,30.0,0.15172255893938263,0.01791339267528597,0.11026110919953673,0.012601451564378294,0.07142879910551334,0.017354321426220606,0.651738932222089,0.005254086441445001,1.0,0.0,2.489788568549371,0.02372487639062727,1.0,0.0,0.0,0.0,-0.10764951732738054,0.02943281610347482,0.2439515640674383,0.02894518229838253,0.1752873343571523,0.020556455769474583,0.11953636559750672,0.01980448942857156,0.0,0.0,0.16637415696652977,0.0035036324185111364,30
Advective posterior mean + sequential advective ST,30-40%,30.0,40.0,0.15098639465781433,0.019573152347502096,0.10861815444086599,0.013087484025127931,0.06380657706103178,0.018392391149642157,0.6533142791736761,0.00427563919267831,1.0,0.0,2.4979821642386195,0.018091606204020536,1.0,0.0,0.0,0.0,-0.09431884665949647,0.029874503751822205,0.24423981316743995,0.03147720422296535,0.17283061363003832,0.020969014081562945,0.11474947371624422,0.01870570634501576,0.0,0.0,0.1672571571890606,0.003889131437523428,30
Advective posterior mean + sequential advective ST,40-50%,40.0,50.0,0.15474356083774987,0.023509364099795742,0.11285496373456372,0.01634751582367249,0.0747906548156937,0.023404644617927486,0.6571550783633822,0.005505747083204559,1.0,0.0,2.5120559326073377,0.02212467879826942,1.0,0.0,0.0,0.0,-0.11263794125975904,0.037892283833336385,0.24785881367055598,0.03658596220016053,0.17768805937195112,0.02524035914670897,0.12126091546360088,0.02274495275652638,0.0,0.0,0.16878368879012087,0.004886576421085852,30
Advective posterior mean + sequential advective ST,50-60%,50.0,60.0,0.15619516080443757,0.016211389532548724,0.11275494621863331,0.01163710118876737,0.07585136536367564,0.01949364063065342,0.6570269928952878,0.004152870126492915,0.999867197875166,0.0007273871945619708,2.5129983094577186,0.017810495934847827,1.0,0.0,0.0,0.0,-0.11442042986652304,0.03217030330891407,0.25000294908549153,0.02737796857505686,0.17739258612974346,0.01913561885024396,0.12049240029736501,0.02102458627802264,0.0,0.0,0.16892843751142358,0.003253801400861205,30
Advective posterior mean + sequential advective ST,60-70%,60.0,70.0,0.15696373739882427,0.016993784563540854,0.11365074424116951,0.01198771068437143,0.07533543993370646,0.020073628140949467,0.6610982969498117,0.003158350847043071,1.0,0.0,2.5282515348297836,0.015975090859677903,1.0,0.0,0.0,0.0,-0.11337971763937034,0.03315048365234779,0.24877844429614884,0.026109745016419498,0.1775643449876484,0.018753159966608028,0.12165855590552002,0.019442134133264233,0.0,0.0,0.16948805070329961,0.003630993191435215,30
Advective posterior mean + sequential advective ST,70-80%,70.0,80.0,0.16356645147424556,0.02347353198798263,0.12395882894667598,0.01905800153879082,0.05529498036797732,0.020857463072143482,0.6620644407882497,0.0044721973001488145,1.0,0.0,2.5305059602556623,0.023046214825081242,1.0,0.0,0.0,0.0,-0.08321057651644931,0.03289709380060348,0.25826050977075016,0.0379863827136716,0.1924817897900659,0.02968561713554875,0.14545273806736397,0.029728561011058405,0.0,0.0,0.17123002598396295,0.004955242133461063,30
Advective posterior mean + sequential advective ST,80-90%,80.0,90.0,0.2206521060040471,0.03639157767504293,0.1696089907545487,0.02782324085263469,0.023849121899246577,0.025219473468216007,0.6528804600330272,0.0030032444504584036,0.9989333333333333,0.002958719822576235,2.5004447377614714,0.016790503562447108,1.0,0.0,0.0,0.0,-0.034959887274771693,0.03971720531952504,0.34191485918760817,0.05095123736286872,0.26343265924168,0.042322249267240784,0.2120058372952978,0.04103841303709769,0.0005333333333333334,0.0017366899418212187,0.1819395509218951,0.007895486528158557,30
Advective posterior mean + sequential advective ST,90-95%,90.0,95.0,0.2791326181208324,0.04753637589736653,0.20274199238297985,0.03141799299687668,0.004879845721210875,0.049098090148418254,0.6637017054933679,0.009218445429774956,0.9986666666666667,0.0036890642990193186,2.5421292133412843,0.04579060229124241,1.0,0.0,0.0,0.0,-0.004695521718779145,0.075283790828156,0.4115037692102622,0.05953960514998308,0.3058187885515965,0.04516504265187226,0.23573268188534485,0.036765674967438045,0.0010666666666666667,0.002765967229134083,0.1979888400769699,0.014594771279261093,30
Advective posterior mean + sequential advective ST,95-99%,95.0,99.0,0.6099978339667678,0.11775273097681517,0.4468939226951728,0.09076363240400612,0.10414433739000298,0.1417507295837605,0.7544830296171412,0.04229457081324095,0.9736666666666667,0.020423673439947325,2.884347021078241,0.1597013452022331,1.0,0.0,0.0,0.0,-0.10360467826501323,0.16214085361175895,0.7641167056883039,0.13277829248234338,0.573179432616671,0.10177104148953263,0.4411895801710094,0.0972003096548442,0.022000000000000002,0.018457780342511765,0.3339716098157295,0.05451282526912627,30
