method,family,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior-sample mixture sequential advective ST,Diagonal,above_camera_ceiling,2.8457779669886496,0.20281095279363862,1.5706073013280784,0.15599152299675695,-0.6620112718305158,0.39838331920351,0.8552612946105721,0.1037927915496477,0.7556390977443609,0.05828078172548112,3.24668543837223,0.3713068144564239,1.0,0.0,0.0,0.0,0.8326658856538537,0.5306886469911573,3.3364777556818024,0.4912530579343481,1.8527760834879854,0.24598645809192754,0.909241838695736,0.1873853595382128,0.23308270676691728,0.061582267545391554,1.3143512002767697,0.13835681400529518,7
Posterior-sample mixture sequential advective ST,Diagonal,top_1pct,4.836941150206762,0.39316753112297326,3.5445092571598837,0.5019593696149293,-2.6211510707021586,0.5691269418925012,0.8939765475167389,0.12551714898498173,0.33714285714285713,0.17867235243262883,3.391973036567253,0.46017672858940034,1.0,0.0,0.0,0.0,3.1914055321819967,0.8688422097146542,5.656728494945445,0.9628631222940035,4.154022605680522,0.8990423353031782,2.781263051399901,0.9595248078287426,0.6457142857142857,0.19518001458970663,3.1360981652696585,0.4839234897184248,7
Posterior physics mean + sequential ST,Horizontal,overall,0.4856670576129632,0.01897746052441981,0.18374529358115274,0.006701657635064406,0.0339818010018179,0.012188208403688132,0.664402384781773,0.002567509223766359,0.9940023990403838,0.0015277867392677193,2.540120698857709,0.008789802943192008,1.0,0.0,0.0,0.0,-0.05881962194675154,0.01747003724466467,0.5915454111569626,0.053381722395788464,0.2683927636745237,0.010499221980518511,0.15879663043464418,0.009504779189704202,0.0058885536694413135,0.0017528407340103506,0.2078373694686639,0.0034889892738205024,11
Posterior physics mean + sequential ST,Horizontal,above_camera_ceiling,2.513070128272514,0.13434730650862606,1.362150116800227,0.1126411892041888,-0.8622108815104934,0.23898501223883045,0.8734905197036414,0.07800579683016741,0.812200956937799,0.055228970970404294,3.331631522599298,0.30288753050735767,1.0,0.0,0.0,0.0,1.0015795695101426,0.34138031977926125,2.844025840944022,0.37247985326065036,1.5504047663837277,0.1946008214539389,0.7875153892267087,0.1360520604246658,0.1866028708133971,0.06194509392433257,1.1066365152540205,0.09477482458291624,11
Posterior physics mean + sequential ST,Horizontal,top_1pct,4.25641475128917,0.2749463970155892,2.9887032484631906,0.3169628553033383,-2.9571495355798016,0.3301427710814414,0.9170735132439461,0.09540788648183522,0.46181818181818185,0.15217215131673614,3.5035884470662895,0.3619453398134837,1.0,0.0,0.0,0.0,3.356198836649352,0.6526944757706866,4.813323025463737,0.7088387045752464,3.3831591437793533,0.6350948111988621,2.0874737183084964,0.5327068335742686,0.5309090909090909,0.16108721522545144,2.5579251288903198,0.32294285822117225,11
Posterior physics mean + sequential advective ST,Horizontal,overall,0.4861767438069178,0.0196358264824146,0.18381703754324166,0.0068813862960813875,0.03358169947530756,0.012123390863282065,0.6639044636175372,0.0024531129768614063,0.993893351750209,0.0016494641766149338,2.5381409379012876,0.008222178893813593,1.0,0.0,0.0,0.0,-0.05818460570834829,0.01741388682262869,0.5973732667251327,0.05348235346541925,0.2692696754138155,0.010561496292187233,0.1588481439135796,0.00947457373754714,0.0060339500563411,0.0018187629329839998,0.20799188030447943,0.0038179787355301013,11
Posterior physics mean + sequential advective ST,Horizontal,above_camera_ceiling,2.5165167859271915,0.1379599260834062,1.3643879205743237,0.11903905906368915,-0.8720835404710325,0.23946529018285553,0.8601334777465784,0.07471323720180162,0.8074162679425837,0.05950881800876914,3.273917728776846,0.2835716074141313,1.0,0.0,0.0,0.0,1.022102918898772,0.34320123296889704,2.881976890131694,0.3722802026398478,1.574499228347089,0.1961772349915236,0.8060758717534018,0.14973573534391355,0.19138755980861244,0.06401924603591329,1.111778696431874,0.10225695720709642,11
Posterior physics mean + sequential advective ST,Horizontal,top_1pct,4.263598171640894,0.2768882572367159,2.9967044252769597,0.3219955453604074,-2.9671760306573685,0.33079277429565024,0.9032604297293908,0.0929867683951012,0.4509090909090909,0.1539775662526555,3.4315777076351495,0.3446819253129239,1.0,0.0,0.0,0.0,3.4093571382732706,0.6538260905481851,4.876955352952179,0.708913482780756,3.435461527467308,0.6384421382649957,2.1285669237171043,0.5333060225781799,0.5418181818181819,0.1662418829187267,2.573610058201249,0.3264746835622275,11
Advective posterior mean + sequential advective ST,Horizontal,overall,0.478118672447793,0.019694518733069082,0.1717006005983737,0.007125118916181714,0.03288283397957489,0.011578596541509455,0.663921295282989,0.0024551226858327054,0.9939660499436589,0.0016817497959326236,2.5382217895174346,0.008442107597221481,1.0,0.0,0.0,0.0,-0.0570169982022771,0.01681686619068013,0.5822710120196063,0.05805303523571472,0.2507966540357863,0.012154045310907975,0.14689485735565064,0.009875973965424521,0.0059976009596161535,0.0016582520074632323,0.20365056457041336,0.0035123945998922317,11
Advective posterior mean + sequential advective ST,Horizontal,above_camera_ceiling,2.513117351455845,0.13505548854206997,1.3485223655447183,0.10351414736131273,-0.8797249670958496,0.24290804263026916,0.860663943207816,0.07465651314922761,0.8074162679425837,0.06122953252710483,3.2884472372235014,0.2855868701276629,1.0,0.0,0.0,0.0,1.028852446518526,0.3541326726837198,2.8768884161025965,0.3828928673544493,1.5555489022404385,0.1942238854015157,0.7868480645208716,0.15209398106498107,0.19138755980861244,0.06068732485151112,1.1022008704179351,0.09372098223987078,11
