trajectory,family,run_index,role,method,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_3,Diagonal,3,evaluation,Advective posterior mean + sequential advective ST,0.42562161375395796,0.5356998410946449,0.16844345713150166,0.021014937755954553,0.20659638290367963,4.964987947078227,3.68917349648043,-2.8901148142596638,3.2546418647805324,0.36,3.3458690792073047,6.148512477427801,0.6634228834832704
DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-sample mixture sequential advective ST,0.43109330087059156,0.542586666914056,0.18474491754279426,0.026122868428882232,0.21320532522788946,4.937836855056334,3.586866258671155,-2.723805021834835,3.1825209321521526,0.44,3.1503082576984163,6.289202403432455,0.661971063216108
DiagonalScanPath_4,Diagonal,4,evaluation,Posterior physics mean + sequential ST,0.3859369453173116,0.5199217924600676,0.1875435546723875,0.055636202208932464,0.21132869210690683,4.556515304580411,3.1605929134923576,-2.0411585711566316,2.6944362045275367,0.52,4.342096171714304,10.234554882927966,0.668626692261176
DiagonalScanPath_4,Diagonal,4,evaluation,Posterior physics mean + sequential advective ST,0.3837416607688672,0.5169643759928554,0.1884640572082463,0.06020004658092466,0.21290663378858946,4.474709700904035,3.0464586654690926,-1.822237965604179,2.6497929124397377,0.48,4.049162806637794,10.707045138751937,0.6656761481098267
DiagonalScanPath_4,Diagonal,4,evaluation,Advective posterior mean + sequential advective ST,0.3817816296027223,0.5143238852869402,0.16675300529637804,0.055249283037043226,0.20591772091037622,4.624582435822439,3.2899810958543343,-2.024843163237017,2.8475838054909253,0.48,4.116068186660852,10.316863879782943,0.6666029703805171
DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-sample mixture sequential advective ST,0.3835388154844162,0.5166911093746591,0.1887006199052554,0.0616774297811509,0.21307583320074236,4.450061735990607,3.007732368415018,-1.7637090065186294,2.597214359859835,0.48,4.158159579936587,10.793420562262895,0.6661124621257726
DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential ST,0.3845292447095866,0.5325440150180899,0.19023484517123376,0.03802539798611445,0.21168374655691144,4.773394253330649,3.1985668149963065,-2.490153288412316,2.7728845145466092,0.56,3.8413206126843784,1.6894030282380186,0.666563115742434
DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential advective ST,0.38594961139908396,0.5345111158043881,0.19011780227619873,0.036901057435749514,0.21131615456198466,4.808100642837937,3.2421420544466084,-2.536407899334954,2.8302279321396075,0.56,3.579036166521848,1.7729493078282417,0.6653069718259097
DiagonalScanPath_5,Diagonal,5,evaluation,Advective posterior mean + sequential advective ST,0.38255389188027267,0.5298083002674611,0.16785734671674363,0.03859731861825346,0.20493870746141826,4.869467384872211,3.2939064979495423,-2.5154247776810643,2.872068722522755,0.56,3.630367724212249,1.6138136388944417,0.66544161916737
DiagonalScanPath_5,Diagonal,5,evaluation,Posterior-sample mixture sequential advective ST,0.3851912633868772,0.5334608609778492,0.1902305262081646,0.03782113963472091,0.2116311040681396,4.791057903602241,3.205991692708981,-2.4964348600553556,2.791705887108415,0.56,3.494142715675662,1.7460813991175428,0.6653060145977295
DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential ST,0.39458378623516754,0.5675808652772671,0.18889464865364028,0.0375642230976181,0.2157286851613221,5.201985292166451,3.8985921945733595,-2.7015323194882264,3.383867248855357,0.4,4.153605320691898,1.2579404877076854,0.6726781228629045
DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential advective ST,0.3938924903231856,0.5665864850072893,0.18902880013503648,0.039755162615048335,0.21649366906856712,5.179413415043111,3.84997207094485,-2.620128286357012,3.397738199080501,0.32,3.6262786093884074,1.2384002253228914,0.6677824825283009
DiagonalScanPath_6,Diagonal,6,evaluation,Advective posterior mean + sequential advective ST,0.38780730199549857,0.557833372038919,0.16555769484832183,0.02901725044613468,0.20870240256304765,5.2442136945662865,3.9498685119157653,-2.868284259236166,3.5172913962854415,0.28,3.5138526856144017,1.3696714089647912,0.6669574644035341
DiagonalScanPath_6,Diagonal,6,evaluation,Posterior-sample mixture sequential advective ST,0.39636194439234096,0.5701386200068211,0.18990338662354045,0.03864840930845239,0.2170188531896326,5.21611139613144,3.9106776588196728,-2.7108104250900533,3.4996991865827103,0.28,3.8436729060487256,1.235707490876564,0.6700356882802098
DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential ST,0.38691544649830506,0.5887811920947632,0.19233366935909624,0.011590804265205977,0.21957954572401983,5.455167759453442,4.40504217841697,-3.6448768449283535,3.943181559992794,0.08,3.1593933860576637,8.512027433437424,0.6622633228241221
DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential advective ST,0.38425864446168845,0.5847382543303601,0.19245786790746813,0.013012504346017752,0.21939663827904418,5.401196660336738,4.351261953120809,-3.5745505070536208,3.8997866302558033,0.04,2.975623961802248,8.55679648789885,0.6611977710488672
DiagonalScanPath_7,Diagonal,7,evaluation,Advective posterior mean + sequential advective ST,0.3893928872019184,0.5925511901757883,0.17589137498365087,0.01030197725306645,0.2154535441521934,5.576285577648034,4.5459360817168815,-3.803126068643219,4.115801862967683,0.04,2.9902133823396637,8.5136042563106,0.6611280604984439
DiagonalScanPath_7,Diagonal,7,evaluation,Posterior-sample mixture sequential advective ST,0.38479267486121643,0.5855509048928915,0.19278684330317405,0.012503772537922687,0.22012722965348636,5.4076972312695535,4.3590834356828125,-3.5885471956096056,3.9128492050366135,0.04,3.029782314785641,8.525178845350808,0.6607737440160903
DiagonalScanPath_8,Diagonal,8,development,Posterior physics mean + sequential ST,0.37596193462004385,0.6013275223719974,0.20479677688559514,0.03948877530442108,0.2221682444405462,5.433463717425757,3.989828815031583,-3.3131130195148764,3.512700773684494,0.4,4.376953780589945,7.99894588573261,0.6686497671825015
DiagonalScanPath_8,Diagonal,8,development,Posterior physics mean + sequential advective ST,0.3727657478395237,0.596215422181028,0.2052094587142643,0.04206417319743539,0.22305992161811075,5.346103860943078,3.905669370877124,-3.1783510437652036,3.4728819616531528,0.4,3.9459056588079964,8.249947600270048,0.666665760683039
DiagonalScanPath_8,Diagonal,8,development,Advective posterior mean + sequential advective ST,0.36913405228469415,0.5904067530342376,0.18393676404239193,0.03474315584202302,0.21527492252777342,5.421301987092838,3.9604194704594535,-3.3280196649180676,3.5221280986079204,0.4,4.100169565348818,7.7508058649508484,0.6674433566902589
DiagonalScanPath_8,Diagonal,8,development,Posterior-sample mixture sequential advective ST,0.3732701092406944,0.5970221165929305,0.2052065602153481,0.04130239830530415,0.22237800184842318,5.361278038035387,3.922921094978078,-3.214728121376743,3.456813272584313,0.4,4.090489879727861,8.157165231977956,0.6682024391430638
HorizontalScanPath_1,Horizontal,1,evaluation,Posterior physics mean + sequential ST,0.5528424205918904,0.4800742100190865,0.1775164592277621,0.04833385880434192,0.205898655517105,4.1732864070130455,2.764975973894459,-2.764975973894459,2.3613829695885125,0.56,3.64645984184953,12.877546037877721,0.6660463783159776
HorizontalScanPath_1,Horizontal,1,evaluation,Posterior physics mean + sequential advective ST,0.552601087498723,0.4798646425370367,0.17752798501357311,0.048528434778012615,0.20602675995343722,4.16866355250093,2.758338910757368,-2.758338910757368,2.3641109011317227,0.52,3.55866272703307,12.872491994261225,0.6650974065937311
HorizontalScanPath_1,Horizontal,1,evaluation,Advective posterior mean + sequential advective ST,0.5436374979216134,0.4720808907392656,0.16431876800496975,0.04564805388405078,0.20099412261747288,4.210176996406007,2.8190000281545142,-2.8190000281545142,2.4137216153510583,0.52,3.55866272703307,12.882756081831985,0.6650974065937311
HorizontalScanPath_1,Horizontal,1,evaluation,Posterior-sample mixture sequential advective ST,0.552513664021694,0.4797887262268756,0.17752409518169346,0.0485824259837892,0.20595125293978878,4.167302181950858,2.7562323619244147,-2.7562323619244147,2.3857159528055853,0.56,3.5607166766847036,12.872147184730409,0.6652001660014737
HorizontalScanPath_2,Horizontal,2,evaluation,Posterior physics mean + sequential ST,0.5664648371492484,0.49592002883742453,0.18323750306488681,0.029566365464765376,0.20715567564014137,4.414975603120655,2.989955246358477,-2.8949090781596896,2.5895245657777717,0.52,3.83716842777289,13.41079569819874,0.6650107538266691
HorizontalScanPath_2,Horizontal,2,evaluation,Posterior physics mean + sequential advective ST,0.5670109546833734,0.4963981355185645,0.1832593072415583,0.029210693965716534,0.2072228081677215,4.421856286394317,2.9993299003998777,-2.9095575150436956,2.600336487208848,0.52,3.7868353249628695,13.413258283435312,0.6646157021364962
HorizontalScanPath_2,Horizontal,2,evaluation,Advective posterior mean + sequential advective ST,0.5605519930696257,0.49074354194154834,0.1734455121730702,0.02837051774762418,0.20420568055840138,4.43103975013021,3.0054022826450977,-2.931912909045484,2.5932477808863017,0.56,3.833692283926648,13.397251125237176,0.6646214207133423
HorizontalScanPath_2,Horizontal,2,evaluation,Posterior-sample mixture sequential advective ST,0.5668873042764069,0.49628988393900086,0.18331331075611365,0.029356975631561665,0.20764992151781939,4.419492610613115,2.9971242243192044,-2.906726760823399,2.5965935878387523,0.52,3.7452437815301325,13.408802306737755,0.664581352197674
HorizontalScanPath_3,Horizontal,3,evaluation,Posterior physics mean + sequential ST,0.5634380163484324,0.5092828824928837,0.18449037093570303,0.01849811272768559,0.20943434437990632,4.628314305524568,3.414223881263631,-3.414223881263631,2.9978749497640367,0.28,3.0687455531707517,9.665566487157207,0.661459676186793
HorizontalScanPath_3,Horizontal,3,evaluation,Posterior physics mean + sequential advective ST,0.5634768825808204,0.5093180130774163,0.18449643502514265,0.01847133034754368,0.20946597803079509,4.62868828228331,3.4149280619650404,-3.4149280619650404,3.0028771585342144,0.28,3.0289318220717885,9.66582196528526,0.6610659300400248
HorizontalScanPath_3,Horizontal,3,evaluation,Advective posterior mean + sequential advective ST,0.5580389451442698,0.504402745785992,0.17289200822710937,0.0208781338437068,0.20574329230728985,4.646548775425114,3.4364860469640552,-3.4364860469640552,3.0222226128479672,0.28,3.0289318220717885,9.793458216317731,0.6610659300400248
HorizontalScanPath_3,Horizontal,3,evaluation,Posterior-sample mixture sequential advective ST,0.5634932447982576,0.5093328026319343,0.18450136395732897,0.018460298147669522,0.2092764991171404,4.628783885230582,3.4153220360108913,-3.4153220360108913,3.011698651035238,0.28,3.055451016883171,9.66679091552561,0.6610727060065621
HorizontalScanPath_4,Horizontal,4,evaluation,Posterior physics mean + sequential ST,0.5209430560539257,0.4891718697947071,0.17694950397431733,0.03040837884254758,0.20431087257537878,4.410750247298016,3.0050763455770495,-3.0050763455770495,2.56891704918854,0.48,3.5044976448657392,12.884485705752525,0.6641722775470985
HorizontalScanPath_4,Horizontal,4,evaluation,Posterior physics mean + sequential advective ST,0.5212545029416299,0.48946432221273933,0.1770111072531191,0.03014949169496646,0.2040267309376168,4.414315890269519,3.012187013242476,-3.012187013242476,2.5936244930188086,0.44,3.3636492085981082,12.888934622796967,0.663429002426855
HorizontalScanPath_4,Horizontal,4,evaluation,Advective posterior mean + sequential advective ST,0.5138587013024092,0.48251957446258636,0.1628379930734978,0.02771247711592621,0.1989706634536458,4.444712634790858,3.066610411943975,-3.066610411943975,2.6488989829992526,0.4,3.375304285227762,12.919035042713006,0.6634173125143676
HorizontalScanPath_4,Horizontal,4,evaluation,Posterior-sample mixture sequential advective ST,0.521196643266022,0.48940999127315965,0.1768962245663203,0.029978978671097105,0.2039851496148529,4.414798413711702,3.012589360215645,-3.012589360215645,2.5892207153927638,0.44,3.41174818998064,12.889239860850182,0.6633813470346527
HorizontalScanPath_5,Horizontal,5,evaluation,Posterior physics mean + sequential ST,0.5154435845718363,0.5028484161128666,0.18467815116569047,0.03631405853374575,0.20901485804077963,4.508081697315486,3.2106403486113004,-3.2106403486113004,2.7977763111591853,0.32,3.2058378161602037,13.068277262847062,0.6634206259378824
HorizontalScanPath_5,Horizontal,5,evaluation,Posterior physics mean + sequential advective ST,0.5153459235802975,0.5027531415253439,0.18466537855973963,0.03640653055924961,0.20903694611329363,4.5067111752561,3.208259304312894,-3.208259304312894,2.79881355242153,0.32,3.17288653484444,13.066495378142008,0.6630772938304723
HorizontalScanPath_5,Horizontal,5,evaluation,Advective posterior mean + sequential advective ST,0.5099688558345565,0.4975074656061771,0.17579132608773626,0.03738850470058603,0.20614868103636966,4.513301120463106,3.223304991191428,-3.223304991191428,2.805339150570361,0.32,3.2162998698231853,13.03070482455172,0.6630664814157793
HorizontalScanPath_5,Horizontal,5,evaluation,Posterior-sample mixture sequential advective ST,0.5151386518748879,0.5025509346264905,0.1847045366540886,0.03681840290315418,0.20817256049919788,4.502994217923581,3.204314836483686,-3.204314836483686,2.7821861944067,0.36,3.2349736609297155,13.060919779480741,0.6633693725649229
HorizontalScanPath_6,Horizontal,6,evaluation,Posterior physics mean + sequential ST,0.4694315090065678,0.48094888125826557,0.17407752200537133,0.0233287401503455,0.20546156266944182,4.3328391452670605,3.144685449839421,-3.144685449839421,2.7301676876251304,0.36,3.1357969284985323,8.321625667247304,0.6609781444473849
