n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,stage,region
25,9.853647277306411,5.606014787734657,-5.606014787734657,0.38446693574186885,0.0,1.4552542773859478,1.0,0.0,13.459350227015277,20.372834826220217,13.459350227015277,7.309012702408954,1.0,5.393291857576636,HorizontalScanPath_3,Horizontal,3,evaluation,Previous censored representation,top_1pct
25,4.62868828228331,3.4149280619650404,-3.4149280619650404,0.7976529580846835,0.28,3.0289318220717885,1.0,0.0,4.241757056287182,5.541666765594518,4.241757056287182,2.9365105252990604,0.76,3.002877158534222,HorizontalScanPath_3,Horizontal,3,evaluation,Current sequential advective ST,top_1pct
25,9.669475069569787,5.254918464457998,-5.254918464457998,0.5566668648857409,0.16,2.066654190964655,1.0,0.0,13.117367113060743,26.993236579820493,13.117367113060743,3.9697403365161215,0.8,4.983145340545313,HorizontalScanPath_4,Horizontal,4,evaluation,Previous censored representation,top_1pct
25,4.414315890269519,3.012187013242476,-3.012187013242476,0.8797912495001189,0.44,3.3636492085981082,1.0,0.0,3.6399901369766137,5.548005665712789,3.6399901369766137,2.112336503102201,0.52,2.593624493018814,HorizontalScanPath_4,Horizontal,4,evaluation,Current sequential advective ST,top_1pct
25,9.40077110341572,5.395523400011698,-5.395523400011698,0.4768363406603907,0.08,1.755780160424988,1.0,0.0,13.294307745951894,23.220531857079504,13.294307745951894,5.836821084031415,0.96,5.147674584454729,HorizontalScanPath_5,Horizontal,5,evaluation,Previous censored representation,top_1pct
25,4.5067111752561,3.208259304312894,-3.208259304312894,0.8446194932771075,0.32,3.17288653484444,1.0,0.0,3.9622349162467105,5.628936596204266,3.9622349162467105,2.362891617692102,0.64,2.798813552421523,HorizontalScanPath_5,Horizontal,5,evaluation,Current sequential advective ST,top_1pct
25,9.557537287130485,5.389298390231511,-5.389298390231511,0.40355763586020393,0.04,1.5553383268543257,1.0,0.0,12.82599763097812,20.10074603634499,12.82599763097812,6.0915886526710725,0.96,5.165433500827446,HorizontalScanPath_6,Horizontal,6,evaluation,Previous censored representation,top_1pct
25,4.333620623171927,3.1463364084589625,-3.1463364084589625,0.7999203450673869,0.36,3.097889009040318,1.0,0.0,3.8965878022898726,5.230568705420761,3.8965878022898726,2.5189091695806973,0.68,2.735196301153685,HorizontalScanPath_6,Horizontal,6,evaluation,Current sequential advective ST,top_1pct
25,8.928400405958383,4.533249269106066,-4.449854877359005,0.9938153181034552,0.6,3.3318900957780695,1.0,0.0,4.369932953252418,7.484415523291365,4.470754087415631,1.4542506602681424,0.44,4.192831675759582,HorizontalScanPath_7,Horizontal,7,evaluation,Previous censored representation,top_1pct
25,4.288328574565145,3.106829224296171,-2.957189067471095,0.9839250076924031,0.48,3.6615463672038415,1.0,0.0,2.9607022370482805,4.0845835516681,3.1108273235781168,1.9818492411200388,0.52,2.6560923112047434,HorizontalScanPath_7,Horizontal,7,evaluation,Current sequential advective ST,top_1pct
