region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
saturated_censored_GP_sampled,90,5.1204334494966055,1.8164370527120122,-1.3191457488287162,0.5102351693576797,0.6333333333333333,1.8732907216108483,1.0,0.0,3.32589645034243,14.26567844646204,4.401920475530369,1.221030637903933,0.3111111111111111,1.6339051549361991,HorizontalScanPath_4,Horizontal,4,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.669475069569787,5.254918464457998,-5.254918464457998,0.5566668648857409,0.16,2.066654190964655,1.0,0.0,13.117367113060743,26.993236579820493,13.117367113060743,3.9697403365161215,0.8,4.983145340545313,HorizontalScanPath_4,Horizontal,4,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9762269068378304,0.25891118854814105,-0.04695829408105694,0.016200524909052747,0.019592163134746102,0.059682022095995886,0.03318672530987605,0.9668132746901239,3.7884833878705546,12.785127192493219,4.740037039059035,1.3748277090991683,0.3493975903614458,0.2528309917513842,HorizontalScanPath_5,Horizontal,5,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2418,0.250096820181334,0.19978183358410673,0.003560997916087732,6.877248596076684e-13,0.0,0.0,0.0,1.0,,,,,,0.19978183358413484,HorizontalScanPath_5,Horizontal,5,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,83,5.186008022976323,1.981498903042539,-1.5187130898532955,0.48816280476961454,0.5903614457831325,1.798370328458864,1.0,0.0,3.7884833878705546,12.785127192493219,4.740037039059035,1.3748277090991683,0.3493975903614458,1.7982871899249837,HorizontalScanPath_5,Horizontal,5,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.40077110341572,5.395523400011698,-5.395523400011698,0.4768363406603907,0.08,1.755780160424988,1.0,0.0,13.294307745951894,23.220531857079504,13.294307745951894,5.836821084031415,0.96,5.147674584454729,HorizontalScanPath_5,Horizontal,5,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9903578845257073,0.2558239609430799,-0.062444173913746195,0.011644945880562432,0.01599360255897641,0.0443948754384141,0.031187524990004,0.968812475009996,4.497319055297118,11.475765489162024,5.064340090062362,1.7943381030339247,0.47435897435897434,0.25101529844908355,HorizontalScanPath_6,Horizontal,6,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2423,0.24865325857105827,0.1979372641057094,-0.005583818378978243,6.882818310778331e-13,0.0,0.0,0.0,1.0,,,,,,0.19793726410572862,HorizontalScanPath_6,Horizontal,6,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,78,5.4339770815283295,2.0540222485962705,-1.8287600900771146,0.3733847390463967,0.5128205128205128,1.4234818393778674,1.0,0.0,4.497319055297118,11.475765489162024,5.064340090062362,1.7943381030339247,0.47435897435897434,1.89983680119202,HorizontalScanPath_6,Horizontal,6,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.557537287130485,5.389298390231511,-5.389298390231511,0.40355763586020393,0.04,1.5553383268543257,1.0,0.0,12.82599763097812,20.10074603634499,12.82599763097812,6.0915886526710725,0.96,5.165433500827446,HorizontalScanPath_6,Horizontal,6,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.945482147714477,0.2629135026912865,-0.01607354885504608,0.030607619269246725,0.021591363454618154,0.10680269014397607,0.032387045181927226,0.9676129548180727,0.7729346457624431,4.324562705254261,2.210047066187059,1.1825618536904994,0.20987654320987653,0.25182789257410815,HorizontalScanPath_7,Horizontal,7,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2420,0.25169546435351925,0.2001083960457762,0.009457913156560338,7.003705869054587e-13,0.0,0.0,0.0,1.0,,,,,,0.20010839604578184,HorizontalScanPath_7,Horizontal,7,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,81,5.070401519652876,2.139312985186778,-0.7788653768561267,0.945057478897422,0.6666666666666666,3.2976978771615326,1.0,0.0,0.7729346457624431,4.324562705254261,2.210047066187059,1.1825618536904994,0.20987654320987653,1.7970276653957082,HorizontalScanPath_7,Horizontal,7,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,8.928400405958383,4.533249269106066,-4.449854877359005,0.9938153181034552,0.6,3.3318900957780695,1.0,0.0,4.369932953252418,7.484415523291365,4.470754087415631,1.4542506602681424,0.44,4.192831675759582,HorizontalScanPath_7,Horizontal,7,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9407355706363907,0.2613587198333862,-0.028243837060803554,0.0217551050103862,0.020791683326669332,0.07988775196346064,0.03318672530987605,0.9668132746901239,1.5200978336765503,8.47330736040959,3.2468504429050564,1.4187234944171445,0.3132530120481928,0.2527951404667549,HorizontalScanPath_8,Horizontal,8,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2418,0.25365295879145805,0.20221225416819655,0.002226812247075156,6.901765575955063e-13,0.0,0.0,0.0,1.0,,,,,,0.20221225416821906,HorizontalScanPath_8,Horizontal,8,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,83,4.979197478320558,1.984444912344575,-0.9159309458132219,0.6555363569796028,0.6265060240963856,2.407220092296567,1.0,0.0,1.5200978336765503,8.47330736040959,3.2468504429050564,1.4187234944171445,0.3132530120481928,1.726402599139761,HorizontalScanPath_8,Horizontal,8,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,8.939210795251494,4.670886529909954,-4.648013176120016,0.6763395732067154,0.36,2.4328226641738957,1.0,0.0,7.683611225653284,15.23375772176259,7.707602530797029,2.4656768681256636,0.72,4.349109052312916,HorizontalScanPath_8,Horizontal,8,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9721761697043502,0.2593722366963208,-0.043587536185884394,0.025238768606131057,0.020791683326669332,0.08514830078206542,0.029188324670131948,0.970811675329868,1.8055678749126043,6.979077377065737,2.6139013479721,1.138680974745311,0.273972602739726,0.25006899569698227,HorizontalScanPath_10,Horizontal,10,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2428,0.2504060380514338,0.20181738359009932,-0.00046659708068354987,6.882965392804123e-13,0.0,0.0,0.0,1.0,,,,,,0.20181738359010035,HorizontalScanPath_10,Horizontal,10,evaluation,Hybrid previous censored representation,Previous censored representation
