region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
top_1pct,25,5.415924882140937,4.231618976278305,-3.6051488162530494,0.6911174529208908,0.08,2.6248018083840634,1.0,0.0,5.19043911023796,7.70480864256099,6.067767772759543,3.9386696724428347,0.92,3.8516368414144306,DiagonalScanPath_3,Diagonal,3,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
overall,2501,0.5317022646414167,0.1835772106678072,0.03255495928023672,0.658173803381235,0.9916033586565374,2.517466804212994,1.0,0.0,-0.04996624009441569,0.7702776402424409,0.28233914564128404,0.1527322064082454,0.008796481407437025,0.21296746580776993,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,2.789900576397586,1.3882110876337934,-0.6756035687875248,0.6910610185965096,0.7763157894736842,2.6322118090770563,1.0,0.0,0.9800537507688665,3.966512999946338,1.993871523805015,0.6488909006783292,0.23684210526315788,1.2265604690760323,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
top_1pct,25,4.8020231984517885,3.4047282882968353,-2.4304377902084955,0.6851201280263755,0.36,2.598381725977076,1.0,0.0,3.526473901608034,6.827126451235351,4.892398926700455,2.6926733104179172,0.68,3.1063783946935013,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
overall,2501,0.5418747311580223,0.18446721944089187,0.027298188646991038,0.6635976345941629,0.9924030387844862,2.537007334882019,1.0,0.0,-0.050140270413707826,0.632982828030402,0.2686516987065985,0.15283910077786336,0.006797281087564974,0.21273780380177743,DiagonalScanPath_3,Diagonal,3,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.8583032597311107,1.4395219011185987,-0.8459219748369092,0.8370994193122095,0.8157894736842105,3.1491900688528602,1.0,0.0,0.976503813740259,3.089496637335674,1.6139103837660285,0.6751286498006523,0.18421052631578946,1.2420375592994382,DiagonalScanPath_3,Diagonal,3,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
top_1pct,25,4.927168201271908,3.548329712841687,-2.684161948224755,0.8915495354407023,0.44,3.34441316579931,1.0,0.0,3.1300944579926755,5.311503779373656,3.8949520565482243,2.226561013065053,0.56,3.1532217785097405,DiagonalScanPath_3,Diagonal,3,evaluation,Moment-matched sequential advective ST,Oracle controlled current update
overall,2501,0.542586666914056,0.18474491754279426,0.026122868428882232,0.661971063216108,0.9932027189124351,2.5306041647945756,1.0,0.0,-0.04630919736826868,0.6766129029327886,0.2730123529965862,0.15322398843166937,0.0075969612155137945,0.2132053252278899,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
above_camera_ceiling,76,2.862952115540343,1.4460139924229158,-0.878572335572196,0.7927994983625435,0.8157894736842105,3.018157098995161,1.0,0.0,1.092855055801499,3.377015326115917,1.7427224355138269,0.7276244647241068,0.19736842105263158,1.2462858644342933,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
top_1pct,25,4.937836855056334,3.586866258671155,-2.723805021834835,0.8291377433291757,0.44,3.1503082576984163,1.0,0.0,3.4127178498819983,5.815499775615549,4.2649213173516,2.5826109699387585,0.6,3.1825209321521557,DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-sample mixture sequential advective ST,Oracle controlled current update
