scenario,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,selected_lengthscale_mean,selected_lengthscale_std,actual_frac_saturated_mean
fixed_ell_0.70,rotated_wake,rotated wake,discard saturated,20,0.10156226677460542,0.013505643367209712,0.2474783806150211,509.93230374116564,63.697465928957065,67.04035646465526,262.79819734144866,0.0,0.7,0.0,0.03200692041522492
fixed_ell_0.70,rotated_wake,rotated wake,censored Laplace,20,0.07312697025099668,0.004477747949251368,0.17154683537345275,395.2034442686349,29.424643322375513,42.682716877763916,167.3162501608345,0.0,0.7,0.0,0.03200692041522492
fixed_ell_0.70,rotated_wake,rotated wake,censored sampled,20,0.07238248187273684,0.005794283856478137,0.16716908031230918,386.72509906818345,33.96332902232187,40.08732875066293,154.21537083833044,0.0,0.7,0.0,0.03200692041522492
fixed_ell_0.70,rotated_wake,rotated wake,oracle true,20,0.02498848571677381,0.0,0.03710853899986565,77.68321645490869,0.0,15.147353070786073,59.37762403748138,0.0,0.7,0.0,0.03200692041522492
unsat_mll_tuned,rotated_wake,rotated wake,exact clipped,20,0.11535602205757109,0.0022534969209036452,0.28359486219867885,628.9939223341071,6.755726936157413,11.731090081698598,45.985873120258496,0.0,0.9360224096780417,0.058837760587605765,0.03200692041522492
unsat_mll_tuned,rotated_wake,rotated wake,discard saturated,20,0.12509810829843276,0.012179245116230968,0.30717685717521376,627.899316661872,50.684749158990634,30.94399227098837,121.3004497022744,0.0,0.9360224096780417,0.058837760587605765,0.03200692041522492
unsat_mll_tuned,rotated_wake,rotated wake,censored Laplace,20,0.09758795522551293,0.00770142261097539,0.2341443585297048,525.7248788796344,39.86886303443065,21.56982227409658,84.55370331445857,0.0,0.9360224096780417,0.058837760587605765,0.03200692041522492
unsat_mll_tuned,rotated_wake,rotated wake,censored sampled,20,0.099110332691833,0.010495169202078368,0.2362691638372826,528.7386794734836,50.82932070998555,18.91797281745442,73.05209180938729,0.0,0.9360224096780417,0.058837760587605765,0.03200692041522492
unsat_mll_tuned,rotated_wake,rotated wake,oracle true,20,0.05239490096638956,0.006962992679164825,0.07817978464040441,181.7621049508245,27.95120855955236,11.731090081698598,45.985873120258546,0.0,0.9360224096780417,0.058837760587605765,0.03200692041522492
fixed_ell_0.70,laser_path,moving-laser path,exact clipped,20,0.11234630720197539,0.000787625916039037,0.28971003207795354,668.8264895751781,4.915977213053141,15.150229227769325,59.38889857285585,0.0,0.7,0.0,0.0314878892733564
fixed_ell_0.70,laser_path,moving-laser path,discard saturated,20,0.15326232892125188,0.01111539290123873,0.4041988813417136,767.7962052703707,39.48215179714904,58.46721733136586,229.1914919389542,0.0,0.7,0.0,0.0314878892733564
fixed_ell_0.70,laser_path,moving-laser path,censored Laplace,20,0.10593368229855722,0.001479954139969851,0.2698543335929115,617.4234443139445,12.646608221603364,26.60139156409692,104.27745493125997,0.0,0.7,0.0,0.0314878892733564
fixed_ell_0.70,laser_path,moving-laser path,censored sampled,20,0.11199259064795782,0.003249742212779822,0.28377104424329813,637.0217617563151,22.513337379601886,33.84131354027461,124.08626338555828,0.0,0.7,0.0,0.0314878892733564
fixed_ell_0.70,laser_path,moving-laser path,oracle true,20,0.06519059487598279,0.0,0.12431023290290041,261.0843588109565,0.0,15.150229227769325,59.38889857285585,0.0,0.7,0.0,0.0314878892733564
unsat_mll_tuned,laser_path,moving-laser path,exact clipped,20,0.13683667442295017,0.008416044005990058,0.348405261909474,759.5080656514253,29.557508878515343,9.315312755983818,36.516026003456545,0.0,1.2447879790685574,0.2192057684119999,0.0314878892733564
unsat_mll_tuned,laser_path,moving-laser path,discard saturated,20,0.16914237879653266,0.00883001326969018,0.44636997644732046,869.0949370795479,35.7875790070871,16.28379366235147,63.83247115641775,0.0,1.2447879790685574,0.2192057684119999,0.0314878892733564
unsat_mll_tuned,laser_path,moving-laser path,censored Laplace,20,0.13603334451879284,0.008784840677472872,0.3455479684567687,754.0535563292526,32.14557970440738,9.690931867886535,37.98845292211522,0.0,1.2447879790685574,0.2192057684119999,0.0314878892733564
unsat_mll_tuned,laser_path,moving-laser path,censored sampled,20,0.15567097578165648,0.011837778090900352,0.4074793298538134,841.2075516941352,41.421855870802574,15.557967391308093,51.58497023355092,0.0,1.2447879790685574,0.2192057684119999,0.0314878892733564
unsat_mll_tuned,laser_path,moving-laser path,oracle true,20,0.11344434826012557,0.013720062504238177,0.23148137854692452,522.3723208834585,75.97063000982271,9.315312755983818,36.51602600345656,0.0,1.2447879790685574,0.2192057684119999,0.0314878892733564
