trajectory,method,region,rmse_K_rerun,mae_K_rerun,signed_error_K_rerun,crps_K_rerun,coverage_95_rerun,interval_width_95_K_rerun,posterior_sd_K_rerun,rmse_K_saved,mae_K_saved,signed_error_K_saved,crps_K_saved,coverage_95_saved,interval_width_95_K_saved,posterior_sd_K_saved,rmse_K_difference,mae_K_difference,signed_error_K_difference,crps_K_difference,coverage_95_difference,interval_width_95_K_difference,posterior_sd_K_difference
DiagonalScanPath_3,posterior physics mean + RBF,above_camera_ceiling,2.810785584504362,1.5573483966623598,-0.25312364331160014,1.4226514039875742,0.9473684210526315,12.198357258521256,3.22032790128212,2.810785584504362,1.5573483966623598,-0.2531236433116001,1.4226514039875742,0.9473684210526316,12.198357258521256,3.22032790128212,0.0,0.0,-5.551115123125783e-17,0.0,-1.1102230246251565e-16,0.0,0.0
DiagonalScanPath_3,posterior physics mean + RBF,overall,0.5461093663032608,0.2049857753714788,0.03776868381460278,0.7304429741522521,0.9984006397441023,11.458596969806527,2.995306256240299,0.5461093663032608,0.2049857753714788,0.0377686838146027,0.7304429741522521,0.9984006397441024,11.458596969806528,2.995306256240299,0.0,0.0,7.632783294297951e-17,0.0,-1.1102230246251565e-16,-1.7763568394002505e-15,0.0
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,Q1,0.19046877593701747,0.12865920115051097,0.0897447674170863,0.17567754660846094,1.0,2.5204252095313344,0.6603354295632734,0.1904687759370174,0.1286592011505109,0.0897447674170863,0.1756775466084609,1.0,2.5204252095313344,0.6603354295632734,8.326672684688674e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,0.0,0.0
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,Q2,0.18439774808155568,0.12199719287182652,0.06980005892280479,0.17430710709487557,1.0,2.5004310418059936,0.6538669942173565,0.1843977480815556,0.1219971928718265,0.0698000589228047,0.1743071070948755,1.0,2.5004310418059936,0.6538669942173565,8.326672684688674e-17,1.3877787807814457e-17,8.326672684688674e-17,5.551115123125783e-17,0.0,0.0,0.0
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,Q3,0.18514014073013263,0.13134804995082106,0.059312480485644116,0.17357411109576257,1.0,2.5088434702888254,0.6540931776820047,0.1851401407301326,0.131348049950821,0.0593124804856441,0.1735741110957625,1.0,2.508843470288826,0.6540931776820047,2.7755575615628914e-17,5.551115123125783e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0,-4.440892098500626e-16,0.0
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,Q4,0.9816772180150847,0.37289410191787076,0.027807504558850907,0.32880440526241805,0.9664,2.6607652792829826,0.696163490292556,0.9816772180150848,0.3728941019178707,0.0278075045588509,0.328804405262418,0.9664,2.6607652792829826,0.696163490292556,-1.1102230246251565e-16,5.551115123125783e-17,6.938893903907228e-18,5.551115123125783e-17,0.0,0.0,0.0
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,top_1pct,4.36461028551075,2.9100559500572163,-1.7138796405414582,2.5095133475629483,0.5,4.1321017953080785,1.0894319438435787,4.36461028551075,2.9100559500572163,-1.7138796405414582,2.5095133475629483,0.5,4.1321017953080785,1.0894319438435789,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,2.718141173436145,1.6075320932723707,-0.005438361591876179,1.286119460772673,0.75,3.504032219748584,0.9242345484781833,2.718141173436145,1.607532093272371,-0.0054383615918761,1.286119460772673,0.75,3.504032219748584,0.9242345484781832,0.0,-2.220446049250313e-16,-7.892991815694472e-17,0.0,0.0,0.0,1.1102230246251565e-16
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,overall,0.5166911093746591,0.1887006199052554,0.0616774297811509,0.21307583320074236,0.9916033586565374,2.5476053781598327,0.6661124621257726,0.5166911093746591,0.1887006199052554,0.0616774297811509,0.2130758332007423,0.9916033586565374,2.5476053781598327,0.6661124621257726,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,Q1,0.20049776961572519,0.14023136332365133,0.08192707984350567,0.7125339859452507,1.0,11.510803832634553,3.0144657467708,0.2004977696157251,0.1402313633236513,0.0819270798435056,0.7125339859452507,1.0,11.510803832634553,3.0144657467708,8.326672684688674e-17,2.7755575615628914e-17,6.938893903907228e-17,0.0,0.0,0.0,0.0
