trajectory,method,method_label,percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K,mean_abs_standardized_residual
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,30-40%,30.0,40.0,250,0.1811991852870998,0.1136940965352976,0.08345250446465911,0.17156577088657615,1.0,2.487203678707635,0.6497249601335707,0.17822218772241388
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,40-50%,40.0,50.0,250,0.14992280483309559,0.09518350145508225,0.05005868765585979,0.16957903144190578,1.0,2.5428062601170964,0.6640379371585274,0.147462465587615
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,50-60%,50.0,60.0,251,0.16651425893457777,0.1117586935957279,0.05485118885489199,0.1692536247107667,1.0,2.5207878893821754,0.657864196040573,0.17260404244729458
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,60-70%,60.0,70.0,250,0.19445577638906117,0.1368320085541445,0.06894343239684894,0.17725826259873753,1.0,2.5541417729331806,0.6645772482869886,0.21398210452259278
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,70-80%,70.0,80.0,250,0.2020537847973866,0.1584751427623705,0.04545138873645101,0.17984370958270107,1.0,2.5233538586492323,0.6585994193871552,0.2431162828428366
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,80-90%,80.0,90.0,250,0.2839575887077132,0.2245448364014003,0.053109413002566955,0.20163885682920202,1.0,2.4846854380247536,0.6511125229850949,0.3502560723281853
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,90-95%,90.0,95.0,125,0.2700837318020404,0.2144985765242204,-0.019615908908635446,0.19517757970329805,1.0,2.5144141030982694,0.6607093023955688,0.33419352470299857
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,95-99%,95.0,99.0,100,0.7189786161618135,0.5136972405344966,0.30882795058823037,0.37871676062626364,0.96,2.9225901506619887,0.7747851563667146,0.6207796887666395
HorizontalScanPath_11,full-posterior mixture sequential advective stochastic ST,full-mixture ST,99-100%,99.0,100.0,25,3.843178748141544,2.658433305030187,-2.600300213658627,2.2473910024354913,0.56,3.4069326628080603,0.8726207507868164,3.0493949616614837
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,0-10%,0.0,10.0,250,0.189576159608945,0.1348636479224731,0.005947472300071013,0.7074305108290523,1.0,11.426003664450985,3.0004618590962244,0.059083264162464774
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,10-20%,10.0,20.0,250,0.21195554849253972,0.14652105314893152,0.09531491266606418,0.7104085236596426,1.0,11.50257026831984,3.0059506422111752,0.0642226002853568
