trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,family,run_index,role,rmse_K,signed_error_K,fraction_saturated,previous_frame_offset,time_lag_s,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,forcing_lengthscale_m,previous_observations_reused_in_current_update,same_previous_posterior_for_all_models,same_current_observations_for_all_models,same_sampler_seed_for_all_models,crps_estimator,uncertainty_propagation,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
DiagonalScanPath_3,full-posterior mixture sequential advective stochastic ST,117,2,294.9015209525281,0.43109330087059156,326.4740358780628,332.76323828149526,6.289202403432455,0.9632497460278743,False,0.9932027189124351,0.8157894736842105,3.018157098995161,2.5306041647945756,0.21320532522788946,1.24628586443429,3.073122475796358,Diagonal,3,evaluation,0.542586666914056,0.026122868428882232,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,105.19092860856082,0.019828696202420573,0.9273513985338594,118.0,6.82710159354211,0.0
DiagonalScanPath_3,posterior physics mean + RBF,117,2,294.9015209525281,0.43389213873423493,326.4740358780628,333.42548505844746,6.951449180384657,3.4198010811789956,True,0.9984006397441023,0.9473684210526315,12.198357258521256,11.458596969806527,0.7304429741522521,1.4226514039875742,2.4396810941860765,Diagonal,3,evaluation,0.5461093663032608,0.03776868381460278,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_4,mean-only sequential advective stochastic ST,117,2,295.3585248883726,0.38632157496837466,331.63935958961497,341.80101230400135,10.161652714386378,0.7140644076488822,False,0.9900039984006398,0.7105263157894737,2.591715225365768,2.516921134903803,0.21339236904310271,1.3188918254401185,2.7475438983716245,Diagonal,4,evaluation,0.5204399531079155,0.05479643870417189,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_4,moment-matched sequential advective stochastic ST,117,2,295.3585248883726,0.3837416607688672,331.63935958961497,342.3464047283669,10.707045138751937,1.5691699412731348,False,0.991203518592563,0.7368421052631579,3.462846213931556,2.5459927814390486,0.21290663378858946,1.2869122536992794,2.5595022288914326,Diagonal,4,evaluation,0.5169643759928554,0.06020004658092466,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
DiagonalScanPath_4,full-posterior mixture sequential advective stochastic ST,117,2,295.3585248883726,0.3835388154844162,331.63935958961497,342.43278015187786,10.793420562262895,1.6106839408089635,False,0.9916033586565374,0.75,3.504032219748584,2.5476053781598327,0.21307583320074236,1.286119460772673,2.5095133475629483,Diagonal,4,evaluation,0.5166911093746591,0.0616774297811509,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,140.12339239837692,0.013757485413570317,0.9730426935414677,142.0,2.9702256399099554,0.0
DiagonalScanPath_4,posterior physics mean + RBF,117,2,295.3585248883726,0.4015688813926742,331.63935958961497,341.79302799975176,10.153668410136788,3.4196320745683932,False,0.998000799680128,0.9342105263157895,12.142901514172046,11.454065921869729,0.7309875829418128,1.461389902385087,2.323647954553979,Diagonal,4,evaluation,0.5409806320517051,0.062496124083461585,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_5,mean-only sequential advective stochastic ST,117,3,295.50866552712534,0.38700415208852684,334.0359159203151,332.2009779285552,1.8349379917599435,0.7141086583472537,False,0.9908036785285885,0.75,2.688170039016473,2.521359566397075,0.21233315525981783,1.1921979514906935,2.8425331931652194,Diagonal,5,evaluation,0.5359715751595145,0.03528413743197084,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_5,moment-matched sequential advective stochastic ST,117,3,295.50866552712534,0.38594961139908396,334.0359159203151,332.2629666124869,1.7729493078282417,0.8925744364372433,False,0.9940023990403839,0.8289473684210527,3.4079067888765198,2.5449195132112106,0.21131615456198466,1.1848710823262414,2.7480309484382346,Diagonal,5,evaluation,0.5345111158043881,0.036901057435749514,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,117,3,295.50866552712534,0.3851912633868772,334.0359159203151,332.2898345211976,1.7460813991175428,0.8774194015116584,False,0.9940023990403839,0.8421052631578947,3.3391562750914416,2.542733782637901,0.2116311040681396,1.1736258499492311,2.7114258848457493,Diagonal,5,evaluation,0.5334608609778492,0.03782113963472091,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,170.12037246115065,0.007679500553852785,0.99374065213897,164.0,1.5553450773052049,0.0
DiagonalScanPath_5,posterior physics mean + RBF,117,3,295.50866552712534,0.4058642033429197,334.0359159203151,332.2259205852151,1.8099953351000408,3.419757636732715,True,0.9984006397441023,0.9473684210526315,12.169279075714607,11.476651412422546,0.7306322800640712,1.3944923618877032,2.3261693106323107,Diagonal,5,evaluation,0.5620913243246187,0.04549165931596966,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_6,mean-only sequential advective stochastic ST,117,3,295.76268867732483,0.3927479491305898,331.21807173731014,329.9000623438215,1.3180093934886372,0.7141260779938328,False,0.9896041583366654,0.6710526315789473,2.6591055700904103,2.5237414370538285,0.21675412249451848,1.4292111727548065,3.362723284999593,Diagonal,6,evaluation,0.5649401434618417,0.03818655502562833,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_6,moment-matched sequential advective stochastic ST,117,3,295.76268867732483,0.3938924903231856,331.21807173731014,329.97967151198725,1.2384002253228914,0.8533817972696102,False,0.9928028788484606,0.7763157894736842,3.6522119517522955,2.5581442684728963,0.21649366906856712,1.4188546794839347,3.2779747631349383,Diagonal,6,evaluation,0.5665864850072893,0.039755162615048335,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
DiagonalScanPath_6,full-posterior mixture sequential advective stochastic ST,117,3,295.76268867732483,0.39636194439234096,331.21807173731014,329.9823642464336,1.235707490876564,0.8439022818182184,False,0.9924030387844862,0.7631578947368421,3.9164776393596195,2.5624285439677714,0.2170188531896326,1.4500082807910513,3.3756178999872213,Diagonal,6,evaluation,0.5701386200068211,0.03864840930845239,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,164.89611746254175,0.009949724190653405,0.9903667443360135,160.0,2.552713198549995,0.0
DiagonalScanPath_6,posterior physics mean + RBF,117,3,295.76268867732483,0.4240090286443826,331.21807173731014,329.9053617719231,1.3127099653870573,3.419825789453124,True,0.9984006397441023,0.9473684210526315,12.287481038234162,11.492428167575534,0.7377647500037989,1.625825178372757,2.6655186003881117,Diagonal,6,evaluation,0.6099069950632029,0.055321350079400596,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_7,mean-only sequential advective stochastic ST,117,2,295.92680693793324,0.38382688388633174,329.2427619913974,337.85472800616316,8.611966014765756,0.7140646978928035,False,0.9888044782087165,0.6578947368421053,2.6157361358230125,2.5088402878359926,0.22036575450441925,1.5653396128528605,3.8487487520566495,Diagonal,7,evaluation,0.5840812309197965,0.014269704446166957,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_7,moment-matched sequential advective stochastic ST,117,2,295.92680693793324,0.38425864446168845,329.2427619913974,337.79955847929625,8.55679648789885,0.8609937382839616,False,0.989204318272691,0.6710526315789473,2.9229004340206104,2.5205999604620297,0.21939663827904418,1.5408007219831752,3.783835337080502,Diagonal,7,evaluation,0.5847382543303601,0.013012504346017752,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
