trajectory,role,previous_draws,current_saturated_observations,component_mean_average_max_difference_K,propagated_component_sd_mean_K,innovation_sd_K,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
SpiralScanPath_2,evaluation,180,4,2.4442670110147446e-12,0.008091056871198696,0.7159318740849122,89,0.03558576569372251,2.154459598727737,2.011625074624826,180.0,155.089572847912,0.01350809947033567,0.9858183530945558,150.0,2.1959931643434487,0.0
SpiralScanPath_3,evaluation,180,3,2.5579538487363607e-12,0.007669087789286365,0.7159318740849122,81,0.032387045181927226,2.3269279645816527,2.17910508580971,180.0,168.69412982961825,0.011134029090883192,0.9936996830125985,166.0,1.4447544262141463,0.0
SpiralScanPath_4,evaluation,180,2,2.3874235921539366e-12,0.018407962873914566,0.7159318740849122,80,0.03198720511795282,2.421583203054216,2.3340915269788938,180.0,150.6097679683398,0.014363447878014246,0.9826050286756876,148.0,2.0827273543378197,0.0
SpiralScanPath_5,evaluation,180,4,2.3305801732931286e-12,0.02562173183200009,0.7159318740849036,84,0.03358656537385046,2.3160661582293405,1.9500492688862512,180.0,156.46444403028835,0.00894891160101815,0.9844722771588523,149.0,1.7965114049494701,0.0
SpiralScanPath_6,evaluation,180,2,2.5011104298755527e-12,0.01631403938144668,0.7159318740849122,81,0.032387045181927226,2.401808793946929,2.0355564117669664,180.0,161.0259871783788,0.010961273812937381,0.9885462199044887,155.0,2.0362358328202106,0.0
SpiralScanPath_7,evaluation,180,3,2.3874235921539366e-12,0.011474789370813912,0.7159318740849122,79,0.03158736505397841,2.4968012424373893,2.1202911782120935,180.0,164.80333464945528,0.013123187909327533,0.991654594786565,161.0,1.5695056043894056,0.0
SpiralScanPath_8,evaluation,180,3,2.5011104298755527e-12,0.010649632500752546,0.7159318740849122,83,0.03318672530987605,2.37643008716828,2.098610895750184,180.0,171.72299978900188,0.009109983958947425,0.9953927165879325,165.0,1.2461261920454803,0.0
SpiralScanPath_9,evaluation,180,2,2.5579538487363607e-12,0.020455290128099476,0.7159318740849122,79,0.03158736505397841,2.4829704941696766,2.326264298063792,180.0,106.16731873217924,0.017631717815575546,0.9311526943634684,114.0,4.994619009369586,0.0
SpiralScanPath_10,evaluation,180,3,2.3874235921539366e-12,0.022377330491881404,0.7159318740849122,78,0.031187524990004,2.4942509915903295,2.2925440864066675,180.0,160.8998325128839,0.011045598513124751,0.9886046202150576,151.0,1.7167437105278793,0.0
SpiralScanPath_11,evaluation,180,2,2.3874235921539366e-12,0.013981353844143294,0.7159318740849122,77,0.03078768492602959,2.510525167157445,2.1382740331159407,180.0,156.40177009241737,0.009810849873158297,0.9838575503404839,151.0,1.969551961087447,0.0
SpiralScanPath_12,evaluation,180,3,2.5011104298755527e-12,0.014696505130538193,0.7159318740849122,79,0.03158736505397841,2.4554211855889654,2.092668154393517,180.0,166.2594313003176,0.008241705212845072,0.9917482814747284,157.0,1.2116622615366168,0.0
SpiralScanPath_13,calibration,180,2,2.3874235921539366e-12,0.02397350843137508,0.7159318740849122,76,0.030387844862055178,2.575770072454711,2.309910217491491,180.0,84.27193460237092,0.025251798724397468,0.8873673289603197,102.0,6.907346252258208,0.0
