trajectory,role,method,region,n_pixels,true_temperature_min_K,true_temperature_max_K,true_temperature_mean_K,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
HorizontalScanPath_12,evaluation,mean-only sequential advective stochastic ST,Q4,625,293.3097449306623,315.46455223645467,294.6983511421773,0.9718544782679432,0.38628863745424735,-0.1388455837591153,0.3367316583857813,0.9552,2.5457128387225025,0.6647997297733762
HorizontalScanPath_12,evaluation,mean-only sequential advective stochastic ST,top_1pct,26,298.44354489676465,315.46455223645467,301.2811164148619,4.469164335749121,3.4602048669559755,-3.4602048669559755,3.04962733502156,0.19230769230769232,2.6650712229606133,0.7085689429112231
HorizontalScanPath_12,evaluation,mean-only sequential advective stochastic ST,above_camera_ceiling,76,296.3525815864646,315.46455223645467,298.5375103997625,2.6793479919890335,1.5478788743319285,-1.212270288711811,1.3053316561098998,0.6447368421052632,2.6156657171187927,0.6829089382027086
HorizontalScanPath_12,evaluation,mean-only sequential advective stochastic ST,overall,2501,293.1441736480382,315.46455223645467,293.54731011352163,0.5130973344022135,0.19663130425208414,0.019142004595879853,0.21526735811415287,0.9888044782087165,2.5151589492162922,0.6583068584515982
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,Q1,626,293.1441736480382,293.15000004058277,293.14972453999906,0.18814878566800264,0.13117343988160163,0.07145612495996023,0.17418182793900377,1.0,2.4921293824982507,0.6515229585414433
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,Q2,625,293.15000004290545,293.15196542508903,293.1502205701899,0.19348263695806553,0.13591582388491616,0.08436040252554712,0.17624404561517185,1.0,2.506496836902288,0.6587010707283627
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,Q3,625,293.15200129318646,293.30864883515414,293.191580338638,0.19000728522671795,0.13325116602069276,0.05950998703699342,0.17622645071065499,1.0,2.528301814386334,0.6582145397920033
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,Q4,625,293.3097449306623,315.46455223645467,294.6983511421773,0.9618506650340509,0.38495377230469696,-0.13359696617319405,0.33297231727834714,0.9648,2.5734442819341687,0.674749538447868
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,top_1pct,26,298.44354489676465,315.46455223645467,301.2811164148619,4.415806729934661,3.4058893831454324,-3.4058893831454324,2.975152898230605,0.23076923076923078,3.0129538189322975,0.7906932616331216
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,above_camera_ceiling,76,296.3525815864646,315.46455223645467,298.5375103997625,2.6490201311832213,1.5347818055430107,-1.1674158853953802,1.2715475306279502,0.7105263157894737,2.86048941578335,0.7557254980808213
HorizontalScanPath_12,evaluation,moment-matched sequential advective stochastic ST,overall,2501,293.1441736480382,315.46455223645467,293.54731011352163,0.5083645619333171,0.1962975008985701,0.02045278842194189,0.21488987716610358,0.991203518592563,2.5250798987237704,0.6607933187333425
HorizontalScanPath_12,evaluation,full-posterior mixture sequential advective stochastic ST,Q1,626,293.1441736480382,293.15000004058277,293.14972453999906,0.18814879353214167,0.1311734548652569,0.07145610580045794,0.17379853681375113,1.0,2.481599623803739,0.6515229585436624
HorizontalScanPath_12,evaluation,full-posterior mixture sequential advective stochastic ST,Q2,625,293.15000004290545,293.15196542508903,293.1502205701899,0.19348263799541401,0.13591582503763922,0.0843604045395431,0.17697122513346072,1.0,2.521288545419775,0.6587010707283671
HorizontalScanPath_12,evaluation,full-posterior mixture sequential advective stochastic ST,Q3,625,293.15200129318646,293.30864883515414,293.191580338638,0.19000678375980024,0.13325073448429603,0.05950920489757982,0.17552784963140644,1.0,2.5178263250128046,0.6582145433434337
HorizontalScanPath_12,evaluation,full-posterior mixture sequential advective stochastic ST,Q4,625,293.3097449306623,315.46455223645467,294.6983511421773,0.9594199987602043,0.3856982994385035,-0.12884176928534963,0.33245871675853034,0.9632,2.5876384124569065,0.6782697349428543
HorizontalScanPath_12,evaluation,full-posterior mixture sequential advective stochastic ST,top_1pct,26,298.44354489676465,315.46455223645467,301.2811164148619,4.3981270981907885,3.383931069130035,-3.383931069130035,2.9511763494668486,0.23076923076923078,3.134783899376292,0.8178004731687503
