trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,family,run_index,role,fraction_saturated,previous_frame_offset,time_lag_s,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,forcing_lengthscale_m,previous_posterior_prior,mean_construction,residual_covariance,update_structure,previous_observations_reused_in_current_update,same_previous_posterior_for_all_models,same_current_observations_for_all_models,same_sampler_seed_for_all_models,displacement_x_m,displacement_y_m,crps_estimator,predictive_variance_mean_K2,predictive_variance_max_K2,covariance_symmetry_error,innovation_variance_mean_K2,propagated_variance_mean_K2
DiagonalScanPath_5,posterior physics mean + RBF,117,3,295.50866552712534,0.4058642033429197,334.0359159203151,332.2259205852151,1.8099953351000408,3.419757636732715,True,0.9984006397441023,0.9473684210526315,12.169279075714607,11.476651412422546,0.7306322800640712,1.3944923618877032,2.3261693106323107,Diagonal,5,evaluation,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_5,advective posterior physics mean + RBF,117,3,295.50866552712534,0.400524775867242,334.0359159203151,332.2803644059774,1.7555515143376965,3.419785937161596,True,0.9984006397441023,0.9473684210526315,12.334944328673531,11.46689486449039,0.7295978000974503,1.4499516359379352,2.4376555388454335,Diagonal,5,evaluation,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_5,posterior physics mean + sequential stochastic ST,117,3,295.50866552712534,0.3845292447095866,334.0359159203151,332.3465128920771,1.6894030282380186,0.8980261653492445,True,0.995201919232307,0.8552631578947368,3.5602777220010653,2.552219072344365,0.21168374655691144,1.1726704709468982,2.698890620047161,Diagonal,5,evaluation,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,unbiased_M_times_M_minus_1,0.5283266721678599,2.1147620057418632,0.0,0.5125584483307222,0.015768223837137677
DiagonalScanPath_5,posterior physics mean + sequential advective stochastic ST,117,3,295.50866552712534,0.38594961139908396,334.0359159203151,332.2629666124869,1.7729493078282417,0.8925744364372433,False,0.9940023990403839,0.8289473684210527,3.4079067888765198,2.5449195132112106,0.21131615456198466,1.1848710823262414,2.7480309484382346,Diagonal,5,evaluation,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,unbiased_M_times_M_minus_1,0.5253659799732008,2.0430209902452514,0.0,0.5125584483307222,0.012807531642478685
DiagonalScanPath_5,advective posterior physics mean + sequential advective stochastic ST,117,3,295.50866552712534,0.38255389188027267,334.0359159203151,332.4221022814207,1.6138136388944417,0.8995693404474664,True,0.9932027189124351,0.8289473684210527,3.4395327748895106,2.547927319000189,0.20493870746141826,1.2294478699703522,2.7889247296321544,Diagonal,5,evaluation,0.03,1,0.0004999999999999866,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001380923197485135,3.0561291678929403e-06,unbiased_M_times_M_minus_1,0.5253659799732008,2.0430209902452514,0.0,0.5125584483307222,0.012807531642478685
DiagonalScanPath_6,posterior physics mean + RBF,117,3,295.76268867732483,0.4240090286443826,331.21807173731014,329.9053617719231,1.3127099653870573,3.419825789453124,True,0.9984006397441023,0.9473684210526315,12.287481038234162,11.492428167575534,0.7377647500037989,1.625825178372757,2.6655186003881117,Diagonal,6,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_6,advective posterior physics mean + RBF,117,3,295.76268867732483,0.4138076500237064,331.21807173731014,329.91161093846904,1.3064607988411012,3.4198056037189075,True,0.998000799680128,0.9342105263157895,12.269097344010548,11.488684396293083,0.737315670298462,1.643197847199948,2.72277438924638,Diagonal,6,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_6,posterior physics mean + sequential stochastic ST,117,3,295.76268867732483,0.39458378623516754,331.21807173731014,329.96013124960245,1.2579404877076854,0.9464483444832072,False,0.9940023990403839,0.8026315789473685,4.31912033988947,2.577870667328054,0.2157286851613221,1.416037998727877,3.2670756661092524,Diagonal,6,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,unbiased_M_times_M_minus_1,0.5461983747139425,5.569151818129009,0.0,0.5125584483307346,0.03363992638320796
DiagonalScanPath_6,posterior physics mean + sequential advective stochastic ST,117,3,295.76268867732483,0.3938924903231856,331.21807173731014,329.97967151198725,1.2384002253228914,0.8533817972696102,False,0.9928028788484606,0.7763157894736842,3.6522119517522955,2.5581442684728963,0.21649366906856712,1.4188546794839347,3.2779747631349383,Diagonal,6,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,unbiased_M_times_M_minus_1,0.5406345903204529,5.3585289823327615,0.0,0.5125584483307346,0.02807614198971837
DiagonalScanPath_6,advective posterior physics mean + sequential advective stochastic ST,117,3,295.76268867732483,0.38780730199549857,331.21807173731014,329.84840032834535,1.3696714089647912,0.8524867710961878,False,0.9916033586565374,0.7631578947368421,3.5888296658445262,2.5545964562029218,0.20870240256304765,1.3963689397823562,3.39705359880892,Diagonal,6,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001453397473155382,-2.4227557803399753e-06,unbiased_M_times_M_minus_1,0.5406345903204529,5.3585289823327615,0.0,0.5125584483307346,0.02807614198971837
