trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
HorizontalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.8534778831918,1.7278515318807892,-0.9655114467321623,1.3345228385262091,0.9342105263157895,9.66269875005865,2.520197722332735
HorizontalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.661949601574259,3.3960737522573017,-3.3960737522573017,2.49797111780648,0.8076923076923077,10.32160581230294,2.6920720425605946
HorizontalScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5289022928079397,0.19723703354758038,0.0068069246933543165,0.5707376783345284,0.9984006397441023,8.811377002529506,2.3072033066676867
HorizontalScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.7622713614350225,1.646307579127663,-1.1750103371344762,1.3113820565818881,0.9473684210526315,9.437712280054981,2.4764031775030624
HorizontalScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.577330422107427,3.4485828779767647,-3.4485828779767647,2.548350759538601,0.8461538461538461,10.224815709161255,2.686271706329838
HorizontalScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5388632982005309,0.18744234867464116,-0.03759249695065062,0.5701286269843691,0.998000799680128,8.823520216784365,2.3130491341261896
HorizontalScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.894822547338304,1.7250590919240905,-1.2192984421353266,1.3430894733701981,0.9342105263157895,9.328111904136605,2.4533336176183527
HorizontalScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.7754576660325645,3.615728183593634,-3.615728183593634,2.62119914360324,0.8076923076923077,10.524078344903709,2.756631038828245
HorizontalScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5633685635637095,0.2100215955264993,0.027776144301505892,0.5780738087096535,0.998000799680128,8.841919227726333,2.3116852451925265
HorizontalScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.775373397445955,1.8358549036573806,-0.5404402539078723,1.3838057318176933,0.9342105263157895,9.724597712231947,2.5228024415729267
HorizontalScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.294809566802174,3.093721879294118,-3.093721879294118,2.3281846407957434,0.8846153846153846,10.996445947038714,2.794649860976745
HorizontalScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5437299394443486,0.21093227735631598,0.013918212208576825,0.5755314063751491,0.998000799680128,8.836063083794885,2.31180189578222
HorizontalScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.772470032744201,1.7852522000147142,-0.819458383487659,1.3447389402966639,0.9342105263157895,9.514230788507312,2.5101089377184786
HorizontalScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.47357104738496,3.3976993308183476,-3.3976993308183476,2.43520465583481,0.8076923076923077,10.670021443004527,2.7810414323690127
HorizontalScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5604659827923022,0.2098426563783222,-0.014934376111890682,0.5755957236577417,0.998000799680128,8.849602880177986,2.312584987764652
HorizontalScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.985758872884662,1.8759671888719494,-1.378299204978966,1.4187452641002851,0.9342105263157895,9.263512713423966,2.430350056377841
HorizontalScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.866389421957233,3.7879444345470246,-3.7879444345470246,2.753135889317031,0.8076923076923077,10.74553344134644,2.7630183668527617
