trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,setting,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.40086465804144233,0.42586582663341727,336.214847986714,341.7172728704319,5.502424883717879,0.25412277267783534,False,0.9776089564174331,0.35526315789473684,0.7969206515982675,2.029211410614391,11.997683000736606,1.9767350718986607,69.75834320831208,1.0,False,0.35526315789473684,1.9767350718986607,69.75834320831208,length x0.75,0.03,1.0,1.0,1.0,0.75
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3903683459725421,0.4072103295773219,336.214847986714,341.77589614149224,5.561048154778234,0.3072817313751887,False,0.9824070371851259,0.5394736842105263,0.728397239786043,1.7818391757780434,10.917622801444567,1.6856401667930176,59.06898369683423,1.0,False,0.5394736842105263,1.6856401667930176,59.06898369683423,length x1.25,0.03,1.0,1.0,1.0,1.25
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.38175678208849145,0.37870432532492554,336.214847986714,342.6569784522729,6.442130465558876,1.3355833866695306,False,0.989204318272691,0.75,0.6831547136309262,1.5098587370667287,10.270116209840642,3.689540156883841,36.784711143195196,1.0,False,0.75,3.689540156883841,36.784711143195196,length x1.5,0.03,1.0,1.0,1.0,1.5
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3577195949671662,0.34172442504300204,336.214847986714,344.09821877020903,7.883370783495025,1.7440269627645109,False,0.9932027189124351,0.8026315789473685,0.728429894278952,1.4277863059877773,11.073362426225161,4.630309261865331,28.352162943414303,1.0,False,0.8026315789473685,4.630309261865331,28.352162943414303,noise x2 + length x1.25,0.03,1.0,2.0,1.0,1.25
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.5063779293396018,0.45387641569213943,336.214847986714,346.42405320080667,10.209205214092663,1.5370606573050074,False,0.9816073570571772,0.5,0.7382577680394365,2.4167225456674517,10.452819863768315,5.4699882448990165,40.81764367089171,1.0,False,0.5,5.4699882448990165,40.81764367089171,noise x2 + length x1.5,0.03,1.0,2.0,1.0,1.5
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3940930105796474,0.376977927250991,336.214847986714,343.7597948310358,7.544946844321771,0.908923829363624,False,0.9920031987205118,0.7631578947368421,0.7442034810741501,1.7192847516571639,11.170266984075072,4.799338937541479,33.334196637417016,1.0,False,0.7631578947368421,4.799338937541479,33.334196637417016,noise x3 + length x1.25,0.03,1.0,3.0,1.0,1.25
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.39495508910187355,0.4378334815813747,319.1296936365724,306.43349487356335,12.696198763009079,0.6783383707383218,False,0.9824070371851259,0.5394736842105263,0.7559707996849934,1.4927867262126124,11.529164625435953,1.5892693432219491,46.12352018711444,1.0,False,0.5394736842105263,1.5892693432219491,46.12352018711444,base,0.03,1.0,1.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,2.5728850421337723,0.17022272061337845,2,371,143,296.4959614680289,0.4030257828119136,0.45138390920601756,319.1296936365724,305.9200308233221,13.209662813250304,0.2881120587080085,False,0.9808076769292283,0.4605263157894737,0.5812081823388402,1.5395634132481395,8.659615702273307,1.4525930119932335,49.16988133724526,1.0,False,0.4605263157894737,1.4525930119932335,49.16988133724526,signal x0.75,0.03,0.75,1.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,5.145770084267545,0.17022272061337845,2,371,143,296.4959614680289,0.4006234964542523,0.44854445398930165,319.1296936365724,306.25248702407043,12.877206612501993,0.27863431874244543,False,0.9772091163534586,0.3815789473684211,1.1072058256754294,1.598670357290762,17.19452610417706,1.5077264026914479,51.675223539153265,1.0,False,0.3815789473684211,1.5077264026914479,51.675223539153265,signal x1.5,0.03,1.5,1.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,6.861026779023393,0.17022272061337845,2,371,143,296.4959614680289,0.39868874036144647,0.44497680210333324,319.1296936365724,305.99671467465924,13.132978961913182,0.3060335703625791,False,0.9800079968012795,0.4605263157894737,1.4548157644196213,1.516550541455936,22.903221450802736,1.718793178615586,48.149052549350436,1.0,False,0.4605263157894737,1.718793178615586,48.149052549350436,signal x2,0.03,2.0,1.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.41723179255923937,0.4688207896600844,319.1296936365724,305.90928399251754,13.220409644054882,0.14561165519093508,False,0.9620151939224311,0.25,0.7647110983580117,1.7701068740519348,11.436443960440936,0.7863341086294431,64.16681055971547,1.0,False,0.25,0.7863341086294431,64.16681055971547,noise x0.5,0.03,1.0,0.5,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.38589400434885546,0.42726111003325523,319.1296936365724,306.16367766781974,12.966015968752686,0.4986646646122326,False,0.9876049580167933,0.6052631578947368,0.7528489451354917,1.3313594356565375,11.604361864961959,2.272277800562613,37.01651644263254,1.0,False,0.6052631578947368,2.272277800562613,37.01651644263254,noise x2,0.03,1.0,2.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.38369463288908934,0.4222868457460057,319.1296936365724,305.7270811408974,13.402612495675044,0.7043098092333674,False,0.991203518592563,0.7105263157894737,0.754640216225238,1.269237016844869,11.664059861665347,2.97295155263741,29.627813096228152,1.0,False,0.7105263157894737,2.97295155263741,29.627813096228152,noise x3,0.03,1.0,3.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.3885745213884383,0.4270281563244231,319.1296936365724,305.29350269246976,13.836190944102668,0.9315598473562283,False,0.9928028788484606,0.7631578947368421,0.7583818080514398,1.263129984418361,11.744506291227962,3.6424569678605097,26.802959093934042,1.0,False,0.7631578947368421,3.6424569678605097,26.802959093934042,noise x4,0.03,1.0,4.0,1.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,6.211450785264989,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.40912128430117023,0.4588327222864493,319.1296936365724,306.0157293009588,13.113964335613616,0.2522077790766537,False,0.9788084766093562,0.39473684210526316,0.7597995588200305,1.6501272926489963,11.47546780140805,1.2311245016447774,55.797127710443,1.0,False,0.39473684210526316,1.2311245016447774,55.797127710443,beta x0.5,0.03,1.0,1.0,0.5,1.0
