family,fraction_saturated,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,hot_region_rel_l2_mean,hot_region_rel_l2_std,hot_region_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,true_peak_in_95_mean,true_peak_in_95_std,true_peak_in_95_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,hot_region_interval_score_K_mean,hot_region_interval_score_K_std,hot_region_interval_score_K_count,calibrated_hot_region_95_coverage_mean,calibrated_hot_region_95_coverage_std,calibrated_hot_region_95_coverage_count,calibrated_true_peak_in_95_mean,calibrated_true_peak_in_95_std,calibrated_true_peak_in_95_count,calibrated_hot_region_95_interval_width_K_mean,calibrated_hot_region_95_interval_width_K_std,calibrated_hot_region_95_interval_width_K_count,calibrated_hot_region_interval_score_K_mean,calibrated_hot_region_interval_score_K_std,calibrated_hot_region_interval_score_K_count
Diagonal,0.05,physics mean + RBF,0.447304485102446,0.01933209966277242,7,0.44182567288158286,0.017913400903258738,7,5.514399321669965,2.208712333770816,7,1.1579070290136955,0.09769685641924737,7,0.671201814058957,0.0329968984373135,7,0.0,0.0,7,2.171692529428481,0.32143386195699697,7,31.78731774823101,3.038731825793896,7,0.8605442176870748,0.02705295565861417,7,0.14285714285714285,0.37796447300922725,7,5.524599268747217,0.8177001369459721,7,23.37682061893802,3.0378870063605556,7
Diagonal,0.05,physics mean + space-time,0.4530556847934356,0.017692457879491107,7,0.45213591319666774,0.015885155870744967,7,5.422121624306328,2.369604142876746,7,1.2035846556486685,0.1376148708265765,7,0.6360544217687075,0.03762623874422868,7,0.0,0.0,7,1.9191924426597553,0.0992630743853215,7,35.56631311187301,4.971370388529056,7,0.9365079365079365,0.015197255678672004,7,0.2857142857142857,0.48795003647426666,7,11.415390761281586,0.590418530777579,7,20.7229662769343,1.490563193253436,7
Diagonal,0.1,snapshot RBF,0.8668083881679777,0.04590488396262625,7,0.8615233796829902,0.03519766791661549,7,36.04426104750593,2.9066439316752612,7,1.1620258380330923,0.1706211699736032,7,0.6812749003984064,0.07583687402533455,7,0.0,0.0,7,1.7983841725441607,0.09274417982170628,7,35.26111853770693,5.641055945563011,7,0.9243027888446215,0.01924485623663936,7,0.0,0.0,7,7.645280870782917,0.39427354549292337,7,24.949200755192855,1.991228922190043,7
Diagonal,0.1,space-time heat,0.8712018872391264,0.04429660946204282,7,0.86581970240719,0.02992177687578805,7,36.278709560389224,2.808156871952368,7,1.1858320772965656,0.17863193339253533,7,0.6653386454183268,0.07684183873301165,7,0.0,0.0,7,1.7759391689922785,0.08599346478486589,7,36.39663332572407,5.763656785246457,7,0.9795105293113261,0.0027492651766628426,7,0.0,0.0,7,19.42374693456534,0.9405250625535104,7,29.28608236365859,0.8542317087264802,7
Diagonal,0.1,physics mean + RBF,0.5260407439462428,0.021276226654284736,7,0.511116495886464,0.014421817849966467,7,5.715904591635527,3.40709143675436,7,0.9480331411394373,0.16695412631771367,7,0.6727376209447923,0.0829485698385999,7,0.0,0.0,7,1.798563892730855,0.09934745041147082,7,26.670688216234932,5.582053752756218,7,0.8560045532157086,0.03149078948396343,7,0.14285714285714285,0.37796447300922725,7,4.575392064912131,0.2527313809195414,7,18.89725380902217,3.108006967765662,7
Diagonal,0.1,physics mean + space-time,0.5283393893339713,0.02491008231430257,7,0.5119286301188587,0.012534550485891355,7,5.803992290464586,3.4003345068954163,7,0.9564550363726376,0.17020930256951844,7,0.6602162777461583,0.07880374308330304,7,0.0,0.0,7,1.775468115156024,0.10089513176263773,7,27.15132014615359,5.640036992396434,7,0.9556061468412066,0.014443457644222597,7,0.2857142857142857,0.48795003647426666,7,10.560515906687149,0.6001260370665661,7,16.867529805011525,1.0899697536108672,7
Horizontal,0.01,snapshot RBF,0.6171862428224767,0.06836141712910113,11,0.5312451740964281,0.03898566237930158,11,14.34321306661085,1.3116074718018718,11,2.2108038593854875,0.10816473488718838,11,0.7272727272727273,0.08150678894028796,11,0.0,0.0,11,5.73262841151469,0.7012406652101018,11,44.26168137224271,6.7941998267193435,11,0.9615384615384616,0.029792179586210853,11,0.2727272727272727,0.4670993664969138,11,24.37051827021887,2.9811104464745455,11,31.13719280553695,4.992750882677687,11
Horizontal,0.01,space-time heat,0.6223517872130142,0.08185108819009188,11,0.5571287350440933,0.05326945868062828,11,15.028795467074303,2.2418110860398923,11,2.3215058034074905,0.2006331761918399,11,0.6678321678321679,0.0961888048338428,11,0.0,0.0,11,4.5671137460295546,0.49389046045912977,11,53.426041695383425,7.832802855389794,11,0.986013986013986,0.019404806888827408,11,0.6363636363636364,0.504524979109513,11,49.951295164343826,5.401763464002861,11,51.84242582515959,4.680107310809466,11
Horizontal,0.01,physics mean + RBF,0.4572802510199811,0.06882338841398099,11,0.42368623696902963,0.027547969582038697,11,9.07681828564518,1.3857903991908724,11,2.019497525811052,0.16847533685915994,11,0.7657342657342657,0.07586687471393296,11,0.09090909090909091,0.30151134457776363,11,7.8104367978119855,0.6501751754982992,11,20.776461864921135,4.711190853498147,11,0.986013986013986,0.019404806888827432,11,0.6363636363636364,0.504524979109513,11,19.869080377204224,1.653989803087266,11,20.89702012231593,1.9827913953995935,11
Horizontal,0.01,physics mean + space-time,0.5205618095877388,0.08603721777639414,11,0.4417634969079188,0.04201255377387986,11,9.72408299957379,1.4099568317840696,11,2.117003081711974,0.36533658581299117,11,0.6923076923076923,0.10741723110591495,11,0.0,0.0,11,6.592368927635096,1.1476403986340724,11,29.788684288560134,7.765258924050512,11,1.0,0.0,11,1.0,0.0,11,39.21152755645098,6.8261854896036,11,39.21152755645098,6.8261854896036,11
