trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,family,run_index,role,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
HorizontalScanPath_8,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1824470001662968,1,360,253,294.2501652440918,0.6222686056372242,0.619247545459951,316.75154527615916,302.49800131411456,14.253543962044604,0.4275330113154919,False,0.957217113154738,0.5737051792828686,0.7307559900708099,1.0415152074102756,10.181710785561906,1.802029701600788,28.812890899872993,2.543914110254416,False,0.8366533864541833,4.5842087849998,18.612522234811333,Horizontal,8,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1824470001662968,2,712,496,294.2501652440918,0.6232279824698006,0.6228077320716923,316.75154527615916,302.47922078398017,14.272324492178996,0.4178475460173897,False,0.9584166333466614,0.5856573705179283,0.7238125715696822,1.0458587353560655,10.087325015895988,1.7449187043982493,29.092809946550144,5.9480177743203875,False,0.9601593625498008,10.378807468504888,15.636915218057336,Horizontal,8,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_10,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,142,25,298.0524962105766,0.5296626438713726,0.4554443951226415,318.649993978916,303.6106796020994,15.039314376816549,1.237743106608721,False,0.9956017592962816,0.6538461538461539,0.7489622863734771,2.1375832368090872,11.282333194076235,5.085446335153382,43.26755675940547,4.251194481970554,False,0.9615384615384616,21.61922139836143,30.8292679312648,Horizontal,10,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_10,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,275,41,298.0524962105766,0.5046977562924907,0.493928254820818,318.649993978916,301.6933626074436,16.956631371472383,1.2691496541487846,False,0.9948020791683326,0.5769230769230769,0.7351041437043534,2.2241491012903363,11.193284099533216,4.73910924497683,48.750531756098674,10.937169061701004,True,1.0,51.8324390141818,51.8324390141818,Horizontal,10,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,142,25,298.0524962105766,0.3488754374326871,0.3663770603500739,318.649993978916,309.32414956433115,9.325844414584822,1.6408673580052793,False,0.9976009596161536,0.8461538461538461,0.7274505848401303,1.8722359380845064,11.338437347367735,7.524226090819211,20.579785323998408,2.543914110254416,False,0.9615384615384616,19.14098492117942,21.916149334194195,Horizontal,10,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,275,41,298.0524962105766,0.4451182585927333,0.4365890679119631,318.649993978916,308.89253144215047,9.757462536765502,2.036397697286533,False,0.9964014394242304,0.6923076923076923,0.7331419921424082,2.401033227903874,11.262139682310131,7.6204312046907186,27.98799357495568,5.9480177743203875,True,1.0,45.326460253486104,45.326460253486104,Horizontal,10,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_10,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,192,78,296.06802208777685,0.5697968522279339,0.5447613918728721,318.649993978916,299.78110969100777,18.8688842879082,1.5828893727805304,False,0.9936025589764096,0.8157894736842105,0.7422328768055625,1.3103360780936597,11.104186360354268,4.044507839421288,25.590051845959817,4.251194481970554,False,0.986842105263158,17.19398940923443,20.532276558878227,Horizontal,10,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_10,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,379,151,296.06802208777685,0.5638331620453924,0.572518876354904,318.649993978916,298.29453156596094,20.355462412955035,0.6109954669953781,False,0.9880047980807676,0.6578947368421053,0.732107623739758,1.463360463345544,10.917916888545008,2.597244363269527,40.15750510352431,10.937169061701004,False,0.986842105263158,28.40650069562879,32.088351032959245,Horizontal,10,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,192,78,296.06802208777685,0.6071379882472764,0.5664875831475022,318.649993978916,306.01653690870535,12.633457070210625,1.6555768313288437,False,0.9796081567373052,0.4736842105263157,0.7721262855869329,2.1413183468400123,11.17667852060842,5.425670862185804,33.599147521223,2.543914110254416,False,0.9736842105263158,13.80244066391071,18.01830523679828,Horizontal,10,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,379,151,296.06802208777685,0.4042561377511346,0.4072853018267381,318.649993978916,306.6716065468634,11.978387432052555,0.5885804892765389,False,0.9888044782087164,0.7236842105263158,0.7161282930068532,1.076122497029805,10.916018393926793,2.375619251915283,27.684776325980344,5.9480177743203875,False,0.9473684210526316,14.130225535409798,20.20591723942657,Horizontal,10,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_10,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1747785923051746,1,238,124,295.35756727353834,0.6225269177504869,0.6294907121680686,318.649993978916,296.40377399772234,22.246219981193633,0.429785769456216,False,0.9808076769292284,0.6190476190476191,0.7363383328751587,1.3307992788762364,10.745632532128424,1.9114181997855944,40.046051382640435,4.251194481970554,False,0.9047619047619048,8.12581050366661,23.381152003393893,Horizontal,10,evaluation,0.05,1.0,2.0,1.0,1.25
HorizontalScanPath_10,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1747785923051746,2,470,243,295.35756727353834,0.6276896265105757,0.6473042222519909,318.649993978916,296.1600061127333,22.489987866182673,0.4507933926338894,False,0.9792083166733306,0.5873015873015873,0.734770868482851,1.4056480772044742,10.659411029621898,1.883665171233739,43.42297562769966,10.937169061701004,False,0.9761904761904762,20.60196443342138,26.068456038316793,Horizontal,10,evaluation,0.05,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1747785923051746,1,238,124,295.35756727353834,0.4416893418670374,0.4487211305718345,318.649993978916,305.5532815502932,13.096712428622766,0.6539295024663012,False,0.98640543782487,0.746031746031746,0.7196547533230414,0.9907748803280334,10.823616225151738,2.8086876491335726,22.313172649115938,2.543914110254416,False,0.9285714285714286,7.1450601419282,17.88011561422457,Horizontal,10,evaluation,0.05,1.0,2.0,1.0,1.25
