trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,stage,forcing_length_multiplier,forcing_lengthscale_m,base_forcing_intensity_K2_per_s,forcing_amplitude_multiplier,forcing_marginal_variance_K2
SpiralScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.2906987212368424,0.3013747612497799,335.7083806056465,335.59453453421634,0.11384607143014591,1.0448278192958182,True,0.995201919232307,0.8421052631578947,0.22988284082870783,1.119366434056374,2.9109010180427686,3.9221962126187235,23.33455393659268,1.0,True,0.8421052631578947,3.9221962126187235,23.33455393659268,2.374629184253209,2.806726917783484,1.119366434056374,1.388941113799056,0.7776470659834136,0.9637462840923173,0.501710089355864,0.5993368485011847,0.2161177281553136,0.11384607143014591,0.2161177281552693,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
SpiralScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.28438007435122387,0.3022675914230954,335.7083806056465,335.58385286153737,0.12452774410911616,0.9681375319930692,True,0.9936025589764095,0.8026315789473685,0.22499360283219377,1.144341605931708,2.905012191715058,3.815562490591005,22.56577647765217,1.0,True,0.8026315789473685,3.815562490591005,22.56577647765217,2.3829421606814667,2.812852460829895,1.144341605931708,1.465672559515882,0.8075240557860798,1.0390110644117638,0.5201013635348761,0.6349076655831524,0.23370525262456643,0.12452774410911616,0.2337052526245853,lengthscale,1.0,0.00025,1396.580702657806,1.0,0.6567947557846122
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.37901290310736,0.3738207158640544,336.214847986714,344.2252218175498,8.010373830835817,1.5936049240096117,False,0.9900039984006398,0.75,0.19501618241551272,1.5150187678932276,1.8755835009917217,3.354336710866636,36.76675524741506,1.0,False,0.75,3.354336710866636,36.76675524741506,3.465534857905012,3.867925654688255,1.5150187678932276,1.813585112277104,1.0388945645357597,1.2635937592774242,0.6095561973554328,0.7465305715841828,6.985680571289365,8.010373830835817,6.985680571289333,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.37685017781190394,0.3791221176021142,336.214847986714,343.70285895254335,7.488010965829346,1.267638816366921,False,0.9888044782087165,0.7236842105263158,0.1859656478960989,1.5323968998810968,1.8636522589530373,2.961496940337946,39.75583408538785,1.0,False,0.7236842105263158,2.961496940337946,39.75583408538785,3.593709405856017,3.9791236771778027,1.5323968998810968,1.8054498605571474,1.0452593688378704,1.2588394774099383,0.6085336591778782,0.7367040889257198,6.863470656186648,7.488010965829346,6.863470656186692,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
HorizontalScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3889188159509392,0.4006190191612821,319.1296936365724,307.10394850678136,12.025745129791062,0.6783619918358529,False,0.9908036785285885,0.7368421052631579,0.1819433423350908,1.206936618549679,1.8690952267668672,3.3210773007147973,27.091154379882052,1.0,False,0.7368421052631579,3.3210773007147973,27.091154379882052,2.6766939681994737,3.111481336471638,1.206936618549679,1.484477323944928,0.8216976924799729,1.0224304741536514,0.5004440818598623,0.626386345741064,11.630824342500746,12.025745129791062,11.630824342500715,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
HorizontalScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3811885694758577,0.4014793582672705,319.1296936365724,307.03219259082937,12.097501045743059,0.6541641017901723,False,0.9908036785285885,0.7236842105263158,0.17438007250793586,1.2046333005090464,1.8624754577218037,3.116715606439197,27.61082296125982,1.0,False,0.7236842105263158,3.116715606439197,27.61082296125982,2.7284544539446265,3.154351194572021,1.2046333005090464,1.4736263941151264,0.8117505271814869,1.004175365140075,0.4882913733064686,0.6010777886397417,11.715297544404066,12.097501045743059,11.715297544404065,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
SpiralScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.29658286875976186,0.3035785593453721,335.7083806056465,335.5470842810498,0.16129632459666254,0.8121896168514705,True,0.991203518592563,0.7631578947368421,0.18332785191356102,1.1376770430462262,1.8685155995267397,3.167078338294997,25.546945582986563,1.0,True,0.7631578947368421,3.167078338294997,25.546945582986563,2.4657643696908687,2.8826094800395414,1.1376770430462262,1.4032510388042694,0.7775523283146678,0.9727818602821274,0.4816569049754029,0.607219982905355,0.1786192167710844,0.16129632459666254,0.17861921677108844,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
SpiralScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.28902185366769684,0.3056798629495083,335.7083806056465,335.5256410427446,0.18273956290187243,0.729777702536252,True,0.9896041583366654,0.7236842105263158,0.17450149444187044,1.1991338880073332,1.8630984459676667,2.956395984612841,26.695310544217147,1.0,True,0.7236842105263158,2.956395984612841,26.695310544217147,2.562909121518979,2.9613971920303928,1.1991338880073332,1.493849834660167,0.8283111963763607,1.052018514462707,0.5119103691402601,0.6455617900966228,0.20328807954134875,0.18273956290187243,0.2032880795413401,lengthscale,2.0,0.0005,675.7088947482928,1.0,0.3310160546316755
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.38302708086495374,0.37865226822615833,336.214847986714,344.01565548236175,7.800807495647746,1.4667142594105003,False,0.9628148740503798,0.6710526315789473,0.17242551983571594,1.542346377092246,1.205955450527937,2.9042429566096417,39.87426659423847,1.0,False,0.6710526315789473,2.9042429566096417,39.87426659423847,3.6234456120400087,4.0303241187128025,1.542346377092246,1.820411232694818,1.0509410494553928,1.2625184137095862,0.6104635492592492,0.7529162087904959,6.935764620395396,7.800807495647746,6.9357646203953855,lengthscale,4.0,0.001,419.63516062776745,1.0,0.20777189572522792
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.38431037009493046,0.3883976053783716,336.214847986714,343.37807434620936,7.163226359495354,1.1452858078808048,False,0.9816073570571772,0.631578947368421,0.15925229661886928,1.5904683441861833,1.1944744281830826,2.5543737048081807,44.95780499570645,1.0,False,0.631578947368421,2.5543737048081807,44.95780499570645,3.851450347470924,4.22562684627995,1.5904683441861833,1.8304754102293304,1.0738215324932607,1.2661156548927985,0.6109134517832329,0.7370555255560057,6.4391805407897555,7.163226359495354,6.439180540789681,lengthscale,4.0,0.001,419.63516062776745,1.0,0.20777189572522792
