method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,tuning_strategy,tuning_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
censored Laplace,0.10098132588548737,0.2060711148958969,1520.195695818044,1344.6807034275353,175.51499239050872,0.6034482758620694,0.12068965517241415,1274.012888236979,300.547920606939,684.9389638473787,1863.0868126265796,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,2,path_aligned,1.1,0.2
censored sampled,0.10190631522140915,0.21083676039499308,1520.195695818044,1508.9452585180495,11.250437299994474,0.6034482758620694,0.12068965517241415,1508.9452585180495,237.28218128504594,1063.4991308617487,2002.6228125797059,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,2,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,2,path_aligned,1.1,0.2
exact clipped,0.10924284433222062,0.2833100539493436,1520.195695818044,860.4014785133717,659.7942173046723,0.6034482758620694,0.12068965517241415,860.4014785133717,12.66706243368589,835.5740361433474,885.228920883396,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,2,path_aligned,2.1,0.45
discard saturated,0.10479529704689791,0.2659386580792773,1520.195695818044,939.052443980005,581.143251838039,0.6034482758620694,0.12068965517241415,939.052443980005,34.76201704376757,870.9188905742205,1007.1859973857895,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,2,path_aligned,2.1,0.45
censored Laplace,0.08575775628436165,0.21211740347329053,1520.195695818044,1004.2504958014595,515.9452000165845,0.6034482758620694,0.12068965517241415,999.4805888019024,28.16035866313515,944.2862858221575,1054.6748917816474,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,2,path_aligned,2.1,0.45
censored sampled,0.08496842430887615,0.20577899719504947,1520.195695818044,1017.4660840593057,502.7296117587383,0.6034482758620694,0.12068965517241415,1014.6156222285445,26.35896302743621,964.4900778328814,1062.068471542342,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,2,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,2,path_aligned,2.1,0.45
exact clipped,0.10934764210005594,0.28391502765196874,1520.195695818044,863.0003741476452,657.1953216703988,0.6034482758620694,0.12068965517241415,859.4094536489378,14.204019683472072,831.5695750693325,887.249332228543,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,2,path_aligned,1.6,0.45
discard saturated,0.10006972174524612,0.252353135708858,1520.195695818044,961.7864626256545,558.4092331923895,0.6034482758620694,0.12068965517241415,961.7864626256545,47.30563886497608,869.0674104503014,1054.5055148010076,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,2,path_aligned,1.6,0.45
censored Laplace,0.0848063762522218,0.20872910684439647,1520.195695818044,1008.1025578136814,512.0931380043626,0.6034482758620694,0.12068965517241415,1008.1025578136814,35.520726566994895,938.4819337423714,1077.7231818849914,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,2,path_aligned,1.6,0.45
censored sampled,0.07995265224866736,0.1921919413781302,1520.195695818044,1045.3691753356422,474.82652048240175,0.6034482758620694,0.12068965517241415,1045.3691753356422,31.81107467278986,980.162295661571,1101.3168139179634,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,2,path_aligned,1.6,0.45
oracle true,0.04973514106132664,0.10330317343839387,1520.195695818044,1316.6437372915884,203.55195852645556,0.6034482758620694,0.12068965517241415,1316.6437372915884,14.204019683472072,1288.8038587119831,1344.4836158711937,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,2,path_aligned,1.6,0.45
exact clipped,0.12092523988343043,0.2987807201544344,1520.195695818044,1002.3432653872245,517.8524304308195,0.6034482758620694,0.12068965517241415,825.6741694929609,39.20841233647386,748.8256813134722,902.5226576724497,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,3,path_aligned,1.1,0.2
discard saturated,0.08436157519117787,0.17388399432763746,1520.195695818044,1294.5757971990101,225.61989861903385,0.6034482758620694,0.12068965517241415,1294.5757971990101,320.37050360049517,666.6496101420396,1922.5019842559807,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,3,path_aligned,1.1,0.2
censored Laplace,0.10272156934175648,0.21972668977828483,1520.195695818044,1346.4079924627963,173.7877033552477,0.6034482758620694,0.12068965517241415,1346.4079924627963,319.06089543979704,721.0486374007941,1971.7673475247984,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,3,path_aligned,1.1,0.2
censored sampled,0.11008202583676356,0.2376782612593705,1520.195695818044,1464.0723292564385,56.12336656160551,0.6034482758620694,0.12068965517241415,1464.0723292564385,242.99370042695313,1059.4251744422154,1942.0439797353024,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,3,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,3,path_aligned,1.1,0.2
exact clipped,0.11021617987820308,0.28528830057478294,1520.195695818044,852.0227205068499,668.1729753111941,0.6034482758620694,0.12068965517241415,852.0227205068499,12.66706243368589,827.1952781368256,876.8501628768742,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,3,path_aligned,2.1,0.45
discard saturated,0.11067936917778096,0.2811933784030439,1520.195695818044,912.2276303254788,607.9680654925652,0.6034482758620694,0.12068965517241415,912.2276303254788,34.76201704376757,844.0940769196943,980.3611837312633,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,3,path_aligned,2.1,0.45
censored Laplace,0.08945696316154315,0.2225164115036224,1520.195695818044,971.9215959835598,548.2740998344842,0.6034482758620694,0.12068965517241415,971.9215959835598,28.031787751879644,916.9792919898757,1026.8638999772438,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,3,path_aligned,2.1,0.45
censored sampled,0.09097133929337532,0.22351916491975318,1520.195695818044,974.0554715753354,546.1402242427085,0.6034482758620694,0.12068965517241415,974.0064803887295,21.868019483235987,943.994107974688,1019.3503356477443,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,3,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,3,path_aligned,2.1,0.45
exact clipped,0.11055347777148124,0.28624638730656454,1520.195695818044,866.234496068499,653.961199749545,0.6034482758620694,0.12068965517241415,850.9279198010139,14.204019683472072,823.0880412214086,878.7677983806192,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,3,path_aligned,1.6,0.45
discard saturated,0.10866961248730338,0.2761362441140389,1520.195695818044,932.3159847779483,587.8797110400957,0.6034482758620694,0.12068965517241415,915.2234451906392,47.30563886497608,822.504393015286,1007.9424973659923,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,3,path_aligned,1.6,0.45
