trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,source_amplitude_fraction_sd,source_amplitude_timescale_s
DiagonalScanPath_6,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,6,295.76268867732483,0.4261445954081447,0.4399538453747841,331.21807173731014,328.0966602117832,3.1214115255269235,3.402276020186489,False,0.9976009596161536,0.9210526315789472,0.7390766070643885,1.6957101916720347,11.382129296704916,12.07600486896744,20.415851145670963,1.0,False,0.9210526315789472,12.07600486896744,20.415851145670963,3.0341876264813803,4.138792167015547,1.6957101916720347,2.1195292458063726,1.3530624750371285,1.523028017113142,1.030805768052122,0.8015613918492416,5.541826780860663,7.595236277120932,1.3898781696157825,Diagonal,6,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_6,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,6,295.76268867732483,0.4249161704971952,0.4382140410350296,331.21807173731014,328.13026460759875,3.087807129711394,3.4019864669086237,False,0.9972011195521792,0.9078947368421052,0.7395044877628704,1.696919562435094,11.3818760287135,11.932068278929092,21.176302277890645,1.0,False,0.9078947368421052,11.932068278929092,21.176302277890645,3.068586998932381,4.151453552242362,1.696919562435094,2.115585971820988,1.3579843782359802,1.5088155330413835,1.034586778009411,0.8000551312141445,5.465015119197441,7.554828221315063,1.532453920392741,Diagonal,6,evaluation,0.03,0.0256410256410256,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_7,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,295.92680693793324,0.3975004402175529,0.4156822668184122,329.2427619913974,336.8018812540647,7.559119262667309,3.3987721824431274,True,0.998000799680128,0.9342105263157896,0.7339495457501359,1.6713493772710972,11.33506323348406,12.125466890387678,22.246140585705444,1.0,True,0.9342105263157896,12.125466890387678,22.246140585705444,3.1188551552752086,4.141235084836226,1.6713493772710972,1.9652560075441452,1.3115596526654385,1.3205589619060818,1.0136629767945082,0.6921728235282691,5.309550614270819,7.559119262667309,5.309550614270898,Diagonal,7,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_7,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,5,295.92680693793324,0.3959219630036153,0.4139782116408452,329.2427619913974,336.87438274449465,7.631620753097252,3.398851224494108,False,0.998000799680128,0.9342105263157896,0.7334664810873512,1.6379538417790744,11.322618212737687,11.981967656104551,21.280112043229938,1.0,False,0.9342105263157896,11.981967656104551,21.280112043229938,3.1273175415654952,4.240330334906269,1.6379538417790744,1.9204157383050977,1.2916795478885943,1.2523779040611769,1.0022630199033706,0.6608780662111086,5.647572238688679,7.631620753097252,5.647572238688686,Diagonal,7,evaluation,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,5,296.12149833303096,0.3884014082555864,0.404759250102474,336.214847986714,341.9806115988879,5.765763612173885,3.398851803278045,True,0.9972011195521792,0.9078947368421052,0.7379043497568107,1.6915661466947305,11.363240002211008,12.010217987192942,23.95110881221648,1.0,True,0.9078947368421052,12.010217987192942,23.95110881221648,3.2940366101606,4.3397178179109055,1.6915661466947305,1.9320011921100135,1.330474829462109,1.3121768179489686,1.0203353704453433,0.7049861749385019,4.069513892499646,5.765763612173885,4.069513892499658,Diagonal,8,calibration,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
DiagonalScanPath_8,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,5,296.12149833303096,0.3920855289640981,0.4082772457404418,336.214847986714,342.02635243522786,5.811504448513858,3.398864342864617,True,0.9976009596161536,0.9210526315789472,0.7384477047764537,1.7099842854894305,11.365675975547056,11.937053932065515,24.190864512973697,1.0,True,0.9210526315789472,11.937053932065515,24.190864512973697,3.316850626573228,4.370920632859902,1.7099842854894305,1.9876630040649863,1.3500479773641,1.3339021200123269,1.028257272184047,0.7343610645214808,3.859017393744609,5.811504448513858,3.859017393744644,Diagonal,8,calibration,0.03,0.0213675213675213,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_1,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,0,294.63123831934564,0.6021039091699371,0.612031259321527,317.4810532811467,303.9586498756029,13.522403405543855,3.398556883580854,False,0.998000799680128,0.9342105263157896,0.7256467106897393,1.4843500763622393,11.324436155682967,12.26616233714788,21.101661305358203,1.0,False,0.9342105263157896,12.26616233714788,21.101661305358203,2.7217954252416723,3.768962993073396,1.4843500763622393,1.6526166073114836,1.1886369821234233,1.0127868456649367,0.9151477124073026,0.5523588666427447,11.67033584872928,13.522403405543855,10.764887920307714,Horizontal,1,evaluation,0.03,0.0,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_1,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,0,294.63123831934564,0.6039376630051989,0.6138400626945745,317.4810532811467,303.96409734355086,13.516955937595869,3.398556883580854,False,0.998000799680128,0.9342105263157896,0.7258742632995545,1.4900786265775987,11.324436155682967,12.26616233714788,21.103485731064985,1.0,False,0.9342105263157896,12.26616233714788,21.103485731064985,2.7328352791780306,3.792265751125812,1.4900786265775987,1.673952765560386,1.192182950983256,1.03496894537468,0.9173591350877416,0.5697877639661616,11.664888380781427,13.516955937595869,10.769804132114109,Horizontal,1,evaluation,0.03,0.0,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_2,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,234,4,294.6301695664475,0.6125076011191126,0.6191623031838953,315.9337083198785,302.26220251847093,13.67150580140759,3.3985569037438146,False,0.9984006397441024,0.9473684210526316,0.7306943324978921,1.492926152259003,11.36767475181032,12.365838311130997,21.39097939546316,1.0,False,0.9473684210526316,12.365838311130997,21.39097939546316,2.74581354667059,3.805737458577395,1.492926152259003,1.7516663213843338,1.1972554088424954,1.2410016297747355,0.9593318711885546,0.7043831976331322,12.14767534224698,13.67150580140759,9.653512443198318,Horizontal,2,evaluation,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
HorizontalScanPath_2,advective physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1703417238587442,2,234,4,294.6301695664475,0.6132776775971296,0.6200400183496538,315.9337083198785,302.26774834204014,13.665959977838384,3.3985569037438146,False,0.9984006397441024,0.9473684210526316,0.7307545024194115,1.4957984936558275,11.36767475181032,12.365838311130986,21.38472729628692,1.0,False,0.9473684210526316,12.365838311130986,21.38472729628692,2.750122604859659,3.8135824939566874,1.4957984936558275,1.76030942758064,1.1985742481833528,1.242499080606408,0.9599393539083594,0.7062634998173285,12.142129518677825,13.665959977838384,9.674355214429026,Horizontal,2,evaluation,0.03,0.017094017094017,fixed_stride_5,0.0003125,,,,
