family,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Horizontal,legacy physics mean + advective stochastic ST,0.5727317389151764,0.0031263492593935687,11,2.5785345946705425,0.1583556486260186,11,1.3570214776717502,0.045042823054052994,11,0.5292173511940917,0.06757437334583948,11,12.049902695764073,1.6363590821182632,11,0.9354066985645932,0.00709684065750779,11,0.998000799680128,0.00025288106038930135,11,8.830960624285378,0.015545359939927337,11,9.63320782748557,0.14705232104113633,11
Horizontal,observed-clipped mean + advective stochastic ST,0.5796672147326261,0.0034922848385109386,11,2.5901555646430947,0.21461473275901521,11,1.3737608768527683,0.052679552160125875,11,0.5649339558316812,0.07263062390104534,11,12.083734271782884,1.6690030034647416,11,0.9389952153110048,0.010645260986261697,11,0.9981098469703028,0.00036166894591493475,11,8.830870427958601,0.01413727032591245,11,9.653281918125897,0.1967010719866409,11
Horizontal,posterior mean + RBF,0.7275524233564127,0.0024832857119427114,11,2.2170954410600427,0.19547888829828192,11,1.3549074686352656,0.04164282059780174,11,0.5087451416652985,0.06437862491207186,11,11.499002503451003,1.5814170467178879,11,0.9533492822966507,0.009046732249372715,11,0.998582385227727,0.0002749106961024991,11,11.449710765648216,0.01307850060190179,11,12.260297475871232,0.11860086239661159,11
Horizontal,posterior mean + stochastic ST,0.5940051678380779,0.006384772963281661,11,2.132235053159363,0.3163136468636561,11,1.3677837081331217,0.09291150407509349,11,0.5529555870836147,0.05484731586546702,11,11.391759089449351,1.7130707754725256,11,0.9389952153110048,0.012163372075489133,11,0.9980371487768529,0.00037740096259433954,11,9.083215908002533,0.020093674902504032,11,10.25192322686296,0.22556042158499,11
Horizontal,posterior mean + advective stochastic ST,0.5757140534066245,0.0029017191322072105,11,2.177252102045988,0.28418727080363154,11,1.2498849266829195,0.062205291381547116,11,0.523585069429298,0.07252917402453807,11,11.268050816133176,1.6515293230922679,11,0.944976076555024,0.007934509067835858,11,0.9982552433572025,0.00026957211613879735,11,8.830360647688828,0.011764579432543347,11,9.6505504247991,0.12603010872706846,11
Horizontal,posterior mean + sequential SPDE,0.849910496390878,0.002988807273449467,11,2.2194472105223495,0.18690633378384366,11,1.4610663632156273,0.043493479204830904,11,0.5186525550901651,0.05934593262104898,11,11.47709310067559,1.5725093649301503,11,0.9629186602870813,0.007934509067835901,11,0.9988731780015265,0.0002411126306100239,11,13.478625926559765,0.014217823515608737,11,14.56670910733659,0.1274281961395316,11
Spiral,legacy physics mean + RBF,0.7249785410325598,0.001876561292442145,12,2.5307828727407635,0.12087277337136765,12,1.4019325528591464,0.04096543220155617,12,0.35873085229255786,0.032190648213371434,12,5.124625298080332,2.1132957368669056,12,0.9320175438596491,0.013550753961695682,12,0.997834199653472,0.00043327655715745544,12,11.460940818028876,0.013191521590491957,12,12.104682032278385,0.10359739160738454,12
Spiral,legacy physics mean + stochastic ST,0.5910719482088541,0.004569658887755635,12,2.4903615250949382,0.10724685773275688,12,1.3798258217386579,0.043857064160352115,12,0.3927675428783577,0.043689118765257856,12,5.106871842079504,2.1421719438951503,12,0.9133771929824562,0.010433703435509943,12,0.9972011195521792,0.0005114771284021303,12,9.090610715159102,0.012229753710879024,12,9.943774735027048,0.15994171062428716,12
Spiral,legacy physics mean + advective stochastic ST,0.5592298486656645,0.006933828316138611,12,2.4468668235671616,0.1452952159702818,12,1.308269312385005,0.07829706139771507,12,0.38666112017793974,0.037682433219911424,12,5.169270691465262,2.1032853865063093,12,0.9111842105263158,0.008178704743527084,12,0.9971011595361855,0.000455090110339467,12,8.55838195457593,0.12757745861881775,12,9.178846510048217,0.2480933754514504,12
Spiral,observed-clipped mean + advective stochastic ST,0.564714112220099,0.006032649677148758,12,2.4500839741061484,0.129231711179595,12,1.3065184684309357,0.04619563833970845,12,0.40767183091056397,0.03657708887548809,12,5.160243489218511,2.071904879643702,12,0.9111842105263158,0.00991813633479484,12,0.9972677595628415,0.0003338053218459575,12,8.56065473910373,0.13060462848785953,12,9.196866445950754,0.23343937930916342,12
