trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,joint_lag_s,observation_design,crps_estimator,sequential_forcing_multiplier,sequential_forcing_marginal_variance_K2,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
HorizontalScanPath_12,posterior mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,6,296.3525815864646,0.4611152560281637,0.4119370062771204,315.46455223645467,306.9108868990489,8.55366533740579,2.9778316419089674,False,0.998000799680128,0.9342105263157895,0.6014256129903056,1.3705663650373376,9.098847357950417,10.409937035190225,16.22809135682896,1.0,False,0.9342105263157895,10.409937035190225,16.22809135682896,1.6906998774533617,1.88167678378783,1.3705663650373376,1.841333719099914,1.250728189472984,1.738288898560323,0.9252128725879459,1.0640265178473622,9.566730776528459,11.092316616925245,6.1145353181776425,Horizontal,12,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,75,0.029988004798080767,2.7557730006367835,2.0998043143222618,0.68
HorizontalScanPath_12,posterior mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,6,296.3525815864646,0.4193802937148113,0.37711832667074513,315.46455223645467,306.7201893925818,8.744362843872864,2.8642081022318115,False,0.9984006397441023,0.9473684210526315,0.578830134450162,1.213821812823223,8.83465238800489,9.539867668903154,15.279925549650988,1.0,False,0.9473684210526315,9.539867668903154,15.279925549650988,1.7886064682346943,2.043722090200648,1.213821812823223,1.5203975940650294,1.065706386590372,1.3469717848389473,0.8186713072122207,0.8401958277855015,9.781481795762286,11.352484104769644,6.670847865331415,Horizontal,12,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,75,0.029988004798080767,2.7557730006367835,2.0998043143222618,0.68
HorizontalScanPath_12,posterior mean + sequential SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,3,296.3525815864646,0.42846940772331776,0.41771553593234706,315.46455223645467,306.4272587868763,9.037293449578385,4.066402083470013,False,0.9992003198720512,0.9736842105263158,0.8539593958059147,1.4807026451345886,13.487509142322516,14.543385172505356,17.64689162207677,1.0,False,0.9736842105263158,14.543385172505356,17.64689162207677,2.0375532680364143,2.4025888224888705,1.4807026451345886,1.7486930254394881,1.3113605003639661,1.3800737692943275,1.0735665704884947,0.8236004122897645,9.716348521494666,11.819207246042197,4.7260625859926195,Horizontal,12,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,32.0,16.524769407829297,75,0.029988004798080767,2.7557730006367835,2.0998043143222618,0.68
HorizontalScanPath_13,legacy physics mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.432480697004636,0.4819820359813112,319.1296936365724,305.8770444131363,13.252649223436151,3.4196267389679513,False,0.9984006397441023,0.9473684210526315,0.7300357595079283,1.5597491129613177,11.458629220669618,11.80989865457749,20.85440874210951,1.0,False,0.9473684210526315,11.80989865457749,20.85440874210951,2.9647930140267866,4.207889620841852,1.5597491129613177,2.0070057722626644,1.2399590064781016,1.2492216068981905,0.974473667494128,0.6749336240386041,11.471015761093849,13.252649223436151,10.862454981862209,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,legacy physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,4,296.4959614680289,0.4291053962217374,0.45797125802620975,319.1296936365724,306.10386657487,13.025827061702444,2.951173177559423,False,0.998000799680128,0.9473684210526315,0.5884955004317423,1.4436015587304338,9.085010825937744,9.9113342405348,19.456399645638044,1.0,False,0.9473684210526315,9.9113342405348,19.456399645638044,2.5762119463513007,3.421572530658374,1.4436015587304338,1.8880520722761875,1.146013879943257,1.3730183404940906,0.8557144360141808,0.7697021803898733,11.087123147100648,13.025827061702444,10.735902038868678,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,legacy physics mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,4,296.4959614680289,0.43365085622655225,0.4596419725992775,319.1296936365724,306.24472179187745,12.884971844694974,2.84581816267672,False,0.998000799680128,0.9342105263157895,0.5755957236577417,1.4187452641002851,8.849602880177986,9.263512713423966,20.354986052242904,1.0,False,0.9342105263157895,9.263512713423966,20.354986052242904,2.753135889317031,3.7879444345470246,1.4187452641002851,1.8759671888719494,1.1015614706124592,1.2569713190257603,0.8230404300401822,0.7183395628414606,10.959629949021389,12.884971844694974,10.74092568536396,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,observed-clipped mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,4,296.4959614680289,0.4567276719423016,0.46037712309568113,319.1296936365724,306.25524383429706,12.874449802275365,2.8476830951585272,False,0.998000799680128,0.9342105263157895,0.5812802805053355,1.407974706256225,8.847755589311527,9.230455247917549,19.199451882262995,1.0,False,0.9342105263157895,9.230455247917549,19.199451882262995,2.761742877887992,3.8628979167123,1.407974706256225,1.8812061010626189,1.1020313661949697,1.287243092873288,0.8331468537097165,0.8015386200596745,11.032488683044312,12.874449802275365,10.821022028960213,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.4080021527576313,0.4230176024489775,319.1296936365724,306.3357398293767,12.793953807195749,3.419626738972207,False,0.9984006397441023,0.9473684210526315,0.7289947848063331,1.361056367098301,11.462605048725365,11.777523109439798,18.964334311990275,1.0,False,0.9473684210526315,11.777523109439798,18.964334311990275,2.4454416129771017,3.3711189517703133,1.361056367098301,1.6278038627435627,1.1339155643568484,1.0910186507293576,0.9237788178940958,0.6582025846670113,11.246976960073303,12.793953807195749,10.412772542183143,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,posterior mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,4,296.4959614680289,0.4192083913205811,0.42119744438429274,319.1296936365724,306.4504063434043,12.679287293168102,2.9520552682101693,False,0.9984006397441023,0.9473684210526315,0.5886470762327665,1.2961639926320825,9.0756581863869,9.697835466705026,17.77993823071909,1.0,False,0.9473684210526315,9.697835466705026,17.77993823071909,2.200998321317278,2.8686209984534297,1.2961639926320825,1.6555668504507237,1.0525918676249149,1.2094249318548822,0.8198526577745795,0.7406296754819922,10.202978175386562,12.679287293168102,9.981034692271805,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
HorizontalScanPath_13,posterior mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,4,296.4959614680289,0.41250912670811335,0.4089613931264312,319.1296936365724,306.547185024229,12.582508612343418,2.8523232724591656,False,0.998000799680128,0.9342105263157895,0.574205457728687,1.231063266418131,8.848999862533006,9.297537411007013,18.172276813717346,1.0,False,0.9342105263157895,9.297537411007013,18.172276813717346,2.340882574545118,3.1343976182143782,1.231063266418131,1.5317877702638902,0.9953649879097768,1.0673188087551178,0.7803774665846175,0.6819234898340328,11.021244787673762,12.582508612343418,10.83485165336194,Horizontal,13,calibration,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,77,0.03078768492602959,2.7158896361694596,2.268743687819608,0.5194805194805194
